0.163084772398369;	0.111441641515031;	0.065424851876541;	0.057680384074782
0.170644265982907;	0.117937880329964;	0.069340714258595;	0.060727204063681
0.182761450852695;	0.128229394830410;	0.075536209909913;	0.065576022342198
0.200836598620770;	0.143348259163715;	0.086366202662410;	0.101234896763455
0.216337647458751;	0.155495289856902;	0.093891203305767;	0.111702963993861
0.245410571300806;	0.191521572963117;	0.148753164262997;	0.137089369661967
0.262671029675340;	0.204513918029803;	0.157146799403773;	0.148381788536017
0.281485792341120;	0.220141006562954;	0.167763157347954;	0.160840025455901
0.301589925874403;	0.235995746332790;	0.179062036348053;	0.174652764034911
0.323722642465252;	0.255294101235589;	0.193418751609167;	0.190622213507985
0.347471238021451;	0.274960773460376;	0.208743193050059;	0.208586411359997
0.373902828863619;	0.298583985927215;	0.227223561840239;	0.229213821595467
0.401072469811702;	0.322159170215495;	0.246527966411053;	0.251909858885001
0.432122623882174;	0.350969980507639;	0.270143122020136;	0.277951017314190
0.463805654592765;	0.381548785887297;	0.296124583001586;	0.307014926643309
0.495720192948104;	0.413026138016635;	0.324058834115340;	0.338359138360576
0.529204545111506;	0.445891986333292;	0.354601014850405;	0.371810642243330
0.564497406380941;	0.482477796840797;	0.389151245128510;	0.409778996585581
0.599582824177968;	0.520272688136988;	0.426583088391747;	0.449831935621555
0.634246151315320;	0.558381363760217;	0.465681720915436;	0.491727346089629
0.669034220604955;	0.596811502904069;	0.506911317482693;	0.534100621648527
0.703138339789368;	0.634484194764366;	0.548601461148880;	0.576173294070948
0.737679784188805;	0.673903307649390;	0.592472793280476;	0.620328948388755
0.770442052406937;	0.712467425329605;	0.636662002090613;	0.662420961782589
0.800897433820028;	0.748949103062676;	0.679396065693903;	0.703572563326437
0.828909760124055;	0.782956017906452;	0.719950642889504;	0.743491340405166
0.854413055206755;	0.814500243780961;	0.758954140247829;	0.780523279666413
0.877404604949401;	0.843254734638386;	0.794988049811790;	0.814213467413989
0.897524834249804;	0.868775126023020;	0.827555786528384;	0.844126016863023
0.915380611227113;	0.891365102525554;	0.856663162032085;	0.870788023749960
0.930688062409636;	0.910788805130711;	0.882091948651054;	0.894686102202355
0.943717994983135;	0.927626478392926;	0.904101189732937;	0.914075206237832
0.954591865544364;	0.941725247549385;	0.922879188488560;	0.930723099690251
0.963474404923698;	0.953189784676747;	0.938078812445257;	0.944814589125076
0.970956941544932;	0.962791918933532;	0.950918929023039;	0.956095330790537
0.977015471617945;	0.970506867809642;	0.961104784469119;	0.965084865970659
0.981990436923076;	0.976840458555719;	0.969430622664450;	0.972321272374589
0.986012875282681;	0.981943059278547;	0.976052792375338;	0.978433816136867
0.989324065926654;	0.986121633085335;	0.981485169152303;	0.983461637716455
0.991977268351816;	0.989477249839702;	0.985880879431710;	0.987510266930561
0.994101268835921;	0.992183630640744;	0.989407140566261;	0.990632693234237
0.995806530637410;	0.994357489933709;	0.992228610568796;	0.993203852244607
0.997103413573378;	0.996044130933231;	0.994452189276807;	0.995246946922127
0.998098853461517;	0.997351719363769;	0.996195030728457;	0.996720930399863
0.998823338154604;	0.998318930767252;	0.997512429489877;	0.997904086633293
0.999311341324453;	0.998993354233096;	0.998457939546241;	0.998674406260641
0.999640631423258;	0.999458709899439;	0.999129373200663;	0.999264152819740
0.999852816840118;	0.999767619336181;	0.999594472199027;	0.999741363802371
0.999943603647688;	0.999910541039191;	0.999837529878666;	0.999897359279374
1.000000000000000;	1.000000000000000;	1.000000000000000;	1.000000000000000
