0.025944220429372;	0.000000000288957;	0.000000000005203;	0.000000000000073;	0.000000000000000;	0.000000000000000;	0.000007163781187;	0.000001270264639;	0.000002955710555;	0.004245798573364;	0.001089393167305;	0.000995537690728;	0.001232802356746;	0.000004314359038;	0.000001796317161;	0.000000412503246;	0.000001570643032;	0.000002749582383;	0.000004262067385;	0.000000621641810;	0.000000054061776;	0.000000499202357;	0.000000091727461;	0.000000015834864;	0.000000011991211;	0.000000013902794;	0.000000000010718;	0.000000000017101;	0.000000000000871;	0.000000000002441;	0.000000000001771;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000013
0.027096988742719;	0.000000035114519;	0.000000001394231;	0.000000000060609;	0.000000000001676;	0.000000000000026;	0.000009583052732;	0.000001429455717;	0.000005396123629;	0.004248293556265;	0.001092240269375;	0.000996232366938;	0.001232943032665;	0.000005779456823;	0.000005183724154;	0.000002269370358;	0.000004094099175;	0.000007568421220;	0.000012482499205;	0.000006356392562;	0.000001798961473;	0.000001343234467;	0.000000336608239;	0.000000114150050;	0.000000077684147;	0.000000088393772;	0.000000010374714;	0.000000018154639;	0.000000000003200;	0.000000000008720;	0.000000000006155;	0.000000000000777;	0.000000000001042;	0.000000000001044;	0.000000000002085;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;	0.000000000000004;	0.000000000000014;	0.000000000000050;	0.000000000118780
0.028314305430451;	0.000000734969005;	0.000000042369367;	0.000000002604959;	0.000000000112978;	0.000000000003729;	0.000011919158998;	0.000001611202347;	0.000005974273659;	0.004249867926916;	0.001095470331844;	0.000997455396073;	0.001233359807656;	0.000007896088282;	0.000008989840003;	0.000005248935020;	0.000007463255389;	0.000010763684775;	0.000017828918165;	0.000011960527950;	0.000004786255993;	0.000004746068951;	0.000001939917752;	0.000001189450339;	0.000000760305490;	0.000000810291364;	0.000000208586014;	0.000000341541961;	0.000000013436152;	0.000000039441252;	0.000000029328238;	0.000000000008628;	0.000000000010959;	0.000000000010398;	0.000000000019642;	0.000000000000930;	0.000000000000503;	0.000000000000951;	0.000000000001316;	0.000000000000585;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000002;	0.000000000000010;	0.000000000000038;	0.000000000000121;	0.000000000000347;	0.000000000000974;	0.000000000002799;	0.000000000007883;	0.000000005038334
0.029092096739194;	0.000007988720834;	0.000000762112796;	0.000000068120769;	0.000000004175470;	0.000000000214293;	0.000015467914687;	0.000001981577201;	0.000006676986952;	0.004250843327629;	0.001098265819846;	0.000999921852552;	0.001234542710194;	0.000096965037101;	0.000015271633731;	0.000012379350909;	0.000015860852680;	0.000017033561573;	0.000026658981323;	0.000020826474870;	0.000012596584609;	0.000011141552710;	0.000005895886233;	0.000005178769874;	0.000003396850664;	0.000003257649077;	0.000001569998235;	0.000002405905444;	0.000000205317030;	0.000000609784394;	0.000000401179782;	0.000000040770836;	0.000000052174982;	0.000000053396401;	0.000000099960315;	0.000000000026771;	0.000000000038149;	0.000000000142300;	0.000000000316728;	0.000000000214477;	0.000000000001801;	0.000000000002164;	0.000000000001919;	0.000000000002207;	0.000000000002857;	0.000000000003846;	0.000000000005784;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;	0.000000000000003;	0.000000000000023;	0.000000000000125;	0.000000000000485;	0.000000000001682;	0.000000000004888;	0.000000000012633;	0.000000000030614;	0.000000000068091;	0.000000000142349;	0.000000000295666;	0.000000000650100;	0.000000001449145;	0.000000107721618
0.029947253444968;	0.000039325401024;	0.000006955952667;	0.000001035758885;	0.000000089990282;	0.000000006645041;	0.000020187142445;	0.000002478920446;	0.000008662610504;	0.004251800487208;	0.001099835784950;	0.001003654638629;	0.001236547551092;	0.000100154583516;	0.000021286567026;	0.000022140331848;	0.000028445945148;	0.000027305019655;	0.000038983008870;	0.000031765994451;	0.000025287062125;	0.000021926155158;	0.000013327620443;	0.000012745667839;	0.000009164194733;	0.000008317616907;	0.000005661049863;	0.000008394363820;	0.000001328795914;	0.000003643095213;	0.000002415692897;	0.000000521507315;	0.000000639729420;	0.000000588563370;	0.000001107564641;	0.000000124926883;	0.000000079593301;	0.000000154292298;	0.000000209164467;	0.000000095938269;	0.000000002774808;	0.000000003960789;	0.000000004057021;	0.000000005265000;	0.000000007687418;	0.000000011333790;	0.000000019511304;	0.000000000001073;	0.000000000007355;	0.000000000007609;	0.000000000007166;	0.000000000008108;	0.000000000010251;	0.000000000010740;	0.000000000013765;	0.000000000017634;	0.000000000027007;	0.000000000029613;	0.000000000026085;	0.000000000029427;	0.000000000034190;	0.000000000039976;	0.000000000047506;	0.000000000052638;	0.000000000062741;	0.000000000073068;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000007;	0.000000000000215;	0.000000000001134;	0.000000000006323;	0.000000000026452;	0.000000000079299;	0.000000000219997;	0.000000000526366;	0.000000001169979;	0.000000002378645;	0.000000004533385;	0.000000008295792;	0.000000014405784;	0.000000024061021;	0.000000040305959;	0.000000072581582;	0.000000134740936;	0.000001414200859
0.030884798083078;	0.000103364411501;	0.000029858189934;	0.000008549498853;	0.000001150840775;	0.000000123855690;	0.000025481939420;	0.000002924038282;	0.000011868315689;	0.004253896830460;	0.001102075242836;	0.001007584895558;	0.001239632486985;	0.000104498411811;	0.000168662457852;	0.000032686645043;	0.000043783005315;	0.000042177967765;	0.000057322055789;	0.000047196429721;	0.000042489934479;	0.000039103532225;	0.000026120044282;	0.000023683363722;	0.000018489894098;	0.000017636785796;	0.000013041169891;	0.000019144151369;	0.000004934066630;	0.000011234162426;	0.000007924876920;	0.000002879529308;	0.000003324049019;	0.000003016516574;	0.000005479347704;	0.000001295581289;	0.000000743940886;	0.000001420326228;	0.000001784762759;	0.000000725547793;	0.000000301030942;	0.000000362136733;	0.000000315686868;	0.000000363720970;	0.000000453693806;	0.000000586473128;	0.000000907998583;	0.000000007256287;	0.000000051777342;	0.000000053324947;	0.000000053647138;	0.000000065309972;	0.000000088004885;	0.000000098432027;	0.000000134120191;	0.000000182684998;	0.000000285549457;	0.000000342945684;	0.000000320327178;	0.000000389076045;	0.000000463805676;	0.000000565530876;	0.000000702531205;	0.000000810712670;	0.000001004834348;	0.000001213403826;	0.000000000085828;	0.000000000120123;	0.000000000138662;	0.000000000138267;	0.000000000139440;	0.000000000160750;	0.000000000185900;	0.000000000215165;	0.000000000254344;	0.000000000296852;	0.000000000351427;	0.000000000394009;	0.000000000537770;	0.000000000603141;	0.000000000697417;	0.000000000738745;	0.000000000630641;	0.000000010737119;	0.000000024141281;	0.000000041399325;	0.000000079162924;	0.000000122147441;	0.000000197038914;	0.000000302020591;	0.000000450573907;	0.000000647267783;	0.000000905506681;	0.000001245942330;	0.000001668971470;	0.000002193601881;	0.000002926049320;	0.000004249267821;	0.000006439578054;	0.000009264261725
0.035550167535664;	0.000213226353148;	0.000072103819452;	0.000034877989656;	0.000008125766121;	0.000001355483212;	0.000093555734962;	0.000004034231715;	0.000019556121236;	0.004260860769905;	0.001111880895776;	0.001012023465145;	0.001244875686868;	0.000181554116652;	0.000186115903370;	0.000202057332070;	0.000069328156320;	0.000071408086353;	0.000093523235094;	0.000079834549437;	0.000068539910808;	0.000068076246210;	0.000048419720918;	0.000041516245035;	0.000033890484685;	0.000035115944428;	0.000024455903672;	0.000035569174696;	0.000013599701972;	0.000024613319328;	0.000018660795743;	0.000009013816704;	0.000009778315077;	0.000009701251711;	0.000014010762870;	0.000006066341229;	0.000003509196644;	0.000006215915986;	0.000007726440938;	0.000003338155972;	0.000002387243823;	0.000002698648074;	0.000002160736246;	0.000002395543956;	0.000002801626418;	0.000003462105569;	0.000005177838276;	0.000000098305929;	0.000000969191703;	0.000001244279482;	0.000001115462806;	0.000001213040821;	0.000001506889767;	0.000001571146138;	0.000001973624162;	0.000002456233782;	0.000003591007897;	0.000003932567554;	0.000003248957023;	0.000003569172821;	0.000003875342293;	0.000004447558155;	0.000005093382073;	0.000005431785111;	0.000006167739905;	0.000006873513951;	0.000001779456251;	0.000002514768859;	0.000002937261852;	0.000002968362075;	0.000003030646012;	0.000003511557536;	0.000004058970723;	0.000004680395216;	0.000005483989738;	0.000006165418506;	0.000006963582177;	0.000008040376373;	0.000010722785815;	0.000011886094933;	0.000013438233096;	0.000012413747129;	0.000002920373612;	0.000019045771755;	0.000020516425974;	0.000018634689695;	0.000021358528541;	0.000020930095689;	0.000022745217577;	0.000024712356310;	0.000026875470449;	0.000029062437802;	0.000031358135105;	0.000033932605526;	0.000036455928793;	0.000039073457159;	0.000043078299757;	0.000052192660755;	0.000066333982338;	0.000034360525787
0.038073213646347;	0.000604452393661;	0.000158711111048;	0.000080194812112;	0.000030176096144;	0.000008096157817;	0.000105554538903;	0.000010867335407;	0.000023828171482;	0.004265061934837;	0.001122108749028;	0.001019905915116;	0.001253119996657;	0.000195973727155;	0.000311899726173;	0.000237829976414;	0.000331533463517;	0.000111970917639;	0.000141035153534;	0.000123679302946;	0.000110197718945;	0.000111141564231;	0.000084921168826;	0.000074392117437;	0.000062336372267;	0.000065009176036;	0.000045404698905;	0.000065048374957;	0.000030224459257;	0.000047796862315;	0.000036995651842;	0.000021737672907;	0.000022858210212;	0.000025003542688;	0.000027969353608;	0.000017222485992;	0.000010554996143;	0.000016454741457;	0.000020532932170;	0.000010363516374;	0.000009099439527;	0.000010431316725;	0.000008466143448;	0.000008276783870;	0.000010208602632;	0.000012199284224;	0.000016494832887;	0.000001002503648;	0.000006423343427;	0.000006272658093;	0.000005327183297;	0.000005584196105;	0.000006900995507;	0.000006547635623;	0.000007831077156;	0.000009448824274;	0.000013307785132;	0.000014104630432;	0.000011488955133;	0.000012405154388;	0.000013153752157;	0.000014120544314;	0.000015952489544;	0.000016262204143;	0.000018078155453;	0.000019639996990;	0.000007184559387;	0.000009836738111;	0.000010912302542;	0.000010320212545;	0.000009741305734;	0.000010659847497;	0.000011726652218;	0.000012961130457;	0.000014533389846;	0.000017691733861;	0.000018967361687;	0.000020895576302;	0.000027089044427;	0.000028439498333;	0.000030805814800;	0.000026906209401;	0.000005687388729;	0.000039194862276;	0.000040677453216;	0.000035634360961;	0.000040041900170;	0.000038251997349;	0.000040983400447;	0.000044245077384;	0.000047731740824;	0.000051469146206;	0.000055460761804;	0.000060086870119;	0.000064839465467;	0.000069912833421;	0.000077677379385;	0.000094516061192;	0.000119725824673;	0.000087935173896
0.043929573558184;	0.003555223689713;	0.000616569416317;	0.000170189032090;	0.000070100237451;	0.000029607245101;	0.000173366527774;	0.000031489865195;	0.000051691750802;	0.004273312862722;	0.001134490437979;	0.001031669764263;	0.001262506149683;	0.000279944855058;	0.000370289518298;	0.000385589250749;	0.000469420409338;	0.000508967043272;	0.000675719768833;	0.000188871151658;	0.000170757314988;	0.000174887411242;	0.000141663478183;	0.000124718223503;	0.000108722254293;	0.000112396948048;	0.000079796381286;	0.000112249820031;	0.000059658958359;	0.000088992903186;	0.000069246783071;	0.000045130356157;	0.000046617248396;	0.000052486846270;	0.000052302428498;	0.000039551991601;	0.000027026816991;	0.000036148817719;	0.000045459462598;	0.000027399388451;	0.000022863953139;	0.000025140969989;	0.000022933560813;	0.000020756766991;	0.000026421669697;	0.000030462677052;	0.000037603303627;	0.000006164966462;	0.000022096872541;	0.000018690846118;	0.000016694973375;	0.000018079324449;	0.000019837450619;	0.000019132352506;	0.000022481069566;	0.000026193803223;	0.000033709883208;	0.000035361677146;	0.000030891300995;	0.000033719188330;	0.000035793778182;	0.000037199682531;	0.000038993087863;	0.000040305686861;	0.000045467204558;	0.000048684135943;	0.000031742149366;	0.000040163868317;	0.000043086490102;	0.000040951898799;	0.000040638662620;	0.000044562667920;	0.000048389310879;	0.000051975767541;	0.000057375391753;	0.000046564365624;	0.000049393913493;	0.000054170000776;	0.000068269774463;	0.000071206412124;	0.000076988596547;	0.000072599905356;	0.000025358462684;	0.000096875870538;	0.000102445970903;	0.000095232598447;	0.000104573848091;	0.000104690529367;	0.000112418879969;	0.000118910373175;	0.000123984789532;	0.000131359966808;	0.000141114009995;	0.000150604858578;	0.000160941566119;	0.000171470772992;	0.000187406370269;	0.000223407265851;	0.000273871373734;	0.000186008900549
0.049672794242069;	0.015065703399821;	0.004148604160907;	0.000701993137565;	0.000167477492366;	0.000119049801060;	0.000233573437926;	0.000094374476100;	0.000117663245361;	0.004308194655427;	0.001186116117180;	0.001048932740039;	0.001276758143364;	0.000346688450499;	0.000467034469903;	0.000513277740952;	0.000661329339167;	0.000831394789581;	0.001120300820370;	0.000939741560220;	0.000258308092329;	0.000266505363829;	0.000224480174491;	0.000202698043939;	0.000182031439266;	0.000186628693510;	0.000135626433491;	0.000186431506117;	0.000107021419310;	0.000153320092983;	0.000120094127228;	0.000087131948496;	0.000088658214893;	0.000101646895385;	0.000093802607778;	0.000077788621431;	0.000058018665504;	0.000069640095281;	0.000087119919620;	0.000058295039247;	0.000049509639036;	0.000052246798837;	0.000053088497089;	0.000046821530037;	0.000057992428603;	0.000065260911308;	0.000076227811987;	0.000020525683638;	0.000051325705483;	0.000043153642776;	0.000041221719838;	0.000045669497582;	0.000043757470651;	0.000045672529767;	0.000052288721872;	0.000059364647251;	0.000072053937272;	0.000075058698205;	0.000068331053390;	0.000074489272043;	0.000078795676676;	0.000080693912403;	0.000082193382664;	0.000085168753064;	0.000092109052937;	0.000101463064355;	0.000067700250585;	0.000081660282441;	0.000085484231543;	0.000080345020870;	0.000079855654308;	0.000086114207561;	0.000090903140609;	0.000094024290031;	0.000101001824131;	0.000098484732424;	0.000103799429272;	0.000111474560701;	0.000136429130848;	0.000142922652072;	0.000153731470760;	0.000132951602830;	0.000070352372450;	0.000183313741585;	0.000195471880383;	0.000186235376293;	0.000204656065397;	0.000205254396125;	0.000210145747301;	0.000225734031889;	0.000232288883517;	0.000243283905228;	0.000260695554471;	0.000277383525762;	0.000295786319296;	0.000314524263146;	0.000342606605628;	0.000405529326527;	0.000491157765792;	0.000354256635818
0.057987562899487;	0.024660270180686;	0.017082244336600;	0.005001376299511;	0.000780845977238;	0.000952551897518;	0.000455615319408;	0.000208939834725;	0.000286677942042;	0.004400159393767;	0.001305221927889;	0.001114462263509;	0.001298725675858;	0.000416819822910;	0.000577877423414;	0.000649574882251;	0.000864069670601;	0.001169202219310;	0.001587973726363;	0.001662246401100;	0.001181379838329;	0.001399796442071;	0.000339692887451;	0.000312791555433;	0.000289751282369;	0.000295831631341;	0.000219624169450;	0.000294366143599;	0.000183309265834;	0.000254400364307;	0.000202510561216;	0.000154028062555;	0.000154230227633;	0.000179134602643;	0.000157010231098;	0.000143906489820;	0.000115244322777;	0.000129779271218;	0.000158191945620;	0.000117000942294;	0.000094415385844;	0.000096757057290;	0.000104690564313;	0.000092729101273;	0.000110831468510;	0.000122569887358;	0.000139040723517;	0.000052514879898;	0.000102134753503;	0.000088913307969;	0.000088147633576;	0.000096986215528;	0.000086531502088;	0.000096393862415;	0.000105605548381;	0.000119625876638;	0.000141059267562;	0.000145844714669;	0.000134888303260;	0.000145696801032;	0.000153707093851;	0.000158475285559;	0.000158445194921;	0.000165538659689;	0.000171752493759;	0.000195588309744;	0.000151085981304;	0.000176803247459;	0.000183933967426;	0.000175435727954;	0.000178372283512;	0.000192879839323;	0.000203706058218;	0.000210324395350;	0.000226237863385;	0.000193515740734;	0.000201914928224;	0.000214240242560;	0.000256345924003;	0.000266554684150;	0.000284791246916;	0.000254259570725;	0.000147525291270;	0.000333027940924;	0.000355294180215;	0.000342687917598;	0.000371736649932;	0.000375642228084;	0.000386662875287;	0.000410845216047;	0.000420286223620;	0.000437845037689;	0.000465555743312;	0.000492016205373;	0.000520505197483;	0.000549420681167;	0.000594324308279;	0.000695224599414;	0.000827243833487;	0.000620574523334
