0.075575524771963;	0.046849830212272;	0.022445807837479;	0.019488441369705;
0.077273238040704;	0.048631594923750;	0.023399470485909;	0.020139099228081;
0.078384049229880;	0.049673645422494;	0.023962670695131;	0.020551430080914;
0.079311090488375;	0.050544459101528;	0.024434538010249;	0.020897893787119;
0.080118908537757;	0.051258972038690;	0.024825101267025;	0.021195760595264;
0.080871346213132;	0.051891563970670;	0.025173798993228;	0.021470270288108;
0.081571450625593;	0.052446867508730;	0.025483057097308;	0.021722733970977;
0.083342891686531;	0.054071408186479;	0.026883593947118;	0.034089736689722;
0.083979896842345;	0.054563388425366;	0.027161886774553;	0.034330810194386;
0.084601400937323;	0.055035783969967;	0.027431032796549;	0.034571410810630;
0.085266732721518;	0.055526831121296;	0.027711075386251;	0.034819690881521;
0.085893793446477;	0.055987752456364;	0.027977117856780;	0.035067076969216;
0.086519706277258;	0.056437530202266;	0.028239038422445;	0.035325414665138;
0.087165008207824;	0.056899008098835;	0.028507058964569;	0.035588576837219;
0.087794874686333;	0.057351355958680;	0.028771134776130;	0.035842072808355;
0.088467194936022;	0.057838219765332;	0.029054901688741;	0.036111480250056;
0.090765737929907;	0.062346174765677;	0.039584173274810;	0.038373040774037;
0.091471672184654;	0.062891881161102;	0.039896908949723;	0.038683658334333;
0.092180740359999;	0.063441667570251;	0.040245756473405;	0.038987461121877;
0.092899908607965;	0.063984045379864;	0.040581947665625;	0.039298691154753;
0.093665319645674;	0.064548506769057;	0.040938610934821;	0.039652445045123;
0.094417435760090;	0.065091735110519;	0.041277781344240;	0.039988898957711;
0.095166746010758;	0.065659762922805;	0.041635988601514;	0.040326303101856;
0.095984795666873;	0.066245183039797;	0.041997550615835;	0.040707230034701;
0.096819213892905;	0.066881061445942;	0.042396258252708;	0.041105414439396;
0.097650638135810;	0.067468712552930;	0.042758396929061;	0.041486681176529;
0.098507905581803;	0.068127144406467;	0.043169002515487;	0.041921271524459;
0.099436636408175;	0.068800382188008;	0.043640112205893;	0.042370256571803;
0.100392341423828;	0.069538460262237;	0.044136251205804;	0.042845676004162;
0.101274088885298;	0.070189350487027;	0.044573213204507;	0.043309679953880;
0.102308345590673;	0.070958855109849;	0.045075569806748;	0.043818925369579;
0.103293714174641;	0.071688139908382;	0.045556889166135;	0.044337618554585;
0.104337322545062;	0.072493279922025;	0.046111544319152;	0.044888785388712;
0.105444486052660;	0.073311176883082;	0.046667243618074;	0.045476146655292;
0.106568962547077;	0.074179487297565;	0.047271993456145;	0.046085136200006;
0.107688632390184;	0.075030492825115;	0.047849848203743;	0.046704718574770;
0.108960771980569;	0.076000617798825;	0.048501055633620;	0.047393069330567;
0.110142169164107;	0.076926401426886;	0.049158705208911;	0.048066518651549;
0.111458267199528;	0.077942728692350;	0.049879979470484;	0.048813604217721;
0.112802373527295;	0.078980085280717;	0.050609678931829;	0.049569143819104;
0.114146345746339;	0.080041533740874;	0.051371048307580;	0.050371982919753;
0.115662010873712;	0.081224942185699;	0.052220575892317;	0.051227979762825;
0.117144280649008;	0.082382773767748;	0.053059723012120;	0.052110270592041;
0.118647424554881;	0.083588492354356;	0.053933292283038;	0.053018220499589;
0.120325531948879;	0.084895135824652;	0.054884295710727;	0.054002680392323;
0.122015123222578;	0.086235607890130;	0.055871141628606;	0.055025645471744;
0.123709585642514;	0.087621468987936;	0.056889407202424;	0.056096335271463;
0.125563861082494;	0.089081291406899;	0.057967216749348;	0.057216431339811;
0.127523119112681;	0.090638690091158;	0.059120520922729;	0.058423726581369;
0.129350506461732;	0.092173374161921;	0.060277142144378;	0.059633063309526;
0.131437280744857;	0.093839474541992;	0.061532468653126;	0.060944330426625;
0.133619517832689;	0.095611904581170;	0.062853765699098;	0.062343079857946;
0.135733745549274;	0.097390524321750;	0.064218878377025;	0.063758241584372;
0.138068326339103;	0.099279509287979;	0.065654371277360;	0.065285156263160;
0.140513616532662;	0.101293827183433;	0.067187708809750;	0.066895525389670;
0.142904839482538;	0.103320122009471;	0.068753564410209;	0.068551227183650;
0.145510610546070;	0.105481159431827;	0.070432303352217;	0.070359190944810;
0.148255281870315;	0.107774655479098;	0.072208767050693;	0.072244901543135;
0.150979014665208;	0.110110222451966;	0.074042970457995;	0.074216933857647;
0.153892432164304;	0.112555898009553;	0.075971846216260;	0.076290839554941;
0.156953780825883;	0.115164742255599;	0.078028652309658;	0.078481396943702;
0.160051869036367;	0.117883794979759;	0.080208432714858;	0.080785832277781;
0.163417744237750;	0.120752618388081;	0.082486653778762;	0.083236658370899;
0.166805408037566;	0.123670809148173;	0.084867019942811;	0.085804083748822;
0.170307889094684;	0.126764598819414;	0.087391461144501;	0.088495935384065;
0.174103389523693;	0.130084013121026;	0.090087830676527;	0.091425258821700;
0.178075713697517;	0.133539363820834;	0.092907311654223;	0.094489571553267;
0.181963680110018;	0.137007013005644;	0.095791143163339;	0.097663602191226;
0.186310227732690;	0.140844818352877;	0.098977932514752;	0.101130503246654;
0.190688941676244;	0.144753810906231;	0.102238647207627;	0.104695510829605;
0.195079751615402;	0.148767373761130;	0.105654461274473;	0.108412615079241;
0.199938658314224;	0.153082496266507;	0.109315360660347;	0.112437940669419;
0.204972305820188;	0.157639147722819;	0.113207999543706;	0.116585124835564;
0.209844231851621;	0.162247040652952;	0.117213186480558;	0.120881641161705;
0.215242728827980;	0.167211694909217;	0.121497274860056;	0.125527091076864;
0.220967656756886;	0.172430729136241;	0.126044478465783;	0.130390644717054;
0.226792134880547;	0.177754639655184;	0.130736979456833;	0.135394954069220;
0.232609306286677;	0.183289362854542;	0.135668392608025;	0.140637715759933;
0.238990069604759;	0.189242146956253;	0.140961274901439;	0.146200788566562;
0.245483199408003;	0.195392960777437;	0.146504507157144;	0.152012244462512;
0.251843519231915;	0.201602662770948;	0.152183510518817;	0.158006582302381;
0.258847251977075;	0.208230384169383;	0.158282637070619;	0.164351654077906;
0.266310011279556;	0.215357160187022;	0.164958648923592;	0.171122987697105;
0.273962624082299;	0.222722881472132;	0.171858815617448;	0.178201322331418;
0.281436900446553;	0.230143181165685;	0.178859271814253;	0.185486581601523;
0.289747635285002;	0.238102839350699;	0.186289368768486;	0.193136490358395;
0.298108316986686;	0.246248351404476;	0.194039404142193;	0.201093132143181;
0.306802101857366;	0.254690439132464;	0.202139898020423;	0.209408445363966;
0.315414657162450;	0.263325778769468;	0.210531883340597;	0.217988719070762;
0.324765422006808;	0.272556628160856;	0.219482823781961;	0.227053717961228;
0.334401402244986;	0.282053198757344;	0.228652414437911;	0.236468903187392;
0.344277794375083;	0.291908349133802;	0.238331422469692;	0.246159740065384;
0.353992144392922;	0.301818146463056;	0.248159668362347;	0.256072389968307;
0.364214121070701;	0.312161980402207;	0.258476823893961;	0.266453134639467;
0.375041294513486;	0.322949497441155;	0.269187443230770;	0.277282341971258;
0.386091950807569;	0.334047909195271;	0.280262973268909;	0.288504878152848;
0.397334412773107;	0.345484271168432;	0.291720377139019;	0.300100760862692;
0.408180883923553;	0.356895792156572;	0.303377146657926;	0.311867048002430;
0.419965360492843;	0.368924943508693;	0.315554992079000;	0.324145647362823;
0.431894617454663;	0.381224121439052;	0.328182101068447;	0.336750704711402;
0.443871939387092;	0.393704850617522;	0.341134220007844;	0.349491330007622;
0.455864957208026;	0.406305044614163;	0.354242955326748;	0.362552812090420;
0.467342668398447;	0.418844241656415;	0.367460461222619;	0.375788090721558;
0.479722343061925;	0.431907135211984;	0.381161991719858;	0.389467077870707;
0.491374473902616;	0.444699235964435;	0.394849464257697;	0.403131603111634;
0.503319206480687;	0.457719968352846;	0.408862578659246;	0.417048598011437;
0.515097876484392;	0.470528160514811;	0.422854579022399;	0.430969158098005;
0.526815595728188;	0.483379234274853;	0.436938908244164;	0.444932197464449;
0.538567694349178;	0.496255467088801;	0.451070681123033;	0.458913708818462;
0.550466580212829;	0.509266974387828;	0.465378660202211;	0.472813170720611;
0.562292087752929;	0.522286348125337;	0.479801959446037;	0.486727831114174;
0.573923301869002;	0.535087396006989;	0.493898617882129;	0.500479893717204;
0.585344753803493;	0.547697379115021;	0.507803561078576;	0.514123939987153;
0.596547694437294;	0.560134850941732;	0.521610623169391;	0.527543208002255;
0.607483005637139;	0.572349408953918;	0.535185335911401;	0.540809954587542;
0.618511399682165;	0.584526630659898;	0.548703051729621;	0.553957047610701;
0.629241076602166;	0.596397105068088;	0.561886177833838;	0.566835471463659;
0.639778164001879;	0.608042774829333;	0.574882072357227;	0.579475321838552;
0.649997178321130;	0.619381740653888;	0.587593067602908;	0.591775817753554;
0.659938574907383;	0.630453503343571;	0.599953760219483;	0.603746976980330;
0.669592080627070;	0.641196300411217;	0.611940019798804;	0.615357391989677;
0.678952429800643;	0.651658133782032;	0.623659204796675;	0.626689258784179;
0.687938405262361;	0.661752954813014;	0.635010083257950;	0.637670880972975;
0.696858625132461;	0.671603398239835;	0.645943441516906;	0.648270755709560;
0.705444597298933;	0.681095064414129;	0.656498896243268;	0.658506714889603;
0.713724018052238;	0.690262732571949;	0.666720321164928;	0.668460814108523;
0.721645194430513;	0.699030817055344;	0.676503322949673;	0.677792552279782;
0.729276684751388;	0.707463610161488;	0.685890438050695;	0.686879387537071;
0.736695645485324;	0.715619750831316;	0.694929499718100;	0.695640055382939;
0.743856196996805;	0.723484985282831;	0.703581901498124;	0.704101105415461;
0.750781101998920;	0.731093209526944;	0.711943393696693;	0.712449400556170;
0.757559442303164;	0.738515889545173;	0.720095445694529;	0.720959840096075;
0.764048667758775;	0.745671394306133;	0.727955659587597;	0.729116469500960;
0.770595929907102;	0.752702797335439;	0.735598829466219;	0.737042737888950;
0.777044131140836;	0.759621688862462;	0.743056861239602;	0.744826652568611;
0.783081078902190;	0.766127822930158;	0.750043681009268;	0.750356619649426;
0.789187974710082;	0.772704344753402;	0.757067172745032;	0.757547298216655;
0.795372734391842;	0.779349823068565;	0.764183604943529;	0.766167285229085;
0.801218018277089;	0.785645032178471;	0.770951898350719;	0.772858628804313;
0.806950459864593;	0.791791032352821;	0.777548072997721;	0.779360660256256;
0.812533936958474;	0.797788499578284;	0.783941802727874;	0.785195525077884;
0.818136513504784;	0.803795642228636;	0.790318350207546;	0.791924321037497;
0.823610337623143;	0.809687402220608;	0.796610641815887;	0.798255732620616;
0.828958287822438;	0.815442041030589;	0.802775733719899;	0.804365173212529;
0.834234153673174;	0.821112189645682;	0.808829152903298;	0.810224761952515;
0.839440183040980;	0.826724763130669;	0.814819466064858;	0.816173081508392;
0.844594423515614;	0.832285937486536;	0.820756003637795;	0.822002876137550;
0.849655675237399;	0.837786632326693;	0.826610664397643;	0.827967462906688;
0.854880492242976;	0.843327515800585;	0.832466877845443;	0.833755276388302;
0.860059273588041;	0.848809003544286;	0.838254367257423;	0.839398643185542;
0.865224849593313;	0.854296429998934;	0.844042162606289;	0.845274979254361;
0.870341611998061;	0.859730979171236;	0.849768338036031;	0.850888393248942;
0.875381565876456;	0.865086339303247;	0.855425326893003;	0.856642143662044;
0.880379843135745;	0.870402329623974;	0.861037498847869;	0.862234621504986;
0.885342167214251;	0.875681207628168;	0.866635010577395;	0.867783741404632;
0.890255984627072;	0.880885777991557;	0.872081942444203;	0.873261166452213;
0.895139595891542;	0.886090338178821;	0.877576429922571;	0.878748397828320;
0.899988793793303;	0.891283971149738;	0.883116170810550;	0.884200566106661;
0.904772664526129;	0.896338585515865;	0.888403446407837;	0.889545705062745;
0.909540418613889;	0.901416331606809;	0.893751580065032;	0.894922505547949;
0.914286361780369;	0.906516569332820;	0.899269751120845;	0.900276757751168;
0.918903104148040;	0.911361523863901;	0.904379045133383;	0.905507729740160;
0.923636271484986;	0.916432134311240;	0.909656703335158;	0.910804612535467;
0.928403401316959;	0.921623349717195;	0.915322300746427;	0.916222505362235;
0.932939545176922;	0.926430268953580;	0.920317100236807;	0.921348869318570;
0.937561663999928;	0.931387825381541;	0.925542372491377;	0.926576519866162;
0.942154774894297;	0.936372079404772;	0.930871062919962;	0.931798484589941;
0.946714091784946;	0.941314687213805;	0.936147688204106;	0.936987213872160;
0.951285119084886;	0.946276770029753;	0.941420736424637;	0.942216003336727;
0.955951612634485;	0.951499976232049;	0.947267913791632;	0.947587282840256;
0.960421288315394;	0.956505342641210;	0.952861102505460;	0.952745884845104;
0.964694859905365;	0.961204373100851;	0.957985449902447;	0.957703429137758;
0.968738443474522;	0.965584199468763;	0.962597817006788;	0.962412723544003;
0.972738494060478;	0.969938298595949;	0.967186864821037;	0.967097571448487;
0.976722568918038;	0.974407015766269;	0.972148068735415;	0.971791282803396;
0.980389849988754;	0.978464743206500;	0.976519794303400;	0.976139693118845;
0.983840924093622;	0.982311977275752;	0.980702505595014;	0.980277176622643;
0.986992006253732;	0.985848208375239;	0.984560159358239;	0.984114984030314;
0.989801265930267;	0.988917750488169;	0.987911267009892;	0.987542059939106;
0.992307581707901;	0.991664039748846;	0.990897850843672;	0.990629287302236;
0.994586843839756;	0.994128400054386;	0.993581394001990;	0.993376388192105;
0.996462815911544;	0.996158067879770;	0.995790158954413;	0.995652450079577;
0.997903028095176;	0.997716296895883;	0.997483893683241;	0.997409374513100;
0.998933560361515;	0.998841893111834;	0.998728941232198;	0.998687452619650;
0.999542312063749;	0.999503094192860;	0.999454694589404;	0.999438851371192;
0.999846224667581;	0.999833415005037;	0.999817363850135;	0.999812249071269;
0.999960783919532;	0.999957406533892;	0.999953115165108;	0.999952280056140;
0.999992611949878;	0.999991895054891;	0.999990952612042;	0.999990915085442;
0.999999195276797;	0.999999109383662;	0.999999004361679;	0.999999040316543;
0.999999946830488;	0.999999940142012;	0.999999930905798;	0.999999935874161;
0.999999997027353;	0.999999996536723;	0.999999995821247;	0.999999996119709;
