0.121777718721859;	0.079118518129647;	0.044014185559637;	0.039091816243598;
0.093749899393450;	0.079453525268590;	0.042400220022175;	0.032762167270377;
0.077451220514764;	0.067147334743683;	0.035770926208684;	0.027373603503135;
0.064290801026216;	0.055227210644426;	0.029335543952501;	0.022522372531655;
0.056281778354835;	0.046753947613617;	0.024746577893815;	0.019250963034439;
0.050387277321461;	0.040285733801438;	0.021253317120834;	0.016795537356532;
0.067292711342548;	0.055049226098595;	0.032162394630168;	0.030326900940533;
0.059563557865633;	0.048550102384863;	0.028045658833129;	0.027617107533008;
0.038676851198882;	0.030142462113611;	0.015875952651882;	0.013525853451865;
0.037891832816370;	0.028873970363233;	0.015178921004260;	0.012924448687888;
0.036371122739730;	0.027182309421501;	0.014281074822693;	0.012504081462909;
0.033673148231790;	0.024790894870043;	0.013074348592589;	0.012557671587696;
0.032822724253320;	0.023608605392618;	0.012473527123371;	0.012563714725499;
0.031418637956930;	0.022432442132952;	0.011811565865228;	0.011380549098036;
0.030359120558169;	0.021819702270792;	0.011465406183059;	0.010786693956003;
0.048976359418021;	0.039368628148858;	0.022395061623080;	0.019824403744636;
0.050467742751404;	0.045850232363489;	0.026877941597070;	0.024465334522736;
0.030659834318895;	0.025038284651783;	0.013917989421794;	0.012761026561473;
0.029016036699044;	0.022873971472103;	0.013052158235072;	0.011677692180457;
0.028424723824269;	0.021440265821660;	0.012219140534866;	0.012286302942422;
0.027672363934447;	0.020191438378835;	0.011548221730291;	0.012179114572024;
0.026255335800732;	0.019516244379582;	0.011103523168546;	0.011003433563360;
0.026293775431829;	0.019404150353913;	0.011039879933235;	0.011627685655851;
0.026665022883498;	0.019715407251136;	0.011240380117307;	0.012438074985008;
0.025789193420896;	0.018931121112660;	0.010739361064069;	0.011591620773510;
0.025194420426139;	0.018689385872853;	0.010582522636498;	0.011972627843416;
0.025666488599806;	0.019322327670992;	0.011825461735707;	0.012796980031286;
0.025954803595970;	0.019507855419678;	0.012507240020944;	0.012627104497182;
0.024289072698943;	0.018574633622947;	0.011668655695887;	0.012729922694453;
0.024192963510311;	0.018161430584489;	0.011276351417867;	0.012551524918426;
0.024522022810829;	0.018482223872678;	0.011378896792863;	0.012769173248272;
0.023749504997728;	0.018299233645439;	0.011595343748707;	0.013036974357055;
0.024230070322429;	0.018725471957060;	0.012133245398852;	0.013388768651734;
0.024157268984243;	0.018732638295224;	0.012299216275807;	0.013692825412312;
0.023322642689644;	0.018451042246891;	0.012109070023892;	0.013617214534604;
0.023754969144793;	0.018728929128954;	0.012069448651472;	0.013967400204754;
0.023442739169693;	0.018881741650966;	0.012459062726892;	0.014086909421275;
0.022953515145690;	0.018627265291371;	0.012740470981357;	0.014320863910276;
0.023505992944947;	0.018976798215592;	0.013049447714635;	0.014629204816515;
0.022869289487936;	0.018819191851434;	0.013120393377519;	0.014820717895567;
0.023282772791875;	0.019329428929552;	0.013611994066169;	0.015226987920869;
0.023373558734722;	0.019262805847708;	0.013635882429090;	0.015310013284514;
0.022404524810184;	0.018853400507021;	0.013498395850983;	0.015442403667801;
0.022827806749223;	0.019236949494123;	0.013866764238925;	0.015673899978775;
0.023161540681170;	0.019376823034995;	0.014095241385214;	0.016018144847996;
0.022372010165778;	0.019367682789850;	0.014158084643174;	0.016316575877487;
0.022434397133545;	0.019382899905803;	0.014290407478005;	0.016442919817750;
0.023053746183110;	0.019561049033897;	0.014529224973305;	0.016727714276971;
0.021958268918775;	0.019473868356041;	0.014616446779925;	0.016966273146623;
