0.158428158107159;	0.163474005568097;	0.178611547950913;	0.203872249670493;	0.239637588583322;	0.285731655688963;	0.342468709118563;	0.409936434249883;	0.488199752178759;	0.568790676726136;	0.654106124398322;	0.742573020222743;	0.834443835030404;	0.929727572921536;	1.027901529394512;	1.129005548984944;	1.233856536387550;	1.340353162955033;	1.447406687900860;	1.556045683900587;	1.666968041367747;	1.778076708229179;	1.889505134675367;	2.002011269716736;	2.113646671297412;	2.224845978342653;	2.336225852049465;	2.445721921884468;	2.554771678266000;	2.661234371800252;	2.765793631931253;	2.869884771093051;	2.969021500169192;	3.070666061686348;	3.166679558492374;	3.260275753178877;	3.354839949635709;	3.443150135237385;	3.529691868578782;	3.617147913252352;	3.698921914105668;	3.777171516728392;	3.855667734415921;	3.931547805014003;	4.002579702606493;	4.068956292769486;	4.138667668034874;	4.204820811647020;	4.266469817358817;	4.324208181891592;	4.379264461735180;	4.435121140048982;	4.489291097501571;	4.540075186077543;	4.587738852598825;	4.632326494961259;	4.674167046304960;	4.715326671914861;	4.757038567234038;	4.796421806661828;	4.833337386084943;	4.868071080414343;	4.900690461215333;	4.931315328239160;	4.960127886147983;	4.987279391544614;	5.012870741831675;	5.037983284317768;	5.063385324157035;	5.087756523080645;	5.110772263224297;	5.132511702895243;	5.153011621553595;	5.172415056541296;	5.190791256402792;	5.208205798389363;	5.224712040069851;	5.240376659961381;	5.255285242788528;	5.269510396920728;	5.283105002849828;	5.296114490281346;	5.308587654073325;	5.320556887383299;	5.332066787580636;	5.343155814125267;	5.353838870959020;	5.364174629710303;	5.374347331340069;	5.385123858328260;	5.395808534491970;	5.406189591967102;	5.416296944117662;	5.426176493350042;	5.435898671212596;	5.445488877428466;	5.454921687689770;	5.464219685746759;	5.473403138377495;	5.482486914866988;	5.491486346447427;	5.500417892016885;	5.509299773965167;	5.518140820738149;	5.526953953679529;	5.535756627791066;	5.544559664725670;	5.553370376449981;	5.562196087695281;	5.571057618804759;	5.580020108067584;	5.589035258544614;	5.598091574782270;	5.607205181558142;	5.616394402251303;	5.625699015016339;	5.635077282307678;	5.644518732211076;	5.654065201442952;	5.663707255512128;	5.673432223899614;	5.683274132696077;	5.693228170988426;	5.703285521972207;	5.713446785786175;	5.723750523976552;	5.734922707015278;	5.746611183324313;	5.758411670138820;	5.770327008789986;	5.782347913187582;	5.794487788332146;	5.806739151036646;	5.819112935004324;	5.831593158632854;	5.844203908142781;	5.857062268013038;	5.870534412965353;	5.884239030895825;	5.898127028754756;	5.912149934453655;	5.926300960485314;	5.940582318499222;	5.954955400292149;	5.969458457966936;	5.984051835052684;	5.998761845486651;	6.013588881739948;	6.028511251240513;	6.043567542948404;	6.058720274025428;	6.073992906132584;	6.089584038533540;	6.106371775381692;	6.123627452081521;	6.140974094318949;	6.158427773687643;	6.175992660605266;	6.193653469848065;	6.211433315942144;	6.229311045287032;	6.247295557178481;	6.265408859411785;	6.283639869945555;	6.301967071279944;	6.320380275179407;	6.338873621034119;	6.357458687820570;	6.376131556714276;	6.394898759318527;	6.413768482520448;	6.432726715714824;	6.451773418249534;	6.471586445577619;	6.492566304967109;	6.513753800848949;	6.535022436138500;	6.556366447983875;	6.577792695423598;	6.599303108108929;	6.620885835872375;	6.642541908533652;	6.664270613654774;	6.686068176603682;	6.707922716749473;	6.729831287853941;	6.751802277601454;	6.773837347920875;	6.795937860240732;	6.818106974230395;	6.840346133544593;	6.863732969743778;	6.888138997340382;	6.912615909480685;	6.937140788098665;	6.961715258712864;	6.986345381083901;	7.011034276052137;	7.035783173546506;	7.060589348675992;	7.085455717318693;	7.110374476476021;	7.135339771353929;	7.160369227519888;	7.185470357073447;	7.210669802299493;	7.235953097362495;	7.262521269853944;	7.290062529940792;	7.317731884212818;	7.345433309393674;	7.373177489279969;	7.400964414697210;	7.428790285215570;	7.456668106449599;	7.484590302017219;	7.512542612574615;	7.540520323400783;	7.568523091761126;	7.596558975336042;	7.624635838352638;	7.653084897198716;	7.682949340226492;	7.713494705013753;	7.744057139337249;	7.774645871606296;	7.805297747869990;	7.835995110762264;	7.866714991133654;	7.897463797405116;	7.928236989850640;	7.959021029220928;	7.989812514431679;	8.020615062291901;	8.051428965912125;	8.083154206126796;	8.116106331309307;	8.149442191850710;	8.182777456525287;	8.216126493865055;	8.249495703705165;	8.282891314574449;	8.316314040091028;	8.349764850108064;	8.383234719093622;	8.416711414512349;	8.450191394476041;	8.483679610812725;	8.518307945103533;	8.554114549886517;	8.590227037363944;	8.626330710099319;	8.662422379490106;	8.698503648003330;	8.734581407438153;	8.770657315078770;	8.806730061336863;	8.842791798258924;	8.878839987181612;	8.914872012253216;	8.951652706398940;	8.989858036870150;	9.028594727606821;	9.067303297572264;	9.106005200511772;	9.144683992964111;	9.183325676573817;	9.221948244354422;	9.260553021738902;	9.299136710863682;	9.337703321249510;	9.376267462775216;	9.416096267543420;	9.457143761819200;	9.498456960994734;	9.539716094388224;	9.580914833608263;	9.622082290009198;	9.663217718697558;	9.704336059351437;	9.745442712626955;	9.786514881760850;	9.827590950466954;	9.869467812885929;	9.912726622383609;	9.956506667063648;	10.000199197654245;	10.043806085099330;	10.087336552004786;	10.130785966242797;	10.174152469564669;	10.217443764611941;	10.260657195847553;	10.303797354792332;	10.347824407487352;	10.393250320538874;	10.439161081973538;	10.484966817195424;	10.530670546265513;	10.576271499878866;
0.163416022902930;	0.168461870363868;	0.183599412746684;	0.208922871599943;	0.244688210512771;	0.290830299197458;	0.347567352627058;	0.415076081762060;	0.493379501145648;	0.573250347200836;	0.658270424785821;	0.746737320610242;	0.838358789857874;	0.933418334945162;	1.031382439398311;	1.132364048163774;	1.237046622941237;	1.343543249508721;	1.450416269027056;	1.558919771699943;	1.669748766178380;	1.780671752197835;	1.892028158892980;	2.004396988777638;	2.115909864719947;	2.227031772928353;	2.338282078027018;	2.447699851620354;	2.556632806014073;	2.662993414129456;	2.767503961416629;	2.871437128265848;	2.970591793310505;	3.072104362671645;	3.168016976554291;	3.261626629291849;	3.356070428666789;	3.444275544004463;	3.530856518272141;	3.618214671904727;	3.699898126618806;	3.778108641291797;	3.856601146777120;	3.932404436056292;	4.003368309722003;	4.069680657291324;	4.139429557426282;	4.205466483649383;	4.267065901531419;	4.324757263712582;	4.379816196989139;	4.435657176671491;	4.489786346121901;	4.540534186628935;	4.588164038738311;	4.632718752439727;	4.674531804966598;	4.715685534844197;	4.757397066602262;	4.796730784980610;	4.833624959749117;	4.868338315712085;	4.900938634243060;	4.931546181709501;	4.960343223627083;	4.987480263443540;	5.013058257522596;	5.038169480164592;	5.063571254421234;	5.087929939946592;	5.110934582695026;	5.132654218581618;	5.153145230662114;	5.172540390409637;	5.190908929905009;	5.208316301644217;	5.224815861167790;	5.240474441127546;	5.255377605479322;	5.269597794637021;	5.283187810514550;	5.296193049946006;	5.308662335562762;	5.320627909897333;	5.332134495171998;	5.343220466492667;	5.353898174932286;	5.364231548044196;	5.374407674142420;	5.385183456038341;	5.395865891381217;	5.406244853249086;	5.416350392029567;	5.426228358461509;	5.435949520324212;	5.445538379830845;	5.454969968608898;	5.464266879520972;	5.473449348235573;	5.482532219607012;	5.491530837373648;	5.500461658586360;	5.509342913491605;	5.518183372508754;	5.526995990936381;	5.535798238076293;	5.544600572269008;	5.553410978654801;	5.562236438925460;	5.571098091464812;	5.580060471489866;	5.589075426233037;	5.598131644956192;	5.607245138055405;	5.616434555096305;	5.625739202927188;	5.635117317777569;	5.644558818348541;	5.654105451988001;	5.663747431128668;	5.673472496206698;	5.683314591766741;	5.693268691432176;	5.703326144498548;	5.713487481044512;	5.723791555315524;	5.734968305398473;	5.746656885857285;	5.758457432963458;	5.770372865210862;	5.782393800466309;	5.794533794294168;	5.806785209970140;	5.819159114608300;	5.831639369036274;	5.844250271774604;	5.857109247173686;	5.870583404054960;	5.884288318315826;	5.898176609025852;	5.912199623306072;	5.926350744035200;	5.940632168295222;	5.955005354628559;	5.969508370819186;	5.984101799429546;	5.998811871520796;	6.013638871314523;	6.028561366740164;	6.043617630236751;	6.058770422226281;	6.074043109190117;	6.089638189123252;	6.106427352160865;	6.123682950509857;	6.141029566179365;	6.158483265488876;	6.176048071711981;	6.193708924502568;	6.211488726627948;	6.229366412759042;	6.247350978824653;	6.265464323024672;	6.283695291455088;	6.302022432279089;	6.320435522818339;	6.338928813624419;	6.357513814395094;	6.376186607228405;	6.394953805976154;	6.413823467221880;	6.432781629224480;	6.451828276669786;	6.471646005830967;	6.492626361043042;	6.513813751632535;	6.535082264698870;	6.556426142701874;	6.577852317052850;	6.599362596013659;	6.620945194451309;	6.642601141779992;	6.664329715922379;	6.686127135838778;	6.707981483609739;	6.729889901326807;	6.751860746310935;	6.773895675123470;	6.795996052691436;	6.818165044221752;	6.840404079537922;	6.863796006550343;	6.888201949692518;	6.912678667029632;	6.937203339091877;	6.961777623841406;	6.986407574659289;	7.011096303921025;	7.035845039584593;	7.060651041030239;	7.085517260106761;	7.110435822009906;	7.135400932218396;	7.160430270564199;	7.185531269234864;	7.210730701458459;	7.236013848729410;	7.262586677757240;	7.290128254412788;	7.317797391696645;	7.345498567843133;	7.373242562517005;	7.401029266827948;	7.428854926938605;	7.456732582401459;	7.484654560878013;	7.512606635672677;	7.540584107942657;	7.568586641536479;	7.596622319964021;	7.624698991786767;	7.653149002905225;	7.683017352774756;	7.713562471267783;	7.744124629749095;	7.774713136805309;	7.805364887689967;	7.836062015483123;	7.866781645266794;	7.897530233455175;	7.928303178987679;	7.959086945517839;	7.989878163772110;	8.020680456767458;	8.051494103599046;	8.083221951810224;	8.116176205493442;	8.149511754770867;	8.182846733326061;	8.216195520392166;	8.249564484985047;	8.282959870440655;	8.316382365577907;	8.349832953552379;	8.383302571424764;	8.416778996172660;	8.450258707884576;	8.483746673006381;	8.518378160368743;	8.554186278889906;	8.590298477599195;	8.626401839578932;	8.662493203673202;	8.698574172534077;	8.734651653463631;	8.770727279898237;	8.806799745845511;	8.842861182200133;	8.878909077295832;	8.914940800801411;	8.951723439611078;	8.989931472670438;	9.028667822691780;	9.067376064642042;	9.106077699059831;	9.144756145646033;	9.183397489499114;	9.222019770425748;	9.260624238445892;	9.299207625022532;	9.337773944144629;	9.376337833652249;	9.416170034387550;	9.457218620776958;	9.498531499371889;	9.539790232328825;	9.580988605687354;	9.622155763903622;	9.663290853961085;	9.704408928624082;	9.745515288897044;	9.786587119399034;	9.827662994584133;	9.869541891658233;	9.912802939940264;	9.956582548005706;	10.000274671200376;	10.043881141590381;	10.087411230223116;	10.130860229803289;	10.174226343867574;	10.217517258766714;	10.260730299902610;	10.303870094426346;	10.347899620969272;	10.393327351997677;	10.439237682800702;	10.485042978323207;	10.530746289344691;	10.576346810296043;
0.178379617290243;	0.183425464751181;	0.198563007133997;	0.224074737388291;	0.259840076301120;	0.306126229722944;	0.362902894329765;	0.430495024298591;	0.508886051707887;	0.586629358624935;	0.670763325948317;	0.759012955063426;	0.850103654340284;	0.944490621016039;	1.041825169409709;	1.142439545700266;	1.246616882602301;	1.352885176342280;	1.459445012405642;	1.567542035098014;	1.678090940610278;	1.788456884103802;	1.899597231545818;	2.011554145960344;	2.122699444987549;	2.233589156685452;	2.344450755959678;	2.453633640828012;	2.562216189258294;	2.668270541117069;	2.772634949872761;	2.876094199784238;	2.975302672734442;	3.076419265627536;	3.172029230740043;	3.265679257630766;	3.359761865760029;	3.447651770305698;	3.534350467352215;	3.621414947861851;	3.702826764158222;	3.780920014982009;	3.859401383860720;	3.934974329183160;	4.005734131068535;	4.071853750856836;	4.141715225600505;	4.207403499656476;	4.268854154049222;	4.326404509175549;	4.381471402751016;	4.437265286539017;	4.491272091982889;	4.541911188283112;	4.589439597156771;	4.633895524875129;	4.675626080951514;	4.716762123632208;	4.758472564706936;	4.797657719936958;	4.834487680741637;	4.869140021605311;	4.901683153326238;	4.932238742120521;	4.960989236064385;	4.988082879140317;	5.013620804595360;	5.038728067705065;	5.064129045213833;	5.088450190544431;	5.111421541107211;	5.133081765640744;	5.153546057987668;	5.172916392014656;	5.191261950411659;	5.208647811408779;	5.225127324461609;	5.240767784626041;	5.255654693551705;	5.269859987785902;	5.283436233508715;	5.296428728939990;	5.308886380031077;	5.320840977439436;	5.332337617946083;	5.343408358678732;	5.354076086852086;	5.364402303045877;	5.374588702549470;	5.385362249168583;	5.396037962048960;	5.406410637095035;	5.416510735765283;	5.426383953795909;	5.436102067659063;	5.445686887037984;	5.455114811366284;	5.464408460843613;	5.473587977809808;	5.482668133827084;	5.491664310152310;	5.500592958294784;	5.509472332070921;	5.518311027820566;	5.527122102706940;	5.535922924460672;	5.544723294899022;	5.553532785269262;	5.562357492615995;	5.571219509444968;	5.580181561756710;	5.589195929298303;	5.598251855477960;	5.607365007547195;	5.616555013631311;	5.625859766659733;	5.635237424187243;	5.644679076760933;	5.654226203623146;	5.663867957978288;	5.673593313127951;	5.683435968978729;	5.693390252763424;	5.703448012077571;	5.713609566819524;	5.723914649332440;	5.735105100548057;	5.746793993456205;	5.758594721437372;	5.770510434473492;	5.782531462302491;	5.794671812180233;	5.806923386770626;	5.819297653420225;	5.831778000246536;	5.844389362670077;	5.857250184655632;	5.870730377323784;	5.884436180575828;	5.898325349839141;	5.912348689863324;	5.926500189708777;	5.940781717683224;	5.955155217637791;	5.969658109375936;	5.984251692560129;	5.998961949623229;	6.013788840038248;	6.028711713239117;	6.043767892101791;	6.058920866828838;	6.074193718362716;	6.089800640892389;	6.106594082498380;	6.123849445794866;	6.141195981760615;	6.158649740892574;	6.176214305032125;	6.193875288466076;	6.211654958685358;	6.229532515175070;	6.247517243763169;	6.265630713863333;	6.283861555983692;	6.302188515276526;	6.320601265735133;	6.339094391395318;	6.357679194118670;	6.376351758770792;	6.395118945949037;	6.413988421326177;	6.432946369753449;	6.451992851930540;	6.471824686591012;	6.492806529270842;	6.513993603983291;	6.535261750379980;	6.556605226855869;	6.578031181940604;	6.599541059727849;	6.621123270188110;	6.642778841519014;	6.664507022725190;	6.686304013544065;	6.708157784190535;	6.730065741745402;	6.752036152439376;	6.774070656731259;	6.796170630043547;	6.818339254195824;	6.840577917517907;	6.863985116970038;	6.888390806748926;	6.912866939676474;	6.937390992071514;	6.961964719227030;	6.986594155385453;	7.011282387527691;	7.036030637698852;	7.060836118092977;	7.085701888470968;	7.110619858611565;	7.135584414811799;	7.160613399697132;	7.185714005719116;	7.210913398935356;	7.236196102830156;	7.262782901467128;	7.290325427828776;	7.317993914148128;	7.345694343191508;	7.373437782228113;	7.401223823220162;	7.429048852107710;	7.456926010257038;	7.484847337460394;	7.512798704966865;	7.540775461568276;	7.568777290862538;	7.596812353847960;	7.624888452089151;	7.653341320024756;	7.683221390419546;	7.713765770029875;	7.744327100984634;	7.774914932402347;	7.805566307149897;	7.836262729645703;	7.866981607666212;	7.897729541605351;	7.928501746398799;	7.959284694408574;	7.990075111793403;	8.020876640194130;	8.051689516659806;	8.083425188860508;	8.116385828045846;	8.149720443531338;	8.183054563728382;	8.216402599973497;	8.249770828824694;	8.283165538039270;	8.316587342038542;	8.350037263885323;	8.383506128418190;	8.416981741153588;	8.450460648110182;	8.483947859587351;	8.518588806164368;	8.554401465900074;	8.590512798304953;	8.626615228017773;	8.662705676222494;	8.698785746126321;	8.734862391540073;	8.770937174356636;	8.807008799371459;	8.843069334023761;	8.879116347638494;	8.915147166445994;	8.951935639247488;	8.990151780071308;	9.028887107946662;	9.067594365851372;	9.106295194704012;	9.144972603691794;	9.183612928275005;	9.222234348639720;	9.260837888566856;	9.299420367499087;	9.337985812829990;	9.376548946283348;	9.416391334919934;	9.457443197650228;	9.498755114503355;	9.540012646150625;	9.581209921924623;	9.622376185586898;	9.663510259751668;	9.704627536442018;	9.745733017707314;	9.786803832313588;	9.827879126935674;	9.869764127975143;	9.913031892610233;	9.956810190831881;	10.000501091838769;	10.044106311063533;	10.087635264878111;	10.131083020484764;	10.174447966776285;	10.217737741231028;	10.260949612067781;	10.304088313328386;	10.348125261415035;	10.393558446374081;	10.439467485282195;	10.485271461706562;	10.530973518582226;	10.576572741547574;
0.203343839861903;	0.208453173992307;	0.223781176383519;	0.249327847035539;	0.285198221732110;	0.331619447265419;	0.388601131890650;	0.456218059326442;	0.531761528770701;	0.608927710998434;	0.691584827885811;	0.778587729200775;	0.869602776195817;	0.962944431134167;	1.059229719428705;	1.159232041594420;	1.262567315370741;	1.367933081973257;	1.474335035432823;	1.581912474094798;	1.691994564663442;	1.801432103947081;	1.912212352633883;	2.023482741264853;	2.134015412100220;	2.244518129613950;	2.354731885847444;	2.463523289507442;	2.571521827998660;	2.677065752763091;	2.781186597299646;	2.883855985648221;	2.983154138441005;	3.083610770554019;	3.178716321049629;	3.272433638195628;	3.365914260915429;	3.453278814141089;	3.540173715819007;	3.626748741123726;	3.707707826723915;	3.785605637799031;	3.864068445666718;	3.939257484394607;	4.009677166646087;	4.075475573466023;	4.145317926700439;	4.210631859668295;	4.271834574912230;	4.329149918280495;	4.384230079020812;	4.439945469651562;	4.493748335084537;	4.544206191040072;	4.591565527854203;	4.635856812267464;	4.677449874259707;	4.718556438278891;	4.760175492456695;	4.799202611530871;	4.835925549062505;	4.870476198094020;	4.902924018464870;	4.933393009472224;	4.962065923459888;	4.989087238634947;	5.014558383049967;	5.039659046939184;	5.065058696534831;	5.089317274874164;	5.112215715585595;	5.133794344072620;	5.154214103530257;	5.173543061356356;	5.191850317922743;	5.209200327683050;	5.225646429951308;	5.241256690456864;	5.256116507005676;	5.270296976367370;	5.283850271832325;	5.296821527263296;	5.309259787478267;	5.321196090009606;	5.332676155902891;	5.343717583833270;	5.354372606718419;	5.364686894715344;	5.374890416561221;	5.385660237718987;	5.396324746495197;	5.406686943504949;	5.416777975324809;	5.426643279353244;	5.436356313217148;	5.445934399049882;	5.455356215961926;	5.464644429714681;	5.473819027100200;	5.482894657527205;	5.491886764783414;	5.500811791142158;	5.509688029703113;	5.518523786673586;	5.527332288991204;	5.536129134758221;	5.544927832615713;	5.553735796293364;	5.562559248766886;	5.571421872745229;	5.580383378868116;	5.589396767740415;	5.598452206347573;	5.607564790033510;	5.616755777856320;	5.626060706213974;	5.635437601536700;	5.644879507448254;	5.654427456348389;	5.664068836060990;	5.673794674663373;	5.683638264332043;	5.693592854982173;	5.703651124709275;	5.713813043111212;	5.724119806027300;	5.735333092464030;	5.747022506121070;	5.758823535560563;	5.770739716577876;	5.782760898696128;	5.794901841990342;	5.807153681438101;	5.819528551440101;	5.832009052263638;	5.844621180829196;	5.857485080458875;	5.870975332771824;	5.884682617675832;	5.898573251194625;	5.912597214270031;	5.926749617776989;	5.941030966663227;	5.955404989319843;	5.969907673637185;	5.984501514444434;	5.999212079793951;	6.014038787911122;	6.028962290737372;	6.044018328543523;	6.059171607833099;	6.074444733650382;	6.090071393840951;	6.106871966394239;	6.124126937936547;	6.141473341062697;	6.158927199898737;	6.176491360565699;	6.194152561738591;	6.211932012114375;	6.229809352535120;	6.247794351994028;	6.265908031927768;	6.284138663531363;	6.302465320272254;	6.320877503929791;	6.339370354346818;	6.357954826991295;	6.376627011341435;	6.395394179237175;	6.414263344833340;	6.433220937301728;	6.452267144031797;	6.472122487857754;	6.493106809650508;	6.514293357901218;	6.535560893181829;	6.556903700445861;	6.578329290086861;	6.599838499251499;	6.621420063082779;	6.643075007750717;	6.664802534063210;	6.686598809719545;	6.708451618491862;	6.730358809109727;	6.752328495986777;	6.774362292744240;	6.796461592297065;	6.818629604152610;	6.840867647484548;	6.864300301002862;	6.888705568509605;	6.913180727421209;	6.937703747037576;	6.962276544869737;	6.986905123262393;	7.011592526872136;	7.036339967889284;	7.061144579864209;	7.086009602411312;	7.110926586280995;	7.135890219134136;	7.160918614918686;	7.186018566526202;	7.211217894730185;	7.236499859664731;	7.263109940983608;	7.290654050188758;	7.318321451567265;	7.346020635438800;	7.373763148413294;	7.401548083873852;	7.429372060722886;	7.457248390016337;	7.485168631764363;	7.513118820457178;	7.541094384277642;	7.569095039739304;	7.597129076987857;	7.625204219259794;	7.653661848557308;	7.683561453160862;	7.714104601300027;	7.744664553043866;	7.775251258397410;	7.805902006249781;	7.836597253250003;	7.867314878331911;	7.898061721855643;	7.928832692083997;	7.959614275893133;	7.990403358495557;	8.021203612571915;	8.052015205094406;	8.083763917277651;	8.116735198966522;	8.150068258132125;	8.183400947732249;	8.216747732609049;	8.250114735224107;	8.283508317370295;	8.316928969472933;	8.350377781106896;	8.383845390073899;	8.417319649455138;	8.450797215152859;	8.484283170555635;	8.518939882490413;	8.554760110917021;	8.590869999481217;	8.626970875415839;	8.663059797137977;	8.699138368780062;	8.735213621667473;	8.771286998453970;	8.807357221914705;	8.843416253729812;	8.879461798209597;	8.915491109186966;	8.952289305308174;	8.990518959072755;	9.029252583371465;	9.067958201200256;	9.106657687444315;	9.145333367101395;	9.183971992901489;	9.222591978996341;	9.261193972101799;	9.299774938293343;	9.338338927305587;	9.376900800668516;	9.416760169140575;	9.457817492439014;	9.499127806389135;	9.540383335853628;	9.581578782320074;	9.622743555059021;	9.663875936069305;	9.704991882805249;	9.746095899057762;	9.787165020504512;	9.828239347521576;	9.870134521836661;	9.913413480393514;	9.957189595542172;	10.000878459569424;	10.044481593518787;	10.088008655969766;	10.131454338287222;	10.174817338290802;	10.218105212004890;	10.261315132343068;	10.304452011498451;	10.348501328824637;	10.393943603668092;	10.439850489418021;	10.485652267345488;	10.531352233978117;	10.576949293633461;
0.238698193368049;	0.243807527498454;	0.259135529889666;	0.284783328654557;	0.320888726291576;	0.367385323733036;	0.424578664475888;	0.492476302094661;	0.563449683072449;	0.640145404321332;	0.720734930598303;	0.805992412993065;	0.895438110361196;	0.988518972525107;	1.083596089455301;	1.182741535846235;	1.284897921246557;	1.389000149856625;	1.494453650028322;	1.601750687074664;	1.711459638337872;	1.819597411727672;	1.929873522157172;	2.040182774691165;	2.149857766057960;	2.259818691713849;	2.369125467690316;	2.477368797658645;	2.584549722235173;	2.689379049067521;	2.793158903697286;	2.894722485857798;	2.994146190430193;	3.093678877451097;	3.188078247483048;	3.281889770986434;	3.374527614132989;	3.461156675510637;	3.548326263672515;	3.634216051690350;	3.714541314315886;	3.792165509742861;	3.870602332195116;	3.945253901690632;	4.015197416454661;	4.080719997496372;	4.150217379982499;	4.215151563684842;	4.276007164120440;	4.332993491027420;	4.388092225798524;	4.443697726009125;	4.497215075426844;	4.547419194899817;	4.594541830830608;	4.638602614616735;	4.680003184891178;	4.721067871377002;	4.762500867976826;	4.801365459762347;	4.837938564711721;	4.872346845178214;	4.904661229658954;	4.935008983764607;	4.963573285813593;	4.990493341927428;	5.015870992886417;	5.040962417866953;	5.066360208384229;	5.090531192935790;	5.113280224345217;	5.134791953877246;	5.155149367289882;	5.174420398434736;	5.192674032438259;	5.209973850467027;	5.226373177636884;	5.241941158620017;	5.256763045841237;	5.270908760381426;	5.284429925485378;	5.297371444915925;	5.309782557904334;	5.321693247607845;	5.333136987022698;	5.344150499049622;	5.354787734531286;	5.365085323052599;	5.375312816177672;	5.386077421689552;	5.396726244719930;	5.407073772478831;	5.417152110708145;	5.427006335133511;	5.436712256998468;	5.446280915866540;	5.455694182395824;	5.464974786134176;	5.474142496106748;	5.483211790707374;	5.492198201266959;	5.501118157128481;	5.509990006388183;	5.518821649067815;	5.527624747555381;	5.536417829174791;	5.545214185419080;	5.554020011727106;	5.562841707378133;	5.571705181365594;	5.580665922824084;	5.589677941559372;	5.598732697565031;	5.607844485514351;	5.617036847771334;	5.626342021589912;	5.635717849825941;	5.645160110410503;	5.654709210163730;	5.664350065376771;	5.674076580812963;	5.683921477826681;	5.693876498088420;	5.703935482393661;	5.714097909919573;	5.724407025400104;	5.735652281146392;	5.747342423851880;	5.759143875333031;	5.771060711524012;	5.783082109647219;	5.795223883724494;	5.807476093972568;	5.819851808667926;	5.832332525087581;	5.844945726251964;	5.857813934583414;	5.871318270399079;	5.885027629615838;	5.898920610196842;	5.912945699119237;	5.927098817072487;	5.941379915235231;	5.955754669674715;	5.970257063602935;	5.984851265082463;	5.999562262032962;	6.014388714933147;	6.029313099234929;	6.044368939561950;	6.059522645239066;	6.074796155053114;	6.090450447968938;	6.107261003848441;	6.124515426934900;	6.141861644085612;	6.159315642507365;	6.176879238312702;	6.194540744320111;	6.212319886914999;	6.230196924839187;	6.248182303517231;	6.266296277217978;	6.284526614098103;	6.302852847266272;	6.321264237402311;	6.339756702478917;	6.358340713012971;	6.377012364940336;	6.395779505840568;	6.414648237743367;	6.433605331869320;	6.452651152973557;	6.472539409631193;	6.493527202182042;	6.514713013386316;	6.535979693104418;	6.557321563471849;	6.578746641491620;	6.600254914584609;	6.621835573135315;	6.643489640475102;	6.665216249936437;	6.687011524365215;	6.708862986513719;	6.730769103419782;	6.752737776953141;	6.774770583162412;	6.796868939451991;	6.819036094092112;	6.841273269437846;	6.864741558648816;	6.889146234974555;	6.913620030263838;	6.938141603990062;	6.962713100769527;	6.987340478290109;	7.012026721954356;	7.036773030155890;	7.061576426343932;	7.086440401927794;	7.111356005018197;	7.136318345185408;	7.161345916228862;	7.186444951656123;	7.211644188842945;	7.236925119233136;	7.263567796306679;	7.291114121492732;	7.318780003954057;	7.346477444585009;	7.374218661072547;	7.402002048789019;	7.429824552784132;	7.457699721679356;	7.485618443789920;	7.513566982143616;	7.541540876070752;	7.569539888166776;	7.597572489383713;	7.625646293298693;	7.654110588502879;	7.684037540998705;	7.714578965078241;	7.745136985926791;	7.775722114790499;	7.806371984989618;	7.837065586296023;	7.867781457263889;	7.898526774206053;	7.929296016043274;	7.960075689971514;	7.990862903878575;	8.021661373900816;	8.052471168902848;	8.084238137061647;	8.117224318255465;	8.150555198573224;	8.183885885337665;	8.217230918298821;	8.250596204183283;	8.283988208433730;	8.317407247881080;	8.350854505217100;	8.384320356391894;	8.417792721077307;	8.451268409012606;	8.484752605911233;	8.519431389346876;	8.555262213940745;	8.591370081127986;	8.627468781773134;	8.663555566419655;	8.699632040495299;	8.735705343845833;	8.771776752190236;	8.807845013475250;	8.843901941318279;	8.879945429009142;	8.915972629024326;	8.952784437793133;	8.991033009674782;	9.029764248966188;	9.068467570688693;	9.107165177280738;	9.145838435874840;	9.184474683378564;	9.223092661495611;	9.261692489050718;	9.300271337405301;	9.338833287571427;	9.377393396807749;	9.417276537049473;	9.458341505143315;	9.499649575029226;	9.540902301437830;	9.582095186873703;	9.623257872319995;	9.664387882913998;	9.705501967713769;	9.746603932948391;	9.787670683971806;	9.828743656341837;	9.870653073242787;	9.913947703290107;	9.957720762136580;	10.001406774392342;	10.045006988956144;	10.088531403498086;	10.131974183210662;	10.175334458411131;	10.218619671088293;	10.261826860728467;	10.304961188936543;	10.349027823198083;	10.394482823879704;	10.440386695208174;	10.486185395239982;	10.531882435532365;	10.577476466553703;
