0.000478786991754;	0.003260781310145;	0.000472159752540;	0.000439104308363;
0.000147977667718;	0.002952821896233;	0.000483144124232;	0.000401843731888;
0.000110119658890;	0.002014994648167;	0.000458891920472;	0.000344083291485;
0.000086010868274;	0.001304584111138;	0.000354911837599;	0.000288539500347;
0.000069567399128;	0.000790312634993;	0.000257616147418;	0.000241772717223;
0.000055232817431;	0.000403891771418;	0.000199937306766;	0.000198380043440;
0.000045940843814;	0.000111249687551;	0.000171278303994;	0.000150706814378;
0.000039366330920;	0.000081133639526;	0.000119151386163;	0.000105728031865;
0.000028732761916;	0.000056520431651;	0.000078075814436;	0.000072806417333;
0.000017910796578;	0.000036030750043;	0.000050734694179;	0.000047323441512;
0.000011368618052;	0.000019530539814;	0.000028846663227;	0.000028722559470;
0.000007323953277;	0.000011623482087;	0.000017200645576;	0.000018240040880;
0.000004778491908;	0.000007182008968;	0.000010858571735;	0.000011507969392;
0.000002678437230;	0.000003927028889;	0.000006118377595;	0.000006484959432;
0.000001256469492;	0.000001887650303;	0.000002976194940;	0.000003219935573;
0.000000522528168;	0.000000802044650;	0.000001369840426;	0.000001451277200;
0.000000188686113;	0.000000291776178;	0.000000503063092;	0.000000542159800;
0.000000060648515;	0.000000095792259;	0.000000164889131;	0.000000178305292;
0.000000017202936;	0.000000026999885;	0.000000046993913;	0.000000051010624;
0.000000004185337;	0.000000006599146;	0.000000011717909;	0.000000012436494;
0.000000000864367;	0.000000001381539;	0.000000002683723;	0.000000002704311;
0.000000000114465;	0.000000000202899;	0.000000000370216;	0.000000000338540;
0.000000000010605;	0.000000000017414;	0.000000000036397;	0.000000000031090;
0.000000000000955;	0.000000000001561;	0.000000000003439;	0.000000000003148;
0.000000000000110;	0.000000000000168;	0.000000000000425;	0.000000000000281;
0.000000000000013;	0.000000000000019;	0.000000000000038;	0.000000000000033;
0.000000000000004;	0.000000000000006;	0.000000000000010;	0.000000000000012;
0.000000000000002;	0.000000000000003;	0.000000000000005;	0.000000000000006;
0.000000000000001;	0.000000000000001;	0.000000000000002;	0.000000000000003;
0.000000000000000;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
