0.013404216389888;	0.007823834026052;	0.003451391165746;	0.001538096773945;
0.049301374697489;	0.071433353001429;	0.000000000000000;	0.000000000000000;
0.040423427150666;	0.059136703097535;	0.000000000000000;	0.000000000000000;
0.034158185088098;	0.045377775131275;	0.000000000000000;	0.000000000000000;
0.031040460145347;	0.034885272625762;	0.000000000000000;	0.000000000000000;
0.028939210987330;	0.027200304803670;	0.000000000000000;	0.000000000000000;
0.026675748855693;	0.022050512183121;	0.000000000000000;	0.000627463333024;
0.024605080572317;	0.019416846145032;	0.000000000000000;	0.001254926666049;
0.023151317340156;	0.017465327651307;	0.000000000000000;	0.000722138823071;
0.023166024076312;	0.016007448081231;	0.000000000000000;	0.000675776564616;
0.022632690507356;	0.014493515273581;	0.000000000000000;	0.000747890793167;
0.021234523513605;	0.012659210844565;	0.000000000000000;	0.001454697444154;
0.021005004464551;	0.011759869417118;	0.000000000000000;	0.001874477631929;
0.020347078157570;	0.011305584917270;	0.000000000000000;	0.001471984669736;
0.019853915810502;	0.011284421195804;	0.000000000000000;	0.001255153304370;
0.019831484444019;	0.012455253332674;	0.000000008501373;	0.001583345530501;
0.019238513406560;	0.014139844635179;	0.000000017002745;	0.002326767154903;
0.018602207335483;	0.014074238793902;	0.000000016813331;	0.001989317289657;
0.018216498059225;	0.012492262053774;	0.001367883341619;	0.001744875101027;
0.018452109840071;	0.011303373560437;	0.001207783874564;	0.002342888249576;
0.018442322551138;	0.010209062104584;	0.001137811619934;	0.002739779065299;
0.017430952563115;	0.010161731778780;	0.001059318028901;	0.002236552645500;
0.017584927037692;	0.010114773588995;	0.000934513808565;	0.002538782303988;
0.017860483888084;	0.010376663145211;	0.000916419476443;	0.003189336774042;
0.017471500163055;	0.009835688837732;	0.000825831512876;	0.002921599724869;
0.016989233307244;	0.009717563668472;	0.000733644104817;	0.003203810634646;
0.017224353166779;	0.009741389420774;	0.001308218104161;	0.003599029728084;
0.017589892867682;	0.009685986701810;	0.002719661873539;	0.003403697427944;
0.016348044563871;	0.009502527012757;	0.002123042508174;	0.003745992949153;
0.016606622110353;	0.009106067035418;	0.001796698022898;	0.003787625146619;
0.016920799381217;	0.009442911056446;	0.001685801548871;	0.003848297807062;
0.016206609067737;	0.009441031626426;	0.002041613536028;	0.004155101976895;
0.016611856908661;	0.009497718421796;	0.002468326190711;	0.004280429645607;
0.016622003839852;	0.009455877514599;	0.002554418978059;	0.004483881335681;
0.015939835547160;	0.009611432175457;	0.002437347608119;	0.004558802087487;
0.016409232259557;	0.009827976603473;	0.002149090613989;	0.004745911239745;
0.016052740469671;	0.010002649655919;	0.002506693128440;	0.004783697528364;
0.015714101134230;	0.009730465067210;	0.003094633013885;	0.004977865298260;
0.016308371005162;	0.009836946333949;	0.003104672934191;	0.005063066819672;
0.015728815817908;	0.009864358294584;	0.003164664380831;	0.005234679988336;
0.016052611017865;	0.010199325701321;	0.003477432118968;	0.005354095796240;
0.016364092265697;	0.010073017734687;	0.003562601702814;	0.005384359526658;
0.015516101602020;	0.010008684421180;	0.003526720402944;	0.005627606347169;
0.015953662552598;	0.010218646178087;	0.003686342407403;	0.005641978105629;
0.016442638073946;	0.010173705872143;	0.003896732324743;	0.005790239776597;
0.015553249685596;	0.010552795763140;	0.003896437972482;	0.006053609206024;
0.015771335601892;	0.010510054183359;	0.003964222149115;	0.006089297046623;
0.016653727298434;	0.010395085184488;	0.004156835633945;	0.006161876983244;
0.015361244752880;	0.010804404163622;	0.004222451867762;	0.006415722172830;
0.015267544177894;	0.010709778903969;	0.004399180522424;	0.006492887172293;
0.016482848284187;	0.010822518336989;	0.004461581548320;	0.006670647342046;
0.015543301005198;	0.011222713660764;	0.004561945425683;	0.006797984441852;
0.015539487089052;	0.010976655853234;	0.004756363679363;	0.006913135882908;
0.016357870259561;	0.011082617000866;	0.004782408564007;	0.007075171890605;
0.015554788591335;	0.011457901408491;	0.004903605650542;	0.007198478752116;
0.015428552700624;	0.011346592731005;	0.005091696311570;	0.007567677046388;
0.016113511427813;	0.011466213178587;	0.005256597209466;	0.007751588975048;
0.015581900421997;	0.011778853786477;	0.005331434810998;	0.007856233535438;
0.015444893441027;	0.011618555742971;	0.005485773228330;	0.008055150360871;
0.015893352441638;	0.011739958490960;	0.005635067604574;	0.008064982812374;
0.015407596639064;	0.012334244574273;	0.005880630809770;	0.008205020158061;
0.015583687661986;	0.012406223631102;	0.006010462262894;	0.008384249845692;
0.015921725498897;	0.012002128103784;	0.006186170758865;	0.008574431093604;
0.015334193827306;	0.012191395208997;	0.006504735061320;	0.008684670660224;
0.015530565631676;	0.012778016048436;	0.006591207102174;	0.008887173793296;
0.016155702074663;	0.012837637183670;	0.006697457551477;	0.009208255311470;
0.015550681146394;	0.012646808484370;	0.006842299961663;	0.009517473414070;
0.015555529239723;	0.012866958246724;	0.007147661487260;	0.009934582950960;
0.015988984320919;	0.013183550531688;	0.007347594997784;	0.010117358097445;
0.015124815698756;	0.013163143675417;	0.007494870232254;	0.010269774862662;
0.015425263118605;	0.013106798388348;	0.007811082343288;	0.010667213227174;
0.016151006386522;	0.013351999105909;	0.008091419128810;	0.010793455267489;
0.014883978801702;	0.013844749636562;	0.008325798293739;	0.010863465370683;
0.014704843454200;	0.014017282988845;	0.008449883880777;	0.011280685746707;
0.015905720236828;	0.013937342050676;	0.008734174503660;	0.011475721359209;
0.016056191406302;	0.013636165953463;	0.009042690080743;	0.011444428094065;
0.015091182200527;	0.013814445357377;	0.009231051362067;	0.011601480279306;
0.015049266400510;	0.014304870156698;	0.009520025716562;	0.011799160015274;
0.015488068375074;	0.014413312982645;	0.009872403834864;	0.011947834227331;
0.014340529425368;	0.014428829893180;	0.010075476127664;	0.012224307446016;
0.014385962246982;	0.014202257857609;	0.010404556652763;	0.012373848118874;
0.015465211885689;	0.014203766271480;	0.011239261840992;	0.012514968294312;
0.015445891103381;	0.014504910383888;	0.011762580658066;	0.012819337422330;
0.014345640904085;	0.014646382246925;	0.011588908216823;	0.013139006455433;
0.014481550747183;	0.014691310120905;	0.011559062800051;	0.013197970171019;
0.015150238184020;	0.014563883482797;	0.011889131793219;	0.013246196251330;
0.014797927628405;	0.014310360080225;	0.012291265711195;	0.013497606437577;
0.014090549136008;	0.014306317928375;	0.012556268187606;	0.013677346985112;
0.013935003250074;	0.014559062111430;	0.012884857648822;	0.013802208563130;
0.014518815690602;	0.014644595960804;	0.012992869370409;	0.013943956600135;
0.014286972201956;	0.014595344969163;	0.013210628231136;	0.013929394590388;
0.013379982912304;	0.014466690803099;	0.013504485156455;	0.013865270706644;
0.012957772381230;	0.014258367200070;	0.013617489920168;	0.013993022841300;
0.013541803296356;	0.014074644873917;	0.013798163708118;	0.014104637389932;
0.013706641062808;	0.013977520180460;	0.013829884255907;	0.014197464260793;
0.013212225319280;	0.014028718753298;	0.013895722318496;	0.014280349386631;
0.011965574358747;	0.013944839913695;	0.013956204565104;	0.014281848406205;
0.011791898532152;	0.013707142839529;	0.014003165883928;	0.014219822029834;
0.012288803479746;	0.013467651389601;	0.014169598767591;	0.014133478846502;
0.011714881271433;	0.013161049182356;	0.014373247231862;	0.013881211369888;
0.011090852118983;	0.012880614719828;	0.014245262715020;	0.013721788415567;
0.009796952818320;	0.012711358669039;	0.013961460870731;	0.013766286541745;
0.009575841916147;	0.012437432929100;	0.013863325001260;	0.013665653517799;
0.009233717557424;	0.011983529997075;	0.013768557330511;	0.013455726861694;
0.008400740671162;	0.011516338412479;	0.013648246810328;	0.013210797135340;
0.008224968913227;	0.010738052442932;	0.013514585904561;	0.012898041903417;
0.007772277016719;	0.010111867587711;	0.013220709531660;	0.012516991965331;
0.007419888332651;	0.009790370525619;	0.012857392751191;	0.012092487204125;
0.007270645864634;	0.009465184368893;	0.012558711000026;	0.011521637975678;
0.007026166664016;	0.009146373692123;	0.012337273702583;	0.010978843745325;
0.006641445279151;	0.008775518652481;	0.011792167560853;	0.010547463641492;
0.006256760913339;	0.008376922645114;	0.011101354381849;	0.010133183501716;
0.005862526717995;	0.007955216415818;	0.010645842112556;	0.009668430461411;
0.005450991863939;	0.007567393534812;	0.010189755785803;	0.009216315849337;
0.005279175867415;	0.007205328697574;	0.009739515491454;	0.008809773582542;
0.005137406963678;	0.006821252696185;	0.009274642120729;	0.008381789843528;
0.004852210128247;	0.006412349915934;	0.008818097158283;	0.007962535343812;
0.004569023082107;	0.006014465098821;	0.008426077764177;	0.007520177502302;
0.004258722479303;	0.005718231536576;	0.007948569017844;	0.007078002864486;
0.003997105144620;	0.005436452976373;	0.007445766997966;	0.006654201498318;
0.003741069152835;	0.005115752637948;	0.007033635231177;	0.006273615642133;
0.003449800304576;	0.004797721027451;	0.006654643839018;	0.005921931641234;
0.003323863156584;	0.004516293645310;	0.006190766692621;	0.005529792527271;
0.003223172840502;	0.004242273827153;	0.005750027564191;	0.005154537847473;
0.002995163219474;	0.003950577797797;	0.005398087495983;	0.004859512822853;
0.002786168520327;	0.003671868456086;	0.005048512376555;	0.004460654216811;
0.002596633684124;	0.003410409614837;	0.004680963184513;	0.004116362232849;
0.002446898125135;	0.003183561493656;	0.004332354455382;	0.003876074896989;
0.002304872263067;	0.002996165160434;	0.003989323031636;	0.003620260257194;
0.002147507342242;	0.002815954427850;	0.003682564311503;	0.003457572930717;
0.002014984430138;	0.002628466319704;	0.003437952810992;	0.003450240565775;
0.001866091558917;	0.002465950219565;	0.003211936076286;	0.003356909538336;
0.001822679978266;	0.002312530687326;	0.002994372430051;	0.003107392679549;
0.001827471180791;	0.002202376084147;	0.002796003128422;	0.002927790559784;
0.001736245503938;	0.002132892417941;	0.002612245180919;	0.001925683082098;
0.001625249803136;	0.002039840361559;	0.002437653154790;	0.001810040409259;
0.001522271493912;	0.001921016446950;	0.002305676350508;	0.002762074139561;
0.001440184314266;	0.001805280511849;	0.002204010413393;	0.002500619007646;
0.001369887502271;	0.001697002420801;	0.002083396969810;	0.001968942993076;
0.001302932137220;	0.001617919113087;	0.001950414550116;	0.001685832354956;
0.001230347122478;	0.001550600443262;	0.001823703924314;	0.001696823159160;
0.001158154794875;	0.001468981903278;	0.001735222290938;	0.001802951548261;
0.001092594736000;	0.001383668277366;	0.001664546654983;	0.001617664041678;
0.001038920654034;	0.001311538879572;	0.001578597659813;	0.001471886061691;
0.000984656364836;	0.001255405160366;	0.001495676527699;	0.001402563029276;
0.000933839126676;	0.001202771274854;	0.001427008419483;	0.001360520727843;
0.000877034736349;	0.001159610706432;	0.001355389314756;	0.001332153463921;
0.000873897779217;	0.001116613633505;	0.001295285234645;	0.001281487886909;
0.000891238954880;	0.001069455067352;	0.001248004380975;	0.001177351339655;
0.000850700265898;	0.001029588772297;	0.001195651993467;	0.001161298314058;
0.000811651375196;	0.000994042969730;	0.001146238850170;	0.001120055628621;
0.000772150263085;	0.000945491873060;	0.001094745989865;	0.001072280893638;
0.000733301721080;	0.000900050159952;	0.001045957892207;	0.001041105761463;
0.000702479167795;	0.000861048970101;	0.001008773609951;	0.000976659494525;
0.000673809888996;	0.000826016271454;	0.000951647698263;	0.000933951926022;
0.000642377657290;	0.000795921921713;	0.000907115027674;	0.000898974851765;
0.000609068364081;	0.000760350310060;	0.000896652043160;	0.000863314105996;
0.000585658253964;	0.000723401793434;	0.000841463200563;	0.000823628182820;
0.000561115997155;	0.000694466874732;	0.000790507606427;	0.000793826606088;
0.000530968808225;	0.000659515898530;	0.000800203106017;	0.000761052064418;
0.000510990057038;	0.000608817226630;	0.000751229894826;	0.000728660860009;
0.000494138292375;	0.000611122628829;	0.000691624498534;	0.000705271958608;
0.000470154977386;	0.000616687741132;	0.000726309558791;	0.000684395067724;
0.000446779582189;	0.000571592899645;	0.000675611275265;	0.000653446031636;
0.000428691917370;	0.000550622761949;	0.000612753634941;	0.000625336897516;
0.000405805388315;	0.000538715703927;	0.000627447310502;	0.000604522155312;
0.000381861572274;	0.000515586313364;	0.000614395162857;	0.000578567137129;
0.000363310668885;	0.000497234001022;	0.000585951172756;	0.000559069531239;
0.000338984373435;	0.000480700361752;	0.000614487022736;	0.000538006634928;
0.000306241934135;	0.000447257641541;	0.000628290407864;	0.000499406827523;
0.000278963204286;	0.000402619234019;	0.000540037028263;	0.000459093917546;
0.000257394736720;	0.000366723570797;	0.000439110643186;	0.000426558986980;
0.000238310764209;	0.000346424859979;	0.000387453704398;	0.000402891328566;
0.000216859625905;	0.000327205767699;	0.000402676636681;	0.000379723890197;
0.000191941118776;	0.000296922962165;	0.000379222528428;	0.000346727696084;
0.000166988203113;	0.000263906015046;	0.000325042766330;	0.000312832364983;
0.000139252692473;	0.000229499364712;	0.000288652942303;	0.000277735110225;
0.000117162778088;	0.000178887805844;	0.000235786618694;	0.000236478001440;
0.000098593848467;	0.000141956275303;	0.000190374471311;	0.000199916241718;
0.000084675779015;	0.000117614034413;	0.000159866323831;	0.000167551505559;
0.000067779855982;	0.000090972569310;	0.000126928663913;	0.000132388986539;
0.000046843897284;	0.000064367256610;	0.000090615476123;	0.000096281870684;
0.000028452145326;	0.000040358219910;	0.000061428857006;	0.000064118691417;
0.000014469814442;	0.000021119544537;	0.000033764012594;	0.000035393730460;
0.000005973341947;	0.000009117556793;	0.000015044769056;	0.000015805547396;
0.000001954416127;	0.000003041387476;	0.000005234444795;	0.000005516108640;
0.000000490647019;	0.000000779955995;	0.000001402507235;	0.000001443774579;
