0.129534641960859;	0.087713313554246;	0.085721650421827;	0.051479925878454;
0.135305143147835;	0.108747814108253;	0.000000000000000;	0.000000000000000;
0.110301928237654;	0.094830008585861;	0.000000000000000;	0.000000000000000;
0.092767575679666;	0.078522079004061;	0.000000000000000;	0.000000000000000;
0.084047680575798;	0.065566346077734;	0.000000000000000;	0.000000000000000;
0.077989780890069;	0.055270722832356;	0.000000000000000;	0.000000000000000;
0.071652646922022;	0.048004415996871;	0.000000000000000;	0.001829040165867;
0.065998475638816;	0.044309602090263;	0.000000000000000;	0.003658080331735;
0.061939755914510;	0.041195208601447;	0.000000000000000;	0.001625163231501;
0.061770169726316;	0.038870235970021;	0.000000000000000;	0.001252916856358;
0.060186761008248;	0.036233011226781;	0.000000000000000;	0.001425310275403;
0.056318710103799;	0.032623615058466;	0.000000000000000;	0.002829082503649;
0.055589743963131;	0.030267871082398;	0.000000000000000;	0.003933715504963;
0.053612219737203;	0.028761447194723;	0.000000000000000;	0.002816706405179;
0.052043362031633;	0.028412301676022;	0.000000000000000;	0.002401494557774;
0.051836923185464;	0.030720511807443;	0.000000023755993;	0.003235986253458;
0.050110050127796;	0.034480227789366;	0.000000047511985;	0.004954539145225;
0.048196776733118;	0.034494784750622;	0.000000046982456;	0.003971597863686;
0.047004447603923;	0.030856850144913;	0.001930257090518;	0.003500938059742;
0.047535997599298;	0.028073247119755;	0.001724470006680;	0.004910122770306;
0.047358710923151;	0.025701002392189;	0.001728037270334;	0.005742317928350;
0.044487086840533;	0.025758670703825;	0.001671057423219;	0.004573060455212;
0.044690361651863;	0.025197653121222;	0.001551652995564;	0.005396515179363;
0.045300119902225;	0.025579067254245;	0.001567032384761;	0.006721324190431;
0.044082797089820;	0.024484468280290;	0.001443345985286;	0.005956693779804;
0.042644715014950;	0.024432916108493;	0.001344827642287;	0.006737551711943;
0.043087796024703;	0.024314232225944;	0.002322229442654;	0.007581770918840;
0.043783618526150;	0.024045363996550;	0.004421434957029;	0.007133298811753;
0.040430372740501;	0.024015711649754;	0.003730120109585;	0.008052378406034;
0.040883453002593;	0.023243601206899;	0.003383417246244;	0.008062665322472;
0.041472133765204;	0.023976258010431;	0.003287850693587;	0.008283526747276;
0.039431587724823;	0.023902750126930;	0.003847188234096;	0.009043752727783;
0.040206469423049;	0.024259494772914;	0.004574272078540;	0.009326148188563;
0.040039202271728;	0.024164970090772;	0.004913280474876;	0.009883601005181;
0.038093597518078;	0.024505769100555;	0.004852928839962;	0.010117523497908;
0.038961405202625;	0.025120010445863;	0.004489077303463;	0.010648812895089;
0.037876466681070;	0.025617516483228;	0.005054236567382;	0.010834962949949;
0.036806969803319;	0.024862474895800;	0.006002950718763;	0.011429017597996;
0.037938965593354;	0.025137437137452;	0.006265405183165;	0.011722292434909;
0.036286914543421;	0.025253710684134;	0.006498399867781;	0.012275516436593;
0.036719366709599;	0.026087784564714;	0.007015772903983;	0.012701993029495;
0.037188514777425;	0.025728280132483;	0.007247588818485;	0.012898499961142;
0.034905216617589;	0.025555001647055;	0.007386660618547;	0.013668562921345;
0.035575673209929;	0.026057251834410;	0.007733457822662;	0.013841603931351;
0.036415660903090;	0.025915495192368;	0.008146916969645;	0.014370207459298;
0.034022537063004;	0.026838890577555;	0.008310104124889;	0.015215355868993;
0.034184361250743;	0.026659042261570;	0.008553935734847;	0.015483109881897;
0.035820577627110;	0.026316744398494;	0.008946270471640;	0.015830981250894;
0.032583373735237;	0.027280071130233;	0.009277430444302;	0.016684075581507;
0.032076297890544;	0.026943241232429;	0.009765369767127;	0.017072804815844;
0.034347081925854;	0.027125928406342;	0.009953275675179;	0.017727763376262;
0.031913641142454;	0.028014924447695;	0.010345676875426;	0.018260283570597;
