0.003128293811599;	0.015626264537645;	0.003885221759233;	0.007319026314897;
0.003610833282837;	0.015976214820632;	0.004053036367496;	0.007442123995603;
0.003568289035981;	0.015929205090651;	0.004341570067596;	0.007764510539102;
0.003375486370264;	0.016529426126274;	0.004428231244259;	0.008256844181676;
0.003876786282071;	0.016468057033707;	0.004526183692963;	0.008445275038966;
0.004007249652646;	0.016317098124648;	0.004792745785456;	0.008682623371695;
0.003431871510964;	0.016967900851293;	0.004989696843437;	0.009198379626417;
0.004194999112405;	0.016795187094752;	0.005234786270722;	0.009468653657839;
0.004304224733141;	0.016952868796037;	0.005381232633472;	0.009901708966199;
0.003873458112556;	0.017574658114025;	0.005597923101264;	0.010283901942038;
0.004474139481954;	0.017172820637345;	0.005910456624158;	0.010636976102697;
0.004578390752316;	0.017311139438066;	0.006061285109933;	0.011053354528456;
0.004212361168244;	0.017857927800342;	0.006289576139095;	0.011400648345937;
0.004739981707434;	0.017644166326802;	0.006610145938605;	0.012145094030445;
0.004939294959964;	0.017777072308046;	0.006945564721256;	0.012602122700754;
0.004592289667786;	0.018184034944633;	0.007157779195777;	0.012914636168080;
0.005040662164319;	0.017850196343822;	0.007479024094389;	0.013381688063666;
0.005190230538136;	0.017993724891261;	0.007799608112617;	0.013532362714048;
0.004930118351310;	0.018836522117811;	0.008260597568685;	0.013890967672140;
0.005602602845300;	0.018808877029415;	0.008572773877988;	0.014299521453196;
0.005438042394529;	0.018062600413984;	0.008950049330736;	0.014720228245583;
0.005335751785957;	0.018239114572187;	0.009543648402816;	0.014995497656905;
0.005883993906032;	0.019013819574710;	0.009804469190061;	0.015356723643892;
0.006157925900214;	0.018963968120665;	0.010092352452531;	0.015732408631747;
0.005627509785654;	0.018516292536883;	0.010438529099529;	0.015976197671173;
0.006484174011446;	0.018657084897392;	0.011025914147630;	0.016489119902637;
0.006271484430403;	0.018937174754822;	0.011454139897849;	0.016718902579952;
0.005925706420466;	0.018716292951403;	0.011791813775711;	0.016859458830689;
0.006904190043811;	0.018416142604657;	0.012390030232297;	0.017306436776634;
0.006915852170703;	0.018546575726890;	0.012924298909014;	0.017293889222935;
0.006059440489293;	0.019009739200359;	0.013369140759961;	0.017246234335289;
0.007105061021870;	0.019029012833411;	0.013605379769354;	0.017769102130415;
0.007491411885030;	0.018648750874380;	0.014079636579339;	0.017905980662468;
0.007526470973400;	0.017943008447848;	0.014575468511169;	0.017653616846377;
0.006861056340103;	0.017929478688543;	0.014851029969986;	0.017663683117032;
0.007876813510161;	0.018312462492182;	0.015262061989979;	0.017693560262028;
0.007775439257775;	0.018193679176418;	0.015737492166399;	0.017623917527657;
0.007018977540320;	0.017938047186393;	0.015935660602352;	0.017719576417684;
0.008118723775561;	0.017360004510843;	0.016296859958810;	0.017603567867654;
0.008531801869515;	0.017097019587609;	0.017404459103515;	0.017459196853115;
0.008556507060832;	0.017204469498237;	0.017961561184628;	0.017526212909712;
0.007656427597967;	0.017131574880430;	0.017398870855947;	0.017599991573250;
0.009216859533745;	0.016917719522351;	0.017035595842814;	0.017315217156278;
0.008958284696851;	0.016498794621545;	0.017198116476889;	0.017024462944490;
0.009138262276686;	0.015979206402876;	0.017436519033879;	0.016992856012584;
0.008383853865182;	0.015757484930975;	0.017429645022532;	0.016873355819062;
0.009442780009924;	0.015837385923854;	0.017483328290399;	0.016694178555356;
0.009683705013036;	0.015748611174554;	0.017203959234231;	0.016545927581610;
0.009640135101388;	0.015460874778981;	0.017090203969769;	0.016218183665948;
0.008879754799353;	0.015094874504513;	0.017069368139116;	0.015857785948632;
0.009500629872695;	0.014703917373404;	0.016825173585249;	0.015735741311424;
0.010166769699124;	0.014354397993548;	0.016662540167662;	0.015607290818492;
0.010260188114767;	0.014116400148162;	0.016325797545533;	0.015465762585700;
0.010005347096694;	0.014040129396026;	0.016052100104242;	0.015318701278992;
0.008718071996267;	0.013763024450793;	0.015793710818685;	0.015097914880025;
0.010222963501223;	0.013367910656449;	0.015539776855931;	0.014823790713495;
0.010056426336679;	0.013012972090777;	0.015437381166747;	0.014542912109924;
0.009750728060625;	0.012564424748182;	0.015385267201807;	0.014106571639433;
