0.008770115747237;	0.010034859414858;	0.011705376176879;	0.010809639439959;
0.008690132645717;	0.010131613062693;	0.011607729558457;	0.010570393733129;
0.009111783132741;	0.010396544243405;	0.011750766700538;	0.011066328674208;
0.009037022372267;	0.010212474565236;	0.011527623010495;	0.010798771561071;
0.008510162285774;	0.009893784080656;	0.011373881449581;	0.010874956476481;
0.009330168516254;	0.010674413918042;	0.012391428582215;	0.011506995326435;
0.008751273141784;	0.009994180096965;	0.011470829851872;	0.010933041364291;
0.008572068182599;	0.010107810049667;	0.011927827624882;	0.011104115584202;
0.009109825155833;	0.010355621836067;	0.012086981536166;	0.011571151147812;
0.009055730681934;	0.010438279007819;	0.012214929834910;	0.010958935650837;
0.008437974527399;	0.010069446000640;	0.011822630943932;	0.011082113842517;
0.008945670656359;	0.010240795534696;	0.011805226449430;	0.011433050989363;
0.008992840239599;	0.010248986745109;	0.012001327106393;	0.011250934900212;
0.008668758559752;	0.009830302894580;	0.011532886192503;	0.010782992138797;
0.008373061215013;	0.009808918885300;	0.011503717510804;	0.010845294316118;
0.008798723732877;	0.010008531066810;	0.011619279364451;	0.010789986453403;
0.008656153160728;	0.009919704786952;	0.011587818567289;	0.010736441178960;
0.008072873101756;	0.009445166788180;	0.011042503253595;	0.010477761000584;
0.008486787903037;	0.009645312202667;	0.011395289057045;	0.010445175691356;
0.008858460155408;	0.010161709807529;	0.012265205114879;	0.010728265853338;
0.008644809132646;	0.009843558688173;	0.011638483219085;	0.010600914357604;
0.007995444164149;	0.009263103905481;	0.010790612651204;	0.010298145836554;
0.008486280006107;	0.009380847130971;	0.010694251364990;	0.010068056537057;
0.008293709272850;	0.009251700781512;	0.010653381435092;	0.010013929264447;
0.008233303563191;	0.009142939929979;	0.010546368306316;	0.009933539770806;
0.007847778566871;	0.008915412816218;	0.010301410384521;	0.009735151637662;
0.008260634001217;	0.009161312965833;	0.010462115822480;	0.009778676496623;
0.008169089452899;	0.008934978590874;	0.009987141878749;	0.009621781188102;
0.008122324990541;	0.008960376409061;	0.010155562836053;	0.009436491402574;
0.007677054680485;	0.008594463056990;	0.009726391474133;	0.009215466954472;
0.007863725016740;	0.008676240152320;	0.009797903384652;	0.009262117413260;
0.008006034781923;	0.008665256276564;	0.009645932076361;	0.009234113106172;
0.007995547986785;	0.008641184426422;	0.009561008091770;	0.009214938851779;
0.007876791615491;	0.008583599137011;	0.009454365875715;	0.009152274664739;
0.007301277427075;	0.008217406848156;	0.009195031673460;	0.008926276951194;
0.007796709228144;	0.008443808005164;	0.009265796991757;	0.009010997264542;
0.007684801235899;	0.008380373783644;	0.009275587916602;	0.008965930972115;
0.007505601161195;	0.008253429163515;	0.009184773506481;	0.008784623654643;
0.007324034662535;	0.008090781239408;	0.008964818698337;	0.008743782192146;
0.006773158913460;	0.007790197782824;	0.008718481390037;	0.008600802541954;
0.007240103378067;	0.007983434823876;	0.008829169881959;	0.008699840890240;
0.006574039171961;	0.007569734816109;	0.008544897002657;	0.008458792899435;
0.006572428247164;	0.007512270233130;	0.008517638142164;	0.008397783140208;
0.006306312954488;	0.007183474185757;	0.008270254159975;	0.008192657256110;
0.006144331942387;	0.007043072659892;	0.008127645610976;	0.008030599096814;
0.006035951863666;	0.006902349131003;	0.007967570753522;	0.007851093208866;
0.005985877592191;	0.006822329344304;	0.007881024429459;	0.007609884560689;
0.005828488933501;	0.006664459683056;	0.007729524900143;	0.007389470126569;
0.005610753268139;	0.006396600741879;	0.007368335863387;	0.007097463765943;
0.005412389550227;	0.006171282290709;	0.007101197176946;	0.006858952394932;
0.005224502032343;	0.005969547845080;	0.006887117284419;	0.006581710495746;
0.005018480170108;	0.005747512354341;	0.006617034180641;	0.006353323344167;
0.005000437591171;	0.005640535569662;	0.006451952297545;	0.006175079040442;
0.004814956136282;	0.005423620855155;	0.006185558882227;	0.005953224048260;
0.004684039851170;	0.005255077765896;	0.005989751983063;	0.005760403963218;
0.004510269779866;	0.005066450578314;	0.005773544332967;	0.005534160640220;
0.004376774233726;	0.004919818605632;	0.005568276644616;	0.005352906402987;
0.004241007291028;	0.004754859592603;	0.005364387887250;	0.005160021916564;
0.004107699686806;	0.004618181858737;	0.005209854907526;	0.005010738191789;
0.003934513221102;	0.004444010022897;	0.005019589097711;	0.004819224429498;
0.003909214489247;	0.004343505978225;	0.004845893578035;	0.004669600068692;
0.003757671097363;	0.004184565749039;	0.004679043523909;	0.004516703495086;
0.003614165525125;	0.004034553233333;	0.004524685652799;	0.004374112062793;
0.003453174916102;	0.003860004228779;	0.004338818028405;	0.004155275042655;
0.003305012255202;	0.003696172301226;	0.004158412590133;	0.004009293338004;
0.003185326624282;	0.003550432871351;	0.003987988260808;	0.003839624532838;
0.003045216931423;	0.003394213957436;	0.003799061853557;	0.003670506484117;
0.002912613610755;	0.003244478103784;	0.003628462780068;	0.003535685106855;
0.002810339502101;	0.003119046211217;	0.003481663032208;	0.003445459113414;
0.002661803374173;	0.002971786528300;	0.003315953138026;	0.003275257248650;
