0.005714285714286;	0.005714285714286;	0.005714285714286;	0.002857142857143
0.006500135156546;	0.005439997309378;	0.003270291236902;	0.002579065155309
0.097622925823998;	0.078411813249632;	0.050840454593852;	0.061499604304830
0.071523829455332;	0.053869296269079;	0.034163531983941;	0.042337790452761
0.062981756181428;	0.052821194002582;	0.038654127674981;	0.030049587757905
0.054913330035543;	0.045404787587877;	0.034021272183164;	0.028618085546580
0.042983716126431;	0.032505356113961;	0.020754161251952;	0.021158530179746
0.040562641961501;	0.031543701943854;	0.021064637116539;	0.021956102514278
0.039041889119431;	0.031114009491889;	0.021509810907749;	0.022950505756482
0.038176738345980;	0.031328237401865;	0.022625413071492;	0.024476011500818
0.038077485388102;	0.031786843015752;	0.023732896214304;	0.026200344762828
0.037423617233018;	0.032254837633367;	0.024967892839789;	0.027945584797050
0.037565557411320;	0.033130441918192;	0.026405182911939;	0.029784713204401
0.037782950850890;	0.035364876585788;	0.028898379944345;	0.032058875301393
0.035682331083017;	0.034522853106172;	0.029513759723567;	0.033383088037499
0.034353003894783;	0.033679723756807;	0.030232924928288;	0.033993175670555
0.034001089330351;	0.034273710096991;	0.031851613754419;	0.035441337558983
0.032841996906793;	0.034729680662420;	0.033431356148832;	0.036784300744969
0.030755378528032;	0.033518699396120;	0.033756609306728;	0.036639208846601
0.028967176925545;	0.032047306855703;	0.033707402259085;	0.035716383766213
0.027171777981456;	0.030259726433140;	0.033151388756838;	0.033926585136634
0.025649463512742;	0.029115809046588;	0.032532563679927;	0.032917135583293
0.023828602492563;	0.027966008257344;	0.031873773256197;	0.031273211164542
0.021251494972919;	0.025582481112638;	0.029994237719348;	0.028793065856287
0.018671553755490;	0.022855383469817;	0.027403662913490;	0.026744499120799
0.016237882183307;	0.020236821401095;	0.024993280306938;	0.024091509357587
0.013964119108632;	0.017698443930762;	0.022441523940428;	0.021012856734926
0.011747451409228;	0.015102129871005;	0.019498694044896;	0.017942246839264
0.009795014186684;	0.012686596252939;	0.016651913152549;	0.015165907272029
0.008056935628100;	0.010479707436026;	0.013970459026682;	0.012857664634417
0.006475124052938;	0.008539961011071;	0.011496548353570;	0.010284959433872
0.005126135306194;	0.006843183100446;	0.009335872958125;	0.008131163664330
0.003957529755768;	0.005293361401746;	0.007290361792822;	0.006509537194967
0.003052553176139;	0.004083262897536;	0.005665627325891;	0.004969869464946
0.002318680492756;	0.003096870754983;	0.004306064757547;	0.003686521662742
0.001739289090789;	0.002324099381190;	0.003223646550350;	0.002733975756080
0.001296765042840;	0.001732310588934;	0.002391052645349;	0.002077577384042
0.000965764126442;	0.001286960198774;	0.001775546097125;	0.001575571599529
0.000712161956919;	0.000950727541432;	0.001321542212153;	0.001161941677519
0.000516613354218;	0.000694060032528;	0.000965969047626;	0.000826597539483
0.000373755568589;	0.000503778669054;	0.000698999973276;	0.000598338477793
0.000263074420249;	0.000358369694349;	0.000500969442980;	0.000434163040338
0.000181173684680;	0.000250320521901;	0.000354584398111;	0.000293232060611
0.000121261586717;	0.000169686533860;	0.000244377270401;	0.000202985569798
0.000075700184853;	0.000108602918565;	0.000160400554162;	0.000128561441424
0.000046011806534;	0.000067413077363;	0.000102182038472;	0.000082809178061
0.000027374709775;	0.000040644939139;	0.000063479928887;	0.000057723790216
0.000012319423554;	0.000019288881572;	0.000032904824608;	0.000022751660460
0.000000609634367;	0.000000973256889;	0.000001781370570;	0.000001113709407
0.000000048975598;	0.000000077825487;	0.000000184925619;	0.000000133136437
