0.000000000000000;	0.076581659220161;	0.057904639399520;	0.038374709037738;
0.002142235040863;	0.002494871269681;	0.000000000000000;	0.000000000000000;
0.001836103125170;	0.002057263308224;	0.000000000000000;	0.000000000000000;
0.001570945458926;	0.001595142687623;	0.000000000000000;	0.000000000000000;
0.001674663485304;	0.008711023339245;	0.000000000000000;	0.000000000000000;
0.001398706170340;	0.013272210468992;	0.000000000000000;	0.000000000000000;
0.001444776779924;	0.016533410589838;	0.000000000000000;	0.001037779373543;
0.001379024937579;	0.019889881659760;	0.000000000000000;	0.002075558747085;
0.001399920427240;	0.023344657009520;	0.000000000000000;	0.000973325802475;
0.001417459135504;	0.022117468202159;	0.000000000000000;	0.000869459592643;
0.001392914262533;	0.020223091585046;	0.000000000000000;	0.001165771253541;
0.001438676271414;	0.017618274984193;	0.000000000000000;	0.002437291007448;
0.001302594528956;	0.015759940726377;	0.000000000000000;	0.002694817616375;
0.001339013740449;	0.014672017915245;	0.000000000000000;	0.001906198746806;
0.001490468891822;	0.014343057102570;	0.000000000000000;	0.001808650423146;
0.001510258039161;	0.015822710030814;	0.000000014003814;	0.002592549225656;
0.001523599644848;	0.018453163293211;	0.000000028007627;	0.003443533565451;
0.001342178224888;	0.018522219448448;	0.000000027695490;	0.002702685435414;
0.001555113739541;	0.015787392359435;	0.001192415897185;	0.002493201033456;
0.001632138578850;	0.014079071154112;	0.001079452684811;	0.003599456184515;
0.001631908404860;	0.013000906674601;	0.001084917361832;	0.003818177580001;
0.001382076526062;	0.012873709622165;	0.001061356179072;	0.003087709960153;
0.001754477512564;	0.012591323155526;	0.000992965620692;	0.003716283534604;
0.001769238240465;	0.012795512618364;	0.000999636158306;	0.004407567729201;
0.001576625029636;	0.012224211682191;	0.000933464512620;	0.003881691619588;
0.001713149783734;	0.012093961281977;	0.000867512861870;	0.004442379085523;
0.001907031254377;	0.012177783361190;	0.001488839035101;	0.004847279500005;
0.001840302608069;	0.012189911822159;	0.002826964344248;	0.004501875657608;
0.001682436056045;	0.012332248273414;	0.002359200449116;	0.005073490327528;
0.002013645761269;	0.012044891108286;	0.002101580488695;	0.004980157088278;
0.001979597798527;	0.012317569691926;	0.002034948219828;	0.005037443230264;
0.001789520467663;	0.012307729790227;	0.002386554924157;	0.005402599164607;
