0.000000000000000;	0.057355047702743;	0.026423300016059;	0.022877839048791;
0.045284806984904;	0.045266601113448;	0.021369333488712;	0.015025144763584;
0.037239409661302;	0.037585260946023;	0.017717611843951;	0.012433609714380;
0.030575690814172;	0.029874901713333;	0.014104218401003;	0.010065085082794;
0.026437811445012;	0.024311760523863;	0.011533997427107;	0.008477489403544;
0.023521710473912;	0.020269826500192;	0.009687013002835;	0.007354463882617;
0.032385974621225;	0.027832831461330;	0.014947048685878;	0.013433039033016;
0.028425054231876;	0.023896230387085;	0.012731235623685;	0.012146822841948;
0.017922019758302;	0.014424233480094;	0.007004008421908;	0.005979820032752;
0.017612358436767;	0.013717285343630;	0.006701005170304;	0.005790150171036;
0.016967689600937;	0.012833651984780;	0.006326608274281;	0.005668008020017;
0.015768866777512;	0.011641445915436;	0.005814028469943;	0.005794601445940;
0.015445797536224;	0.011115115630226;	0.005592380196941;	0.005876819349277;
0.014920905102797;	0.010679325494299;	0.005385181128472;	0.005410679358493;
0.014562249079462;	0.010524984252696;	0.005320816894661;	0.005182185161016;
0.023655157470477;	0.019531894093439;	0.010596417241436;	0.009632104897370;
0.023884161807886;	0.022669516520295;	0.011973323215929;	0.011481297400670;
0.014501443558542;	0.012126217042715;	0.006352294171168;	0.005950784549021;
0.013951631601421;	0.011178635590145;	0.006255606029312;	0.005575991213852;
0.013829571354764;	0.010533933866017;	0.005953515494649;	0.005993620824356;
0.013576427163504;	0.009954546363099;	0.005691693538395;	0.006062952435182;
0.012957273717491;	0.009653940954274;	0.005488057688436;	0.005514067723406;
0.013038798129729;	0.009662892625832;	0.005465474783030;	0.005807727275677;
0.013265912648230;	0.009868877781622;	0.005576594333753;	0.006278457070394;
0.012904076373213;	0.009503977054774;	0.005354200129636;	0.005923054549301;
0.012616416623883;	0.009347041097641;	0.005231336219644;	0.006078186305340;
0.012881959449637;	0.009717957858287;	0.005993228647665;	0.006512244471213;
0.013120131455881;	0.009898366230587;	0.006521002967619;	0.006472566461832;
0.012301629293292;	0.009361599656586;	0.005960026732940;	0.006492084538580;
0.012314368675179;	0.009153151937545;	0.005726824171030;	0.006449052727655;
0.012545385633634;	0.009361924361167;	0.005778542869097;	0.006563538859933;
0.012192215398861;	0.009295615981295;	0.005948907685390;	0.006696069968903;
0.012477607571440;	0.009511763380332;	0.006252935937527;	0.006880884781112;
0.012480342214082;	0.009526116419522;	0.006326100642457;	0.007029014066012;
0.012107223806215;	0.009404572823887;	0.006214815934888;	0.006989614871781;
0.012397025066360;	0.009563398565164;	0.006157964270418;	0.007171776129567;
0.012276496764197;	0.009667649136769;	0.006423518110772;	0.007227008178609;
0.012069707234415;	0.009565876497555;	0.006628533773276;	0.007325027064954;
0.012425203048944;	0.009764422017618;	0.006770255997777;	0.007480535862305;
0.012114817428598;	0.009668133298802;	0.006788068139264;	0.007534774133827;
0.012407081535513;	0.009973290917551;	0.007090745867583;	0.007741299947413;
0.012557324417602;	0.010007352816091;	0.007140636940668;	0.007804479808604;
0.012071815426125;	0.009783611793306;	0.007032032675632;	0.007822513217110;
0.012382027279127;	0.010026017582255;	0.007255840358665;	0.007943242249303;
0.012663155495720;	0.010165448363574;	0.007426560406294;	0.008129612810715;
0.012270851975268;	0.010154788041931;	0.007427163800206;	0.008231381083367;
0.012394047445918;	0.010209707955194;	0.007517448590066;	0.008292327451663;
0.012864837235060;	0.010388672184565;	0.007705539893805;	0.008462042431149;
0.012284093474033;	0.010330730936057;	0.007714516368277;	0.008525783835009;
0.012226817135726;	0.010308669873404;	0.007810875971775;	0.008567200730369;
0.012925767712817;	0.010648975151546;	0.008025879813054;	0.008862537032968;
0.012525397186224;	0.010654134792488;	0.008091840941908;	0.008886060054290;
0.012494462644999;	0.010586205578508;	0.008160304743199;	0.008946559012743;
0.012976649961651;	0.010831902363226;	0.008313356220216;	0.009176671154784;
0.012644031941845;	0.010855501520699;	0.008396265928983;	0.009211716896421;
0.012588250276606;	0.010834785778222;	0.008494307039866;	0.009430022487510;
0.013024143107882;	0.011094095130018;	0.008728832708574;	0.009674788791510;
0.012826473953156;	0.011139825769703;	0.008794694408458;	0.009718812387060;
0.012743422474847;	0.011079121738659;	0.008851445985766;	0.009812525056878;
0.013039330139379;	0.011271349908132;	0.009035037924093;	0.009909677248231;
0.012955263646745;	0.011500213075633;	0.009281141117921;	0.010038852068247;
