0.0023142762;	0.0000728028;	0.0000528633;	0.0000436252;	0.0000395528;	0.0000361456;	0.0000338912;	0.0000327738;	0.0000311665;	0.0000304289;	0.0000295091;	0.0000289416;	0.0000284285;	0.0000285456;	0.0000274345;	0.0000276192;	0.0000276654;	0.0000277677;	0.0000273896;	0.0000274628;	0.0000280274;	0.0000284572;	0.0000282996;	0.0000285165;	0.0000288956;	0.0000298117;	0.0000294988;	0.0000294270;	0.0000320896;	0.0000301858;	0.0000322190;	0.0000331623;	0.0000320320;	0.0000341494;	0.0000342396;	0.0000355926;	0.0000353249;	0.0000375129;	0.0000373864;	0.0000382927;	0.0000399020;	0.0000405033;	0.0000416926;	0.0000431738;	0.0000431996;	0.0000460991;	0.0000463163;	0.0000471081;	0.0000505682;	0.0000503472;	0.0000516338;	0.0000554569;	0.0000551277;	0.0000568659;	0.0000609161;	0.0000605823;	0.0000629766;	0.0000669675;	0.0000668679;	0.0000702899;	0.0000736441;	0.0000746169;	0.0000779021;	0.0000817285;	0.0000833053;	0.0000870815;	0.0000908560;	0.0000929348;	0.0000972521;	0.0001017839;	0.0001043092;	0.0001088221;	0.0001141271;	0.0001169853;	0.0001221393;	0.0001289612;	0.0001312472;	0.0001370520;	0.0001449839;	0.0001490061;	0.0001540726;	0.0001619482;	0.0001692382;	0.0001738128;	0.0001817578;	0.0001910644;	0.0001964389;	0.0002043952;	0.0002139078;	0.0002237208;	0.0002294806;	0.0002385953;	0.0002503610;	0.0002596490;	0.0002673159;	0.0002773381;	0.0002893881;	0.0002996155;	0.0003081382;	0.0003193234;	0.0003311915;	0.0003434663;	0.0003507604;	0.0003620850;	0.0003731996;	0.0003862273;	0.0003945457;	0.0004031563;	0.0004125782;	0.0004218516;	0.0004329357;	0.0004379814;	0.0004442111;	0.0004505187;	0.0004552570;	0.0004597491;	0.0004620415;	0.0004605619;	0.0004598582;	0.0004576368;	0.0004532828;	0.0004480890;	0.0004407583;	0.0004289712;	0.0004166915;	0.0004028734;	0.0003873881;	0.0003698800;	0.0003508510;	0.0003311243;	0.0003080773;	0.0002853979;	0.0002621524;	0.0002384536;	0.0002146699;	0.0001910225;	0.0001681286;	0.0001461773;	0.0001252810;	0.0001056820;	0.0000880198;	0.0000720555;	0.0000579828;	0.0000457849;	0.0000354293;	0.0000268290;	0.0000198528;	0.0000143327;	0.0000100835;	0.0000068966;	0.0000045639;	0.0000029254;	0.0000018142;	0.0000010854;	0.0000006248;	0.0000003452;	0.0000001828;	0.0000000924;	0.0000000445;	0.0000000203;	0.0000000088;	0.0000000036;	0.0000000014;	0.0000000005;	0.0000000002;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
0.0003117971;	0.0000158508;	0.0000110662;	0.0000088700;	0.0000078545;	0.0000070365;	0.0000064857;	0.0000061784;	0.0000057963;	0.0000055835;	0.0000053461;	0.0000051819;	0.0000050340;	0.0000050005;	0.0000047552;	0.0000047424;	0.0000047095;	0.0000046891;	0.0000045914;	0.0000045817;	0.0000046548;	0.0000047045;	0.0000046591;	0.0000046765;	0.0000047222;	0.0000048566;	0.0000047909;	0.0000047638;	0.0000051752;	0.0000048493;	0.0000051549;	0.0000052858;	0.0000050917;	0.0000054157;	0.0000054167;	0.0000056169;	0.0000055553;	0.0000058779;	0.0000058385;	0.0000059556;	0.0000061829;	0.0000062549;	0.0000064145;	0.0000066207;	0.0000066052;	0.0000070251;	0.0000070355;	0.0000071330;	0.0000076336;	0.0000075751;	0.0000077455;	0.0000082970;	0.0000082222;	0.0000084579;	0.0000090378;	0.0000089633;	0.0000092899;	0.0000098491;	0.0000098047;	0.0000102726;	0.0000107297;	0.0000108422;	0.0000112899;	0.0000118131;	0.0000120147;	0.0000125366;	0.0000130629;	0.0000133496;	0.0000139574;	0.0000145954;	0.0000149464;	0.0000155792;	0.0000163208;	0.0000167143;	0.0000174346;	0.0000183926;	0.0000187012;	0.0000195152;	0.0000206369;	0.0000211890;	0.0000218168;	0.0000228298;	0.0000237476;	0.0000242783;	0.0000252732;	0.0000264390;	0.0000270480;	0.0000280033;	0.0000291569;	0.0000303330;	0.0000309651;	0.0000321235;	0.0000336515;	0.0000348136;	0.0000356995;	0.0000368890;	0.0000383328;	0.0000395180;	0.0000404640;	0.0000417423;	0.0000430926;	0.0000444748;	0.0000451863;	0.0000463932;	0.0000475549;	0.0000489372;	0.0000497009;	0.0000504856;	0.0000513301;	0.0000520425;	0.0000529532;	0.0000531338;	0.0000534325;	0.0000536428;	0.0000536362;	0.0000535728;	0.0000532066;	0.0000524279;	0.0000517467;	0.0000509427;	0.0000499069;	0.0000487785;	0.0000474245;	0.0000456297;	0.0000439663;	0.0000423903;	0.0000407558;	0.0000388886;	0.0000367904;	0.0000346392;	0.0000322538;	0.0000299188;	0.0000275787;	0.0000251993;	0.0000227980;	0.0000203947;	0.0000180091;	0.0000156587;	0.0000133976;	0.0000112683;	0.0000093393;	0.0000076027;	0.0000061137;	0.0000048291;	0.0000037550;	0.0000028495;	0.0000020888;	0.0000014786;	0.0000010177;	0.0000006800;	0.0000004410;	0.0000002796;	0.0000001773;	0.0000001087;	0.0000000637;	0.0000000359;	0.0000000185;	0.0000000091;	0.0000000043;	0.0000000019;	0.0000000008;	0.0000000003;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
0.0001907517;	0.0000107133;	0.0000076355;	0.0000062526;	0.0000056341;	0.0000051172;	0.0000047684;	0.0000045830;	0.0000043333;	0.0000042268;	0.0000040997;	0.0000040190;	0.0000039457;	0.0000039646;	0.0000038171;	0.0000038402;	0.0000038394;	0.0000038439;	0.0000037777;	0.0000037471;	0.0000037843;	0.0000038066;	0.0000037483;	0.0000037402;	0.0000037504;	0.0000038279;	0.0000037486;	0.0000037047;	0.0000040117;	0.0000037504;	0.0000039822;	0.0000040755;	0.0000039054;	0.0000041265;	0.0000041022;	0.0000042295;	0.0000041792;	0.0000044211;	0.0000043876;	0.0000044858;	0.0000046614;	0.0000047147;	0.0000048421;	0.0000049962;	0.0000049774;	0.0000052949;	0.0000053023;	0.0000053753;	0.0000057494;	0.0000057088;	0.0000058336;	0.0000062371;	0.0000061806;	0.0000063501;	0.0000067695;	0.0000067060;	0.0000069479;	0.0000073640;	0.0000073299;	0.0000076862;	0.0000080288;	0.0000081014;	0.0000084214;	0.0000087972;	0.0000089169;	0.0000092588;	0.0000095818;	0.0000097100;	0.0000100654;	0.0000104333;	0.0000105856;	0.0000109370;	0.0000113652;	0.0000115358;	0.0000119253;	0.0000124635;	0.0000125567;	0.0000129684;	0.0000135544;	0.0000137668;	0.0000141192;	0.0000147259;	0.0000152719;	0.0000155577;	0.0000161294;	0.0000168199;	0.0000171553;	0.0000177022;	0.0000183719;	0.0000190589;	0.0000194143;	0.0000200611;	0.0000208751;	0.0000215233;	0.0000221385;	0.0000229450;	0.0000239181;	0.0000247435;	0.0000254293;	0.0000263394;	0.0000273044;	0.0000283083;	0.0000289093;	0.0000298533;	0.0000307770;	0.0000318625;	0.0000325605;	0.0000332775;	0.0000340964;	0.0000351120;	0.0000363076;	0.0000369628;	0.0000377469;	0.0000387211;	0.0000395808;	0.0000404464;	0.0000412078;	0.0000415975;	0.0000420463;	0.0000422911;	0.0000423429;	0.0000422958;	0.0000420274;	0.0000412806;	0.0000401686;	0.0000384751;	0.0000364240;	0.0000342539;	0.0000321424;	0.0000300088;	0.0000274650;	0.0000250227;	0.0000225299;	0.0000200503;	0.0000176360;	0.0000152818;	0.0000130821;	0.0000110951;	0.0000093213;	0.0000077580;	0.0000064010;	0.0000051890;	0.0000040918;	0.0000031569;	0.0000023541;	0.0000017216;	0.0000012492;	0.0000008969;	0.0000006321;	0.0000004482;	0.0000003117;	0.0000002059;	0.0000001214;	0.0000000680;	0.0000000367;	0.0000000189;	0.0000000100;	0.0000000050;	0.0000000024;	0.0000000011;	0.0000000005;	0.0000000002;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
0.0001734379;	0.0000110098;	0.0000077081;	0.0000061191;	0.0000053754;	0.0000047915;	0.0000044041;	0.0000041898;	0.0000039275;	0.0000037544;	0.0000035643;	0.0000034312;	0.0000033129;	0.0000032660;	0.0000030781;	0.0000030558;	0.0000030279;	0.0000030122;	0.0000029498;	0.0000029518;	0.0000030067;	0.0000030423;	0.0000030200;	0.0000030392;	0.0000030814;	0.0000031846;	0.0000031552;	0.0000031468;	0.0000034169;	0.0000031976;	0.0000033913;	0.0000034740;	0.0000033570;	0.0000035877;	0.0000036007;	0.0000037456;	0.0000036960;	0.0000038963;	0.0000038618;	0.0000039186;	0.0000040501;	0.0000040863;	0.0000041702;	0.0000042893;	0.0000042690;	0.0000045198;	0.0000045052;	0.0000045471;	0.0000048482;	0.0000047872;	0.0000048770;	0.0000052150;	0.0000051490;	0.0000052808;	0.0000056334;	0.0000055697;	0.0000057470;	0.0000060629;	0.0000060028;	0.0000062492;	0.0000064878;	0.0000065276;	0.0000067700;	0.0000070498;	0.0000071483;	0.0000074485;	0.0000077734;	0.0000079725;	0.0000083658;	0.0000087789;	0.0000090283;	0.0000094467;	0.0000099305;	0.0000102136;	0.0000107009;	0.0000113409;	0.0000115791;	0.0000121393;	0.0000129163;	0.0000133647;	0.0000138932;	0.0000146625;	0.0000153791;	0.0000158694;	0.0000166843;	0.0000176212;	0.0000181986;	0.0000190260;	0.0000200092;	0.0000210221;	0.0000216300;	0.0000225587;	0.0000237904;	0.0000247205;	0.0000253485;	0.0000262016;	0.0000272457;	0.0000281020;	0.0000287838;	0.0000296995;	0.0000306778;	0.0000316725;	0.0000322569;	0.0000332190;	0.0000341566;	0.0000352526;	0.0000359222;	0.0000366218;	0.0000374084;	0.0000379166;	0.0000384667;	0.0000384307;	0.0000384517;	0.0000382587;	0.0000379549;	0.0000376138;	0.0000369556;	0.0000359638;	0.0000350057;	0.0000338920;	0.0000325945;	0.0000313479;	0.0000300300;	0.0000284703;	0.0000271287;	0.0000260166;	0.0000250194;	0.0000239076;	0.0000225620;	0.0000211322;	0.0000195355;	0.0000179213;	0.0000162681;	0.0000146186;	0.0000130206;	0.0000115568;	0.0000102928;	0.0000091164;	0.0000079007;	0.0000066509;	0.0000055169;	0.0000045168;	0.0000036455;	0.0000028921;	0.0000022725;	0.0000017490;	0.0000013130;	0.0000009706;	0.0000006916;	0.0000004481;	0.0000002663;	0.0000001527;	0.0000000906;	0.0000000525;	0.0000000293;	0.0000000155;	0.0000000079;	0.0000000038;	0.0000000018;	0.0000000008;	0.0000000003;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
0.0001556097;	0.0000094112;	0.0000066029;	0.0000053572;	0.0000047806;	0.0000042920;	0.0000039460;	0.0000037372;	0.0000034841;	0.0000033823;	0.0000032683;	0.0000031867;	0.0000031128;	0.0000031207;	0.0000030024;	0.0000030083;	0.0000029886;	0.0000029717;	0.0000029039;	0.0000028890;	0.0000029280;	0.0000029572;	0.0000029194;	0.0000029153;	0.0000029121;	0.0000029556;	0.0000028868;	0.0000028491;	0.0000030948;	0.0000028986;	0.0000030796;	0.0000031395;	0.0000029816;	0.0000031138;	0.0000030818;	0.0000031664;	0.0000031368;	0.0000033461;	0.0000033256;	0.0000034057;	0.0000035580;	0.0000036024;	0.0000037179;	0.0000038631;	0.0000038757;	0.0000041638;	0.0000042211;	0.0000043233;	0.0000046617;	0.0000046674;	0.0000048042;	0.0000051580;	0.0000051338;	0.0000053079;	0.0000056889;	0.0000056697;	0.0000059232;	0.0000063391;	0.0000063765;	0.0000067537;	0.0000071335;	0.0000072692;	0.0000076276;	0.0000080593;	0.0000082604;	0.0000086655;	0.0000090271;	0.0000091924;	0.0000095737;	0.0000099765;	0.0000101616;	0.0000105335;	0.0000109671;	0.0000111463;	0.0000115294;	0.0000120568;	0.0000121597;	0.0000125860;	0.0000131609;	0.0000133380;	0.0000136298;	0.0000141939;	0.0000146992;	0.0000149320;	0.0000154316;	0.0000160278;	0.0000162851;	0.0000167435;	0.0000173019;	0.0000178705;	0.0000181368;	0.0000186864;	0.0000194340;	0.0000200145;	0.0000205385;	0.0000212202;	0.0000220263;	0.0000226907;	0.0000232280;	0.0000239565;	0.0000247065;	0.0000254841;	0.0000257324;	0.0000262099;	0.0000266615;	0.0000272447;	0.0000274584;	0.0000276756;	0.0000278213;	0.0000280150;	0.0000284830;	0.0000287015;	0.0000290066;	0.0000293357;	0.0000294572;	0.0000295236;	0.0000295104;	0.0000293767;	0.0000293561;	0.0000294261;	0.0000293891;	0.0000291432;	0.0000286676;	0.0000279120;	0.0000272988;	0.0000265494;	0.0000255245;	0.0000243115;	0.0000229625;	0.0000215974;	0.0000200434;	0.0000186023;	0.0000172737;	0.0000159277;	0.0000145295;	0.0000130445;	0.0000113935;	0.0000096727;	0.0000080953;	0.0000067095;	0.0000054643;	0.0000043306;	0.0000033829;	0.0000025960;	0.0000019891;	0.0000014785;	0.0000010488;	0.0000006918;	0.0000004433;	0.0000002880;	0.0000001885;	0.0000001208;	0.0000000740;	0.0000000435;	0.0000000246;	0.0000000134;	0.0000000070;	0.0000000035;	0.0000000017;	0.0000000008;	0.0000000003;	0.0000000001;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
0.0001323406;	0.0000092391;	0.0000065588;	0.0000052647;	0.0000046715;	0.0000042102;	0.0000039316;	0.0000038109;	0.0000036238;	0.0000034903;	0.0000033464;	0.0000032578;	0.0000031700;	0.0000031359;	0.0000029678;	0.0000029500;	0.0000029305;	0.0000029170;	0.0000028509;	0.0000028274;	0.0000028494;	0.0000028632;	0.0000028247;	0.0000028393;	0.0000029026;	0.0000030283;	0.0000030026;	0.0000029975;	0.0000032534;	0.0000030618;	0.0000032859;	0.0000034296;	0.0000033698;	0.0000036593;	0.0000036816;	0.0000038335;	0.0000037981;	0.0000039891;	0.0000039770;	0.0000040935;	0.0000042490;	0.0000043200;	0.0000044357;	0.0000045542;	0.0000045109;	0.0000047547;	0.0000046980;	0.0000047156;	0.0000050115;	0.0000049458;	0.0000050292;	0.0000053747;	0.0000053270;	0.0000054546;	0.0000058016;	0.0000057317;	0.0000059038;	0.0000062080;	0.0000061238;	0.0000063718;	0.0000065913;	0.0000065974;	0.0000068084;	0.0000070392;	0.0000070627;	0.0000072684;	0.0000074989;	0.0000075973;	0.0000078782;	0.0000081636;	0.0000083014;	0.0000086080;	0.0000089994;	0.0000091997;	0.0000095904;	0.0000101086;	0.0000102666;	0.0000106741;	0.0000112599;	0.0000115650;	0.0000119277;	0.0000124752;	0.0000129718;	0.0000132703;	0.0000138193;	0.0000144863;	0.0000148463;	0.0000153875;	0.0000160489;	0.0000167290;	0.0000171051;	0.0000177168;	0.0000184366;	0.0000189584;	0.0000193485;	0.0000199083;	0.0000206188;	0.0000211889;	0.0000216234;	0.0000222438;	0.0000229130;	0.0000236023;	0.0000240430;	0.0000247971;	0.0000255093;	0.0000263310;	0.0000268241;	0.0000273088;	0.0000279308;	0.0000285958;	0.0000292775;	0.0000293893;	0.0000296027;	0.0000301102;	0.0000305419;	0.0000309754;	0.0000313686;	0.0000314032;	0.0000314613;	0.0000312591;	0.0000309248;	0.0000306161;	0.0000301930;	0.0000294270;	0.0000281190;	0.0000265188;	0.0000248751;	0.0000231693;	0.0000215997;	0.0000201237;	0.0000185384;	0.0000170029;	0.0000154112;	0.0000138009;	0.0000121778;	0.0000105284;	0.0000089870;	0.0000076625;	0.0000064459;	0.0000053345;	0.0000043719;	0.0000035737;	0.0000028974;	0.0000022824;	0.0000016613;	0.0000011833;	0.0000008375;	0.0000005915;	0.0000004055;	0.0000002737;	0.0000001807;	0.0000001165;	0.0000000731;	0.0000000441;	0.0000000255;	0.0000000141;	0.0000000076;	0.0000000039;	0.0000000019;	0.0000000008;	0.0000000003;	0.0000000001;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;	0.0000000000;	0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	-0.0000000000;	0.0000000000;
