0.000220948295792;	0.000006950616885;	0.000005046954051;	0.000004164984345;	0.000003776184395;	0.000003450885695;	0.000003235653591;	0.000003128979191;	0.000002975522056;	0.000002905102441;	0.000002817290442;	0.000002763111560;	0.000002714125531;	0.000002725298530;	0.000002619218524;	0.000002636854918;	0.000002641264352;	0.000002651044474;	0.000002614936837;	0.000002658678795;	0.000002768170085;	0.000002752204770;	0.000002796100308;	0.000002789164908;	0.000002859526732;	0.000002931390049;	0.000002921305175;	0.000002910816548;	0.000003176520349;	0.000003037369042;	0.000003098408285;	0.000003166062419;	0.000003058159268;	0.000003260304904;	0.000003268922097;	0.000003398091290;	0.000003372536213;	0.000003581423726;	0.000003569346999;	0.000003655876711;	0.000003809523129;	0.000003866928284;	0.000003980471916;	0.000004121886386;	0.000004124346329;	0.000004401166489;	0.000004421903519;	0.000004497494668;	0.000004827842731;	0.000004806738454;	0.000004929576953;	0.000005294571655;	0.000005263140477;	0.000005429096042;	0.000005815777530;	0.000005783908111;	0.000006012493841;	0.000006393514429;	0.000006384003718;	0.000006710710189;	0.000007030939777;	0.000007123815987;	0.000007437459025;	0.000007802772374;	0.000007953311398;	0.000008313831307;	0.000008674195748;	0.000008872659872;	0.000009284837120;	0.000009717499789;	0.000009958598474;	0.000010389451525;	0.000010895930169;	0.000011168808086;	0.000011660869766;	0.000012312163382;	0.000012530419660;	0.000013084613775;	0.000013841883463;	0.000014225896703;	0.000014709596346;	0.000015461498859;	0.000016157489187;	0.000016594233568;	0.000017352754595;	0.000018241280684;	0.000018754391103;	0.000019513994680;	0.000020422174676;	0.000021359040502;	0.000021908943749;	0.000022779142317;	0.000023902433936;	0.000024789175848;	0.000025521147234;	0.000026477989666;	0.000027628422222;	0.000028604852063;	0.000029418536968;	0.000030486403744;	0.000031619475364;	0.000032791375243;	0.000033487754835;	0.000034568935837;	0.000035630064612;	0.000036873841720;	0.000037668023634;	0.000038490093592;	0.000039389613202;	0.000040274969081;	0.000041333189064;	0.000041814910985;	0.000042409666535;	0.000043011866209;	0.000043464237201;	0.000043893105399;	0.000044111970153;	0.000043970711735;	0.000043903525351;	0.000043691446346;	0.000043275758787;	0.000042779896440;	0.000042080022326;	0.000040954687943;	0.000039782319049;	0.000038463079163;	0.000036984671954;	0.000035313139681;	0.000033496405826;	0.000031613059534;	0.000029412720221;	0.000027247474169;	0.000025028184598;	0.000022765610667;	0.000020494934311;	0.000018237272100;	0.000016051555212;	0.000013955821397;	0.000011960811743;	0.000010089655763;	0.000008403414980;	0.000006879269281;	0.000005535726343;	0.000004371170640;	0.000003382497398;	0.000002579264498;	0.000001986336539;	0.000001494101322;	0.000001096442967;	0.000000783092650;	0.000000541751352;	0.000000363419143;	0.000000235910605;	0.000000147925848;	0.000000089371643;	0.000000051893845;	0.000000030957197;	0.000000017511112;	0.000000009340342;	0.000000004692567;	0.000000002216347;	0.000000000981562;	0.000000000406579;	0.000000000157194;	0.000000000056573;	0.000000000018905;	0.000000000005855;	0.000000000001676;	0.000000000000441;	0.000000000000105;	0.000000000000021;	0.000000000000003;	-0.000000000000001;	-0.000000000000001;	-0.000000000000003;	-0.000000000000004;	-0.000000000000004;	-0.000000000000002;	-0.000000000000000;	-0.000000000000001;	-0.000000000000004;	-0.000000000000005;	-0.000000000000002;	0.000000000000001;	-0.000000000000000;	-0.000000000000004;	-0.000000000000004;	0.000000000000000;	0.000000000000001;	-0.000000000000001;	-0.000000000000004;	-0.000000000000002;	0.000000000000002;	0.000000000000004;	0.000000000000003;	0.000000000000000;	-0.000000000000002;	-0.000000000000002;	-0.000000000000001;	0.000000000000001;	0.000000000000004;	0.000000000000005;	0.000000000000005;	0.000000000000005;	0.000000000000004;	0.000000000000003;	0.000000000000002;	0.000000000000001;	0.000000000000001;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
0.000029767853907;	0.000001513302093;	0.000001056510288;	0.000000846832048;	0.000000749883345;	0.000000671787818;	0.000000619198202;	0.000000589861132;	0.000000553386843;	0.000000533063215;	0.000000510400401;	0.000000494724453;	0.000000480608703;	0.000000477403386;	0.000000453990208;	0.000000452764210;	0.000000449626463;	0.000000447676433;	0.000000438350321;	0.000000437426900;	0.000000444400689;	0.000000449147604;	0.000000444813251;	0.000000446472136;	0.000000450841886;	0.000000463669456;	0.000000457393438;	0.000000454811561;	0.000000494086831;	0.000000545005281;	0.000000610006771;	0.000000508303993;	0.000000486116583;	0.000000517049072;	0.000000517141280;	0.000000536251503;	0.000000530378085;	0.000000561174804;	0.000000557416519;	0.000000568593617;	0.000000590290919;	0.000000597170605;	0.000000612405456;	0.000000632092959;	0.000000630607451;	0.000000670697822;	0.000000671692660;	0.000000680998265;	0.000000728796773;	0.000000723209983;	0.000000739474885;	0.000000792130939;	0.000000784993278;	0.000000807489382;	0.000000862860304;	0.000000855745164;	0.000000886922288;	0.000000940310794;	0.000000936068725;	0.000000980746007;	0.000001024381690;	0.000001035121969;	0.000001077866650;	0.000001127816377;	0.000001147064020;	0.000001196895832;	0.000001247140383;	0.000001274514627;	0.000001332542968;	0.000001393453424;	0.000001426963135;	0.000001487375920;	0.000001558174579;	0.000001595749984;	0.000001664514066;	0.000001755977027;	0.000001785440214;	0.000001863148809;	0.000001970243065;	0.000002022954182;	0.000002082887589;	0.000002179603643;	0.000002267226619;	0.000002317892657;	0.000002412884527;	0.000002524181831;	0.000002582323377;	0.000002673531886;	0.000002783663032;	0.000002895945718;	0.000002956299216;	0.000003066890725;	0.000003212773724;	0.000003323717257;	0.000003408300385;	0.000003521866262;	0.000003659702324;	0.000003772857570;	0.000003863178395;	0.000003985218138;	0.000004114131527;	0.000004246092206;	0.000004314020208;	0.000004429249787;	0.000004540152023;	0.000004672123098;	0.000004745039235;	0.000004819958832;	0.000004900583511;	0.000004968592857;	0.000005055541794;	0.000005072785913;	0.000005101297181;	0.000005121379507;	0.000005120747643;	0.000005114695468;	0.000005079735557;	0.000005005391780;	0.000004940352797;	0.000004863595130;	0.000004764707805;	0.000004656976564;	0.000004527702962;	0.000004356349844;	0.000004197543077;	0.000004047077525;	0.000003891031411;	0.000003712768669;	0.000003512449993;	0.000003589446506;	0.000004635135229;	0.000005509918114;	0.000006194992954;	0.000006681689411;	0.000006969855951;	0.000007057610602;	0.000006969757085;	0.000006721429331;	0.000006328963291;	0.000005821663695;	0.000005253959358;	0.000004687435360;	0.000004263846099;	0.000003803669073;	0.000003327348341;	0.000002816056328;	0.000002205362124;	0.000001691102214;	0.000001270785226;	0.000000934577888;	0.000000670836296;	0.000000471676991;	0.000000356145830;	0.000000255740092;	0.000000171948913;	0.000000108754398;	0.000000055701112;	0.000000026908369;	0.000000012319979;	0.000000005332567;	0.000000002174940;	0.000000000832061;	0.000000000297463;	0.000000000099146;	0.000000000030625;	0.000000000008733;	0.000000000002288;	0.000000000000548;	0.000000000000119;	0.000000000000022;	0.000000000000003;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
0.000018211421202;	0.000001022821371;	0.000000728978159;	0.000000596948380;	0.000000537898965;	0.000000488545839;	0.000000455251577;	0.000000437552307;	0.000000413704818;	0.000000403543434;	0.000000391403978;	0.000000383702143;	0.000000376702768;	0.000000378509271;	0.000000364422622;	0.000000366634891;	0.000000366557722;	0.000000366987113;	0.000000360661016;	0.000000357744357;	0.000000361292497;	0.000000363425213;	0.000000357860584;	0.000000357080223;	0.000000358062038;	0.000000365457035;	0.000000357883518;	0.000000353691938;	0.000000383004492;	0.000000362609589;	0.000000525831574;	0.000000550030832;	0.000000390976594;	0.000000393963362;	0.000000391643171;	0.000000403793745;	0.000000398998593;	0.000000422095451;	0.000000418889670;	0.000000428270655;	0.000000445036432;	0.000000450119220;	0.000000462280772;	0.000000476999742;	0.000000475199161;	0.000000505518513;	0.000000506220130;	0.000000513187518;	0.000000548908425;	0.000000545027252;	0.000000556948574;	0.000000595470737;	0.000000590076230;	0.000000606254184;	0.000000646300868;	0.000000640234389;	0.000000663324496;	0.000000703051013;	0.000000699796229;	0.000000733818766;	0.000000766520859;	0.000000773453991;	0.000000804006978;	0.000000839885045;	0.000000851317116;	0.000000883959585;	0.000000914795669;	0.000000927034468;	0.000000960964828;	0.000000996085435;	0.000001010626931;	0.000001044179910;	0.000001085055974;	0.000001101348547;	0.000001138535246;	0.000001189912710;	0.000001198811583;	0.000001238118789;	0.000001294065818;	0.000001314340038;	0.000001347989476;	0.000001405905256;	0.000001458035736;	0.000001485326874;	0.000001539904940;	0.000001605825629;	0.000001637844472;	0.000001690064672;	0.000001754002421;	0.000001819586176;	0.000001853519310;	0.000001915268168;	0.000001992988519;	0.000002054873437;	0.000002113607974;	0.000002190600625;	0.000002283502492;	0.000002362309771;	0.000002427781339;	0.000002514671697;	0.000002606799251;	0.000002702646072;	0.000002760026303;	0.000002850153568;	0.000002938338239;	0.000003041975083;	0.000003108612001;	0.000003177068543;	0.000003255250421;	0.000004465324886;	0.000005919055682;	0.000007358458258;	0.000008877710333;	0.000010478086044;	0.000012103078409;	0.000013778558809;	0.000015441039464;	0.000016997999343;	0.000018601697656;	0.000020153325674;	0.000021614970297;	0.000023017573908;	0.000024287346421;	0.000025260508634;	0.000026108705520;	0.000026851056655;	0.000027419848676;	0.000027734721071;	0.000027816476087;	0.000027194337687;	0.000024423063161;	0.000021911313849;	0.000019562693134;	0.000017369949227;	0.000015339937337;	0.000013461047149;	0.000011751233010;	0.000010199295668;	0.000009103172817;	0.000008200875173;	0.000007371886387;	0.000006501939583;	0.000005423493488;	0.000004443349696;	0.000003567216498;	0.000002810165295;	0.000002192661943;	0.000001677794295;	0.000001259920724;	0.000000999775622;	0.000000776667434;	0.000000555578647;	0.000000292715932;	0.000000133397852;	0.000000052150847;	0.000000014964016;	0.000000007478476;	0.000000003776728;	0.000000001816061;	0.000000000831254;	0.000000000361429;	0.000000000147967;	0.000000000056842;	0.000000000019438;	0.000000000006236;	0.000000000001878;	0.000000000000529;	0.000000000000138;	0.000000000000033;	0.000000000000007;	0.000000000000001;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
0.000016558439396;	0.000001051124784;	0.000000735907659;	0.000000584201252;	0.000000513196972;	0.000000457453368;	0.000000420468795;	0.000000400004741;	0.000000374969505;	0.000000358442795;	0.000000340287499;	0.000000327585308;	0.000000316289988;	0.000000311807145;	0.000000293872469;	0.000000291741975;	0.000000289079408;	0.000000287576878;	0.000000281625565;	0.000000281810311;	0.000000287056098;	0.000000290453434;	0.000000288326411;	0.000000290153736;	0.000000294187913;	0.000000304036109;	0.000000301232871;	0.000000300426342;	0.000000326222530;	0.000000305282380;	0.000000330857968;	0.000000452417472;	0.000000532983493;	0.000000391018415;	0.000000343778692;	0.000000357598642;	0.000000352865314;	0.000000371988979;	0.000000368693042;	0.000000374116777;	0.000000386670086;	0.000000390123811;	0.000000398135502;	0.000000409512015;	0.000000407566717;	0.000000431515744;	0.000000430116820;	0.000000434123456;	0.000000462869325;	0.000000457040221;	0.000000465617486;	0.000000497888851;	0.000000491582534;	0.000000504165774;	0.000000537830906;	0.000000531750532;	0.000000548678459;	0.000000578832528;	0.000000573102525;	0.000000596618694;	0.000000619402837;	0.000000623203428;	0.000000646340648;	0.000000673061844;	0.000000682462397;	0.000000711123665;	0.000000742136900;	0.000000761147659;	0.000000798699233;	0.000000838141988;	0.000000861951206;	0.000000901894752;	0.000000948079953;	0.000000975115240;	0.000001021631269;	0.000001082734093;	0.000001105481759;	0.000001158957392;	0.000001359796870;	0.000001707014894;	0.000002085507701;	0.000002530486641;	0.000003001009884;	0.000003452985787;	0.000004003814636;	0.000004625661840;	0.000005188650928;	0.000005855021287;	0.000006610910582;	0.000007424757764;	0.000008139401549;	0.000009008243437;	0.000010036066941;	0.000011012771466;	0.000011952272849;	0.000013046777413;	0.000014297792612;	0.000015520041309;	0.000016707723174;	0.000018097504379;	0.000019594873119;	0.000021187730539;	0.000022540814066;	0.000024339235043;	0.000026205939560;	0.000028294222760;	0.000030120030491;	0.000032037821813;	0.000034093789630;	0.000034000137993;	0.000033691883520;	0.000032843702867;	0.000032025590910;	0.000031131448141;	0.000030074583180;	0.000028947315022;	0.000027623703471;	0.000026047353472;	0.000024491680586;	0.000022835934656;	0.000021072663791;	0.000020170512594;	0.000019312203860;	0.000018404246094;	0.000017645412854;	0.000016798810725;	0.000015956726242;	0.000015178521900;	0.000014459749889;	0.000014076636277;	0.000014365061610;	0.000014363015336;	0.000014060596779;	0.000013500587959;	0.000012767647590;	0.000012434408869;	0.000011975562353;	0.000011403778702;	0.000010248270103;	0.000008884882752;	0.000007597280345;	0.000006384703141;	0.000005300376133;	0.000004317663387;	0.000003445537557;	0.000002692351222;	0.000002189456295;	0.000001785751081;	0.000001342845956;	0.000000779841121;	0.000000349491541;	0.000000124843932;	0.000000066166005;	0.000000038715673;	0.000000021879174;	0.000000011933270;	0.000000006266685;	0.000000003169697;	0.000000001526738;	0.000000000682065;	0.000000000277229;	0.000000000106901;	0.000000000038900;	0.000000000014071;	0.000000000004781;	0.000000000001487;	0.000000000000427;	0.000000000000117;	0.000000000000030;	0.000000000000007;	0.000000000000001;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
0.000014856346642;	0.000000898506848;	0.000000630387700;	0.000000511463507;	0.000000456415294;	0.000000409761636;	0.000000376730688;	0.000000369429541;	0.000000335566780;	0.000000322910053;	0.000000312029093;	0.000000304243921;	0.000000297188487;	0.000000297938844;	0.000000286642575;	0.000000287203693;	0.000000285329481;	0.000000283715533;	0.000000277237423;	0.000000275818211;	0.000000279542420;	0.000000282328875;	0.000000278719293;	0.000000278330180;	0.000000278025244;	0.000000282178998;	0.000000275604101;	0.000000272011889;	0.000000295467248;	0.000000276730890;	0.000000294014198;	0.000000300059336;	0.000000355634401;	0.000000531291667;	0.000000404305547;	0.000000360131666;	0.000000410723215;	0.000000497986511;	0.000000555423026;	0.000000630158389;	0.000000721256102;	0.000000795793071;	0.000000886401222;	0.000000987781812;	0.000001057999070;	0.000001204890481;	0.000001287691318;	0.000001387319441;	0.000001571495257;	0.000001647158644;	0.000001773088616;	0.000001992586463;	0.000002069400083;	0.000002226809541;	0.000002483378563;	0.000002568352835;	0.000002774241208;	0.000003062345942;	0.000003170937950;	0.000003452788895;	0.000003743805206;	0.000003920085509;	0.000004225271862;	0.000004574285034;	0.000004806336758;	0.000005173772653;	0.000005550654246;	0.000005832321936;	0.000006266015097;	0.000006749024691;	0.000007119285802;	0.000007640352038;	0.000008237141073;	0.000008674152887;	0.000009298536976;	0.000010075936222;	0.000010520127296;	0.000011266173272;	0.000011969574154;	0.000012023742648;	0.000012144765603;	0.000012463320523;	0.000012705531921;	0.000012716065934;	0.000012944288655;	0.000013231004523;	0.000013212536381;	0.000013336141727;	0.000013519622575;	0.000013677472525;	0.000013556977439;	0.000013609264312;	0.000013765626410;	0.000013739282802;	0.000013590948783;	0.000013516220747;	0.000013499818790;	0.000013387012072;	0.000013153510951;	0.000012984758906;	0.000012785069038;	0.000012541151007;	0.000012048385825;	0.000011389361553;	0.000010643742478;	0.000009868769026;	0.000008892680810;	0.000007856441400;	0.000006755356977;	0.000007081735084;	0.000007749764967;	0.000008442130355;	0.000009279319928;	0.000010256636370;	0.000011328522491;	0.000012537232505;	0.000014168745962;	0.000016429779441;	0.000018764431022;	0.000021085742616;	0.000023313300103;	0.000023903606381;	0.000024214996688;	0.000024130451258;	0.000023887760225;	0.000023524059798;	0.000022965947709;	0.000022171786078;	0.000021191541479;	0.000020037226768;	0.000018526411802;	0.000017367503440;	0.000016881876151;	0.000016393809374;	0.000015833700053;	0.000014386791059;	0.000012907705717;	0.000011406622232;	0.000009965774897;	0.000008580080764;	0.000007275395776;	0.000006046289123;	0.000004951230384;	0.000003966715954;	0.000003455461225;	0.000002801962317;	0.000001858835074;	0.000000952618012;	0.000000426038381;	0.000000226804047;	0.000000148430940;	0.000000094609079;	0.000000058329011;	0.000000034808193;	0.000000019986663;	0.000000011067757;	0.000000005863919;	0.000000002773687;	0.000000001251590;	0.000000000550645;	0.000000000237845;	0.000000000097329;	0.000000000037829;	0.000000000013479;	0.000000000004447;	0.000000000001445;	0.000000000000439;	0.000000000000117;	0.000000000000028;	0.000000000000006;	0.000000000000001;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
0.000032357955553;	0.000001689909593;	0.000001359190762;	0.000001219305897;	0.000001191272210;	0.000001166397105;	0.000001167315391;	0.000001216516747;	0.000001215055660;	0.000001235101949;	0.000001251015121;	0.000001280837113;	0.000001309514106;	0.000001363492428;	0.000001356401234;	0.000001412061089;	0.000001461375265;	0.000001513548259;	0.000001538327707;	0.000001605051172;	0.000001711459676;	0.000001752942127;	0.000001821816374;	0.000001867724139;	0.000001963975966;	0.000002076627021;	0.000002125443473;	0.000002175273462;	0.000002433749785;	0.000002387475176;	0.000002517352044;	0.000002627547506;	0.000002600912197;	0.000002870357804;	0.000003128502772;	0.000003197267780;	0.000002932960411;	0.000003036517339;	0.000002975286555;	0.000002996918334;	0.000003066798605;	0.000003058496881;	0.000003090412220;	0.000003137690233;	0.000003076390832;	0.000003214411462;	0.000003158862479;	0.000003142630484;	0.000003299607127;	0.000003212029572;	0.000003219250176;	0.000003378974344;	0.000003281426968;	0.000003302550055;	0.000003449616067;	0.000003342889457;	0.000003381887522;	0.000003495601340;	0.000003388983236;	0.000003460350226;	0.000003525955909;	0.000003471819045;	0.000003519359355;	0.000003579000478;	0.000003531425019;	0.000003569191934;	0.000003598860477;	0.000003553629164;	0.000003584383392;	0.000003571384414;	0.000003461248308;	0.000003403070016;	0.000003351414344;	0.000003210528015;	0.000003115954017;	0.000003037853907;	0.000002832225611;	0.000002680945650;	0.000002660496034;	0.000002712230242;	0.000002777101720;	0.000002887156837;	0.000002983519494;	0.000003030584854;	0.000003133143488;	0.000003257504217;	0.000003311160491;	0.000003404170163;	0.000003519929655;	0.000003661517790;	0.000003902819872;	0.000004239575800;	0.000004659179284;	0.000005083542161;	0.000005530141949;	0.000006083135358;	0.000006717131510;	0.000007294697785;	0.000007896326810;	0.000008640936273;	0.000009490911007;	0.000010448261123;	0.000011360724622;	0.000012677205304;	0.000014122729560;	0.000015791952123;	0.000017424321468;	0.000019217988601;	0.000021223161303;	0.000022646651154;	0.000023968834483;	0.000024811259720;	0.000025811894646;	0.000026795336315;	0.000027588933621;	0.000028265902031;	0.000028114397277;	0.000026581301701;	0.000025233970916;	0.000023946972742;	0.000022730627564;	0.000022483375466;	0.000022258579655;	0.000021904473783;	0.000021560820896;	0.000021138757545;	0.000020651413244;	0.000020068025681;	0.000019687455174;	0.000019839585565;	0.000019790179331;	0.000019431203656;	0.000018086505163;	0.000016641903704;	0.000015114833109;	0.000013607389984;	0.000012080300689;	0.000010563190067;	0.000009110901679;	0.000007719543885;	0.000006421995695;	0.000005440293652;	0.000004794970481;	0.000003918218230;	0.000002227783293;	0.000001124524887;	0.000000628714897;	0.000000448029523;	0.000000312073844;	0.000000211997778;	0.000000139545146;	0.000000089262219;	0.000000055310251;	0.000000033187621;	0.000000018906438;	0.000000009730149;	0.000000004829457;	0.000000002437993;	0.000000001172505;	0.000000000532099;	0.000000000231923;	0.000000000094228;	0.000000000035246;	0.000000000013095;	0.000000000004590;	0.000000000001365;	0.000000000000376;	0.000000000000100;	0.000000000000025;	0.000000000000006;	0.000000000000001;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	-0.000000000000000;	0.000000000000000;
