0.063855431141201;	0.014546558444046;	0.013398689572156;	0.012623039464321;	0.012204419091498;	0.011748250688984;	0.011468057583404;	0.011220422278995;	0.010983697601580;	0.010700933220931;	0.010535063605875;	0.010325696471234;	0.010185774780950;	0.010049994119643;	0.009874251530800;	0.009741829592143;	0.009610783373493;	0.009490424774501;	0.009358453105702;	0.009323569670400;	0.009364249880369;	0.009144403236248;	0.009116460209037;	0.008966390066845;	0.008977406570193;	0.008798507876882;	0.008744166134535;	0.008697549378310;	0.008585392821980;	0.008571262497606;	0.008144532365138;	0.008027157719797;	0.007931013355123;	0.007820304423165;	0.007848699901671;	0.007671179936361;	0.007663063485160;	0.007575352695564;	0.007544491754369;	0.007427395560983;	0.007445555315535;	0.007323431402745;	0.007320552267130;	0.007245100235939;	0.007190161183087;	0.007171142970085;	0.007105449685053;	0.007044274520493;	0.007057997064965;	0.006975219067081;	0.006913917817151;	0.006972516407277;	0.006839224884974;	0.006842099683732;	0.006849088623163;	0.006763879321739;	0.006751938713748;	0.006756274929086;	0.006695128411833;	0.006680712159843;	0.006683127931867;	0.006626797746638;	0.006636809489550;	0.006626346143632;	0.006580846082867;	0.006592504062608;	0.006586690000496;	0.006549329751377;	0.006560724552696;	0.006564258954552;	0.006535135059064;	0.006539924259948;	0.006562065433745;	0.006531657198855;	0.006539601252093;	0.006570069229844;	0.006542175191121;	0.006561106241673;	0.006591289311330;	0.006573268176414;	0.006592064023559;	0.006615293461549;	0.006640038910903;	0.006642247736299;	0.006665170132027;	0.006709994515353;	0.006713402717738;	0.006742825700562;	0.006776758398934;	0.006821229310411;	0.006832774012196;	0.006870096664759;	0.006913660845704;	0.006948000891320;	0.006975495467591;	0.007021797072014;	0.007073042896853;	0.007121189414993;	0.007157527337367;	0.007210193644884;	0.007269935686935;	0.007331508088808;	0.007378977901111;	0.007442698284627;	0.007507671454379;	0.007586511752510;	0.007647382104391;	0.007717414735260;	0.007797845936481;	0.007880967986528;	0.007969727314454;	0.008048107215015;	0.008135591600620;	0.008229983073292;	0.008331104086304;	0.008436810199250;	0.008544743476205;	0.008644910244403;	0.008758503317986;	0.008875922206282;	0.008996414776851;	0.009121228860676;	0.009253618771515;	0.009379739343311;	0.009522230180946;	0.009663429412481;	0.009809089897814;	0.009957659830547;	0.010113983367953;	0.010277838776278;	0.010434519977555;	0.010604282551455;	0.010778991503867;	0.010956107869311;	0.011141543132092;	0.011334924378052;	0.011531395589010;	0.011735550647145;	0.011945589012169;	0.012158578789371;	0.012382904947386;	0.012612174528630;	0.012847260856928;	0.013089314335304;	0.013336542145038;	0.013687230259078;	0.014522442271344;	0.015432673786890;	0.016426516598837;	0.017507251527789;	0.018667989521169;	0.019926911237156;	0.021262437791360;	0.022718089058238;	0.024307468776479;	0.026040163311905;	0.029926713749089;	0.034155627094302;	0.038613852823740;	0.043312160107892;	0.048260577610198;	0.053449458177187;	0.058877192691010;	0.064590426628051;	0.070547642483586;	0.076733815264537;	0.083173391112797;	0.089873193812680;	0.096807652735846;	0.103762237593760;	0.109034445853293;	0.111994150287875;	0.062066235429743;	0.073964218539612;	0.105820011858865;	0.147133716299072;	0.189438177683245;	0.190666036711527;	0.004890520190875;	0.051717511146474;	0.147359798080542;	0.244334340290030;	0.510172954244432;	1.240651724901072;	0.005359777133995;	0.187925934489539;	0.347763655210535;	0.033416419158706;	-0.684994391258946;	0.108611775533123;	0.269386337783849;	-2.478092531667034;	0.120984438888730;	0.234750175257001;	0.418954011513156;	-0.026043716146758;	0.195247987725107;	0.332107424849776;	-0.382847620642800;	0.113632933061726;
0.073970892025518;	0.018308417541288;	0.016739321677786;	0.015689134646964;	0.015106977899050;	0.014492698329702;	0.014105711075436;	0.013765885993599;	0.013444673155889;	0.013070966560853;	0.012843345857025;	0.012565503021081;	0.012374479353494;	0.012190162107386;	0.011958937043909;	0.011782079489695;	0.011608380554096;	0.011448850200756;	0.011276577248177;	0.011197371915770;	0.011198898237707;	0.010964301082000;	0.010883510213464;	0.010713573270664;	0.010698509904963;	0.010488764752616;	0.010405082804669;	0.010344664838836;	0.010203186090576;	0.010399341284611;	0.010124273224552;	0.009664810793398;	0.009454726337998;	0.009316092649497;	0.009347742715033;	0.009131448044856;	0.009116597139550;	0.009007050928292;	0.008965461903588;	0.008821147747686;	0.008837807253747;	0.008688249256133;	0.008680109571989;	0.008586263579959;	0.008517009696456;	0.008490213080857;	0.008408307085942;	0.008331865776663;	0.008344143860994;	0.008242274792806;	0.008166041233847;	0.008231608454597;	0.008070484253858;	0.008070285174847;	0.008075101619780;	0.007971126890304;	0.007953490035717;	0.007955041768887;	0.007879519843188;	0.007858927468514;	0.007858251670906;	0.007788717228738;	0.007797218574029;	0.007781666707225;	0.007725221335108;	0.007736063204422;	0.007726615929484;	0.007680359175007;	0.007691303123266;	0.007693045388475;	0.007656569659017;	0.007659764644177;	0.007683167562411;	0.007645133167928;	0.007651980863179;	0.007685200188327;	0.007650112637266;	0.007669906345086;	0.007701572028614;	0.007675076752982;	0.007689473071312;	0.007709269890795;	0.007731002287703;	0.007726723026991;	0.007746722263278;	0.007792086794183;	0.007789361513919;	0.007816874424141;	0.007849558401589;	0.007894338807676;	0.007901710565929;	0.007941505004413;	0.007988823263606;	0.008025011345673;	0.008052432607463;	0.008101491860961;	0.008156130149850;	0.008207056585818;	0.008244259969613;	0.008300114939998;	0.008363973092877;	0.008429754982709;	0.008478993880380;	0.008546606121697;	0.008615501066863;	0.008700100445380;	0.008763864093346;	0.008837947801017;	0.008923386488414;	0.009048033656773;	0.009181302722975;	0.009301710279121;	0.009432194946204;	0.009569997293871;	0.009716490733122;	0.009869743387889;	0.010027079086435;	0.010178057633149;	0.010347821369103;	0.010526166472803;	0.010711703840889;	0.010900564809593;	0.011100050684237;	0.011293930171527;	0.011512117436070;	0.011740682152116;	0.011981737916647;	0.012227625335789;	0.012482780440896;	0.012834053841826;	0.013523061929839;	0.014250538255617;	0.015008466993334;	0.015794812133676;	0.016618579643775;	0.017469741044340;	0.018351171341958;	0.019271397792104;	0.020295042093418;	0.021401895935892;	0.022589362646476;	0.023933048404913;	0.025699242998026;	0.027685515581340;	0.029931750067427;	0.032394820750172;	0.034681079932416;	0.037238997422816;	0.040191058324896;	0.044038667457768;	0.048701160940977;	0.053981650176552;	0.061121213398590;	0.068567046091780;	0.075970455340823;	0.083336144700782;	0.086392741453297;	0.089299479969340;	0.092243982234326;	0.095279453249021;	0.098433625016082;	0.101630980083248;	0.104876421741805;	0.108147848974374;	0.111459844826874;	0.114826170903589;	0.118257930594858;	0.121757788323597;	0.125287710143360;	0.128216985813973;	0.129191623286717;	0.128808396623967;	0.070798391071391;	0.084988161067977;	0.119511615452015;	0.163913238532323;	0.209026076217499;	0.209269150569061;	0.009379429477197;	0.061227718476893;	0.164341337638332;	0.267828250713502;	0.547363770014420;	1.340354324991470;	0.011711346609272;	0.205908436560194;	0.374364420059456;	0.048552976034076;	-0.722423696547385;	0.121134793465310;	0.290841004292670;	-2.611928697208015;	0.133806400216309;	0.253936306959056;	0.448335038898592;	-0.021262164039795;	0.212222349304392;	0.356611009524336;	-0.399220601404468;	0.125061885906980;
0.080187308604296;	0.020977339116586;	0.019138157215198;	0.017905521316462;	0.017216906993872;	0.016498176485320;	0.016042676765465;	0.015640663155528;	0.015267200459984;	0.014832771004259;	0.014564752512605;	0.014241276004483;	0.014017226683545;	0.013801326284188;	0.013532949132273;	0.013327160268602;	0.013125676692287;	0.012940700247175;	0.012741023785761;	0.012624776772370;	0.012593304161418;	0.012344410679812;	0.012220588754265;	0.012032834760999;	0.011995655956301;	0.011760427778290;	0.011652292358119;	0.011579177178631;	0.011413318357882;	0.011579939864307;	0.011598451193671;	0.011329690185631;	0.010907761547593;	0.010459496023021;	0.010443916655094;	0.010204793956307;	0.010176315260919;	0.010042585742734;	0.009986338091378;	0.009816900699001;	0.009827039860233;	0.009653246643691;	0.009637118334115;	0.009525999364720;	0.009442501948949;	0.009406454596544;	0.009309497814340;	0.009219067812050;	0.009227135679464;	0.009109337389145;	0.009020041154016;	0.009087541017703;	0.008905192946984;	0.008900324658705;	0.008900978384488;	0.008781969581813;	0.008758195114491;	0.008755532833400;	0.008668107898599;	0.008641381358294;	0.008636415604763;	0.008555722894847;	0.008560798173245;	0.008539357853277;	0.008472868944959;	0.008480065477685;	0.008465020742133;	0.008409592310499;	0.008416817136711;	0.008413850785827;	0.008369141863269;	0.008367937532071;	0.008388999343030;	0.008342925728841;	0.008345892690694;	0.008377547297168;	0.008334734841481;	0.008351467628270;	0.008404567594506;	0.008424629628437;	0.008491362145874;	0.008564811793235;	0.008641697902563;	0.008690775768323;	0.008768712221925;	0.008877852172397;	0.008934425431201;	0.009027906608324;	0.009130169674310;	0.009249574064972;	0.009327739817639;	0.009446223456493;	0.009576234292790;	0.009696900914516;	0.009811471686549;	0.009956133726968;	0.010111649142397;	0.010266075095169;	0.010407324424904;	0.010576486652868;	0.010760757236023;	0.010952650879857;	0.011129289588444;	0.011354754822527;	0.011589502605237;	0.011853441943381;	0.012097555219407;	0.012364353103152;	0.012657405506271;	0.012963202478809;	0.013277518042278;	0.013573304067811;	0.013884169727718;	0.014207016957840;	0.014542811334193;	0.014888091287843;	0.015231541175631;	0.015552664569068;	0.015906581001274;	0.016275906746468;	0.016661223991569;	0.017173205101701;	0.017725613841207;	0.018293372830668;	0.018922165995618;	0.019581386406488;	0.020285380442095;	0.021033272683868;	0.021837724178043;	0.022668577593747;	0.023389628621949;	0.024165228849526;	0.024970805254888;	0.025820071063494;	0.026744705744359;	0.027939864335525;	0.029253427648523;	0.030715795667615;	0.032443048019514;	0.034406121418322;	0.036622369183220;	0.039061451646580;	0.041580800017085;	0.044373122033352;	0.047374367984586;	0.050726130369088;	0.054884992868785;	0.060122795482296;	0.065660398701855;	0.070969674354361;	0.075773486587059;	0.080351878006881;	0.083257818498333;	0.085917245558944;	0.088587046230678;	0.091243461715974;	0.094139550372337;	0.097233096252276;	0.100371518444000;	0.103528747050025;	0.106680304886382;	0.109892203794117;	0.113157463482130;	0.116353088795039;	0.119634740399749;	0.122934861514585;	0.126311893081076;	0.129854838903139;	0.133502309826095;	0.136810249343282;	0.138068473788928;	0.138369574416189;	0.075799061402500;	0.091473257926932;	0.127622593585159;	0.173717897225606;	0.220276701604908;	0.219839063166003;	0.012075270234479;	0.066563246504798;	0.173087545256542;	0.279589436560839;	0.565287562489980;	1.392738825958092;	0.016175915033530;	0.216448903192316;	0.389436501778053;	0.058949071271471;	-0.742279878277532;	0.128805922046137;	0.303929702774640;	-2.690688906616785;	0.141658223764923;	0.265161097714788;	0.464595237596751;	-0.017885710833450;	0.221658175873100;	0.369935018741353;	-0.407272422599391;	0.132017080879756;
0.085531331369187;	0.023397831505877;	0.021274074258257;	0.019853680242640;	0.019048718821263;	0.018216990622866;	0.017680387798160;	0.017240790801580;	0.016775956717889;	0.016272894974111;	0.015963190489771;	0.015593098141143;	0.015333736126169;	0.015086481685005;	0.014783784656217;	0.014548411946145;	0.014317171251594;	0.014104528925604;	0.013877255658288;	0.013733847643180;	0.013678598635078;	0.013421690007440;	0.013265407243255;	0.013064472317889;	0.013007303763726;	0.012748932945905;	0.012620280598742;	0.012536653470246;	0.012353440528503;	0.012497359417015;	0.012498607696377;	0.012353001687122;	0.012193157244394;	0.011771781295206;	0.011478872439819;	0.011122063819669;	0.011177716335451;	0.011122455613620;	0.011148151050730;	0.011045103556479;	0.011144842862088;	0.011033362073320;	0.011102210225673;	0.011062488791018;	0.011054137807682;	0.011101901040364;	0.011078558909033;	0.011061230423293;	0.011161469817233;	0.011109345414795;	0.011090794690328;	0.011264871454537;	0.011128913284548;	0.011215160106079;	0.011309350847388;	0.011251592823338;	0.011316506503600;	0.011410469619996;	0.011394769727590;	0.011458344530757;	0.011551984733415;	0.011544409015312;	0.011652982989005;	0.011727828139216;	0.011741497458021;	0.011857963772611;	0.011943268849623;	0.011971756562559;	0.012090432134564;	0.012210100697953;	0.012275180967378;	0.012405492327620;	0.012570814636295;	0.012637673465341;	0.012780494888592;	0.012970853560537;	0.013048745767774;	0.013223473039109;	0.013380829997634;	0.013384093273517;	0.013461382645852;	0.013548503808424;	0.013638748174040;	0.013682110697167;	0.013768066811902;	0.013898950256294;	0.013944126638596;	0.014043460842894;	0.014152045345993;	0.014281347862625;	0.014334171079863;	0.014444243901617;	0.014568329360364;	0.014671695051572;	0.014758609324074;	0.014884908527194;	0.015026150377788;	0.015172692709480;	0.015294578469273;	0.015451998312400;	0.015625645182223;	0.015804902204600;	0.015954063231912;	0.016121507232935;	0.016295823229579;	0.016505314535094;	0.016681243354996;	0.016883513087699;	0.017114351814344;	0.017364894042130;	0.017644652341744;	0.017919241198797;	0.018230406488120;	0.018573938769734;	0.018952306762692;	0.019362872473850;	0.019853609672103;	0.020454082316311;	0.021108689572801;	0.021795974729960;	0.022511410420362;	0.023165735444930;	0.023854238485614;	0.024546247414950;	0.025310526938519;	0.026099775176798;	0.026930634697794;	0.027806814540429;	0.028739123401415;	0.029724319687443;	0.030724497604265;	0.031878060493855;	0.033342133546601;	0.034931473187226;	0.036683547473688;	0.038560571193580;	0.040600062535504;	0.042835352785764;	0.045164486050935;	0.047641536489073;	0.050367922081676;	0.053283139166508;	0.056336029488342;	0.059700930963862;	0.064784847460239;	0.069909583273755;	0.073915716494649;	0.076725382339501;	0.079560940296822;	0.082162503947115;	0.084563263093011;	0.087063177137594;	0.089704961505319;	0.092487330058381;	0.095339353487039;	0.098355653273506;	0.101419590943944;	0.104333265251946;	0.107312875941281;	0.110367748056505;	0.113457591928157;	0.116655003817974;	0.119977542350136;	0.123289116402055;	0.126651717808377;	0.130287337778114;	0.134019460938264;	0.137706445094954;	0.141373343200201;	0.144633655638234;	0.145927924393911;	0.146747104991630;	0.080043745623700;	0.096822632983437;	0.134102482086740;	0.181640481489586;	0.229757616128558;	0.229000608900933;	0.014591586226697;	0.071463637929678;	0.181240505349140;	0.290297470480212;	0.580737118824369;	1.437173684350798;	0.019849609787330;	0.225454653832924;	0.402753859189733;	0.067802044111084;	-0.760333455426157;	0.135948139660036;	0.315181141613949;	-2.750786811892714;	0.148452238569100;	0.274621494420512;	0.478850463547201;	-0.015069603517544;	0.231163276739196;	0.384548032833474;	-0.417778707327614;	0.139108941309691;
0.096235298961046;	0.027499380915507;	0.025402122840543;	0.024042316710526;	0.023378004759516;	0.022649427842748;	0.022266869050250;	0.022054517151674;	0.021689800326770;	0.021237989368373;	0.021052377583494;	0.020783358213641;	0.020647140965901;	0.020509958986525;	0.020288209991002;	0.020151109842333;	0.020014236845566;	0.019895993922643;	0.019748840153484;	0.019721371613521;	0.019821001813654;	0.019596043111798;	0.019546195298299;	0.019404804351974;	0.019502358961149;	0.019301842356918;	0.019294622615554;	0.019344471140947;	0.019234137858542;	0.019532156826025;	0.019409465294629;	0.019297720636842;	0.019271460841120;	0.019117742281435;	0.019353018872552;	0.018648265141922;	0.018191913293864;	0.017932369384940;	0.017863330413941;	0.017594312996386;	0.017640972189787;	0.017357419333508;	0.017355137502394;	0.017177609568361;	0.017047809671759;	0.017002936582395;	0.016845717536470;	0.016700849413575;	0.016734856204863;	0.016540915553190;	0.016397770111495;	0.016540078229903;	0.016228379274653;	0.016237932156359;	0.016257169521004;	0.016058026083676;	0.016032220891260;	0.016044508761912;	0.015901120409713;	0.015873404483912;	0.015893732021528;	0.015774215940790;	0.015812703602491;	0.015801686099923;	0.015706482249132;	0.015747495068930;	0.015747581676977;	0.015672293005784;	0.015713710208553;	0.015723616965459;	0.015650977056652;	0.015659942467303;	0.015711128174587;	0.015636304071470;	0.015653378425843;	0.015724083883524;	0.015654891433703;	0.015696837841301;	0.015765677698523;	0.015719038850996;	0.015757636353951;	0.015806280375005;	0.015858411844324;	0.015856703248560;	0.015903966516383;	0.016003667253696;	0.016004243564127;	0.016066317276320;	0.016138885618661;	0.016244329871949;	0.016325425032918;	0.016482057113269;	0.016661403071015;	0.016828280405020;	0.016988622907924;	0.017205658088281;	0.017442500617262;	0.017673480281410;	0.017887550877252;	0.018155794900529;	0.018456343896960;	0.018777076565488;	0.019078153774802;	0.019447857838268;	0.019840720602501;	0.020291771646830;	0.020717419585535;	0.021191132471918;	0.021719201987373;	0.022216247563032;	0.022717466569883;	0.023182420245929;	0.023712912800167;	0.024282063918622;	0.024878124880022;	0.025497233070895;	0.026083727003123;	0.026571414607057;	0.027141991934473;	0.027769511529404;	0.028457023686457;	0.029237265137100;	0.030081927221887;	0.030946795111252;	0.031904678846263;	0.032895103014660;	0.033942300385260;	0.035046368814534;	0.036314447826471;	0.037860633450182;	0.039468106685528;	0.041224582506453;	0.043025690275640;	0.044965933552625;	0.047074545619428;	0.049255766795633;	0.051576413371312;	0.054070385345347;	0.056688238631813;	0.059449899922744;	0.062413821923579;	0.065937725695616;	0.070290104720378;	0.074356580276363;	0.076542180451093;	0.078692329836735;	0.080893896025203;	0.083165390215184;	0.085539783274234;	0.088020748444523;	0.090536925499005;	0.093204757895210;	0.095974035649249;	0.098893483993385;	0.101811149853914;	0.104569336311753;	0.107421728500578;	0.110378599268324;	0.113410519501791;	0.116517472165401;	0.119780078725987;	0.123092819395240;	0.126425938890435;	0.130043411013399;	0.133770395236263;	0.137269243190082;	0.140854647973567;	0.144546293854699;	0.148277882772311;	0.151782776018225;	0.153235536128620;	0.154437161194927;	0.083762076228049;	0.101766637795738;	0.140398511253766;	0.189466187182844;	0.238721485854924;	0.237247961302606;	0.016988289784521;	0.076107500778832;	0.188564177727069;	0.300045003069562;	0.595762866856748;	1.480863377464761;	0.023534877412023;	0.234029443065818;	0.414244373206443;	0.076248904251470;	-0.772898672062127;	0.141732223432669;	0.324662280859559;	-2.811395736140603;	0.154947022228371;	0.285049299067608;	0.495503416417823;	-0.012114752285795;	0.240267381841712;	0.396693555087223;	-0.424032960252499;	0.144606638288188;
0.152165322809782;	0.041018524517213;	0.037406563699757;	0.035000218893924;	0.033656755741472;	0.032251747454774;	0.031355288230907;	0.030668816546806;	0.029891922369185;	0.029031621466730;	0.028512720202903;	0.027876321405425;	0.027445688595935;	0.027038994346655;	0.026529452744602;	0.026144224640061;	0.025775604352724;	0.025439921851043;	0.025076188826787;	0.024856712973065;	0.024791908225647;	0.024373756868516;	0.024118769972319;	0.023794311802109;	0.023717730504151;	0.023265875500199;	0.023044125897492;	0.022906735115365;	0.022582228260194;	0.022828414680164;	0.022686644856621;	0.022217259329612;	0.021859929436299;	0.021440291178368;	0.021555554337979;	0.021237232092195;	0.021092728179642;	0.020295424722593;	0.019933147658980;	0.019537363201165;	0.019572026301040;	0.019238373797300;	0.019220298567511;	0.019016150814260;	0.018868405780716;	0.018814655221281;	0.018640425337155;	0.018478190099861;	0.018513128308875;	0.018294441333946;	0.018137647934105;	0.018301122863258;	0.017959697671654;	0.017977988219043;	0.018008802644130;	0.017796585256583;	0.017777276007031;	0.017801532318578;	0.017653710049308;	0.017624577444521;	0.017631860054839;	0.017485777473427;	0.017515348344936;	0.017491329562062;	0.017376829725029;	0.017415018538459;	0.017406958013792;	0.017316078309800;	0.017354776885365;	0.017376573064842;	0.017314741776404;	0.017343648655815;	0.017419580812041;	0.017358542360965;	0.017401229850970;	0.017506475541230;	0.017464774446439;	0.017550463672928;	0.017694711443719;	0.017747126756636;	0.017902068080326;	0.018074109645987;	0.018256415230566;	0.018457312360008;	0.018724517590284;	0.019053333991476;	0.019264364046993;	0.019549963949801;	0.019849282681223;	0.020173268024858;	0.020357794339578;	0.020621361054285;	0.020902966109169;	0.021153373721462;	0.021378652133668;	0.021660070741411;	0.021957003065322;	0.022246160831125;	0.022495951379040;	0.022796339369872;	0.023119168507549;	0.023447493400287;	0.023733691964943;	0.024090731661356;	0.024447321118616;	0.024843046829031;	0.025172260550917;	0.025549077108630;	0.026016010076984;	0.026528159969021;	0.027091618298402;	0.027651693242488;	0.028240282591459;	0.028868964080305;	0.029552012250577;	0.030281910139295;	0.031061788033145;	0.031856530728182;	0.032713106404186;	0.033596079052529;	0.034510283665934;	0.035435400826669;	0.036451420057957;	0.037498962477440;	0.038660538578755;	0.039958746099011;	0.041444234989949;	0.043035932983853;	0.044725632903379;	0.046457660642262;	0.048236982512717;	0.050161653845112;	0.052145009975863;	0.054239265787533;	0.056471669465387;	0.058774073936004;	0.061177378809552;	0.063924690604709;	0.066731699397905;	0.069908121210767;	0.073186726213387;	0.075894758333486;	0.077790895032730;	0.079725536848562;	0.081829687387973;	0.084019789852827;	0.086281742598516;	0.088636763739113;	0.091112023096249;	0.093715921202941;	0.096343061919929;	0.099057575232833;	0.101815712903009;	0.104487765911389;	0.107236183240530;	0.110083264672692;	0.113029129602410;	0.116075852833634;	0.119220033228529;	0.122496798714539;	0.125824913473849;	0.129310582881813;	0.132959779000803;	0.136440160750229;	0.139993435032382;	0.143641656329324;	0.147362530462757;	0.151180217936500;	0.155092846319667;	0.158555808156387;	0.159984884439545;	0.161883732464930;	0.087655373470549;	0.106833141092053;	0.146579708452136;	0.196857037169888;	0.247073775277216;	0.244927100599968;	0.019310224067785;	0.080301576135557;	0.195477611165342;	0.309584688242706;	0.610206041731884;	1.518882479154936;	0.027081110207503;	0.241541059586748;	0.425349214747862;	0.083725024394640;	-0.791024031861467;	0.148260819066052;	0.336473980563189;	-2.882574972939850;	0.161681524135489;	0.293997037788590;	0.507745163873068;	-0.009454320989704;	0.247335939420296;	0.406438689161033;	-0.429832987667130;	0.150025292157453;
0.163232697996316;	0.045952970289401;	0.041826948567374;	0.039051581719465;	0.037488345249193;	0.035876245731066;	0.034855485177492;	0.034060363259189;	0.033173460463955;	0.032192019685224;	0.031607041551572;	0.030888730361003;	0.030398379647456;	0.029913485801605;	0.029312200242826;	0.028856402798002;	0.028395721326470;	0.027969912472163;	0.027513699953543;	0.027192271258713;	0.027032829053790;	0.026564841911556;	0.026208761957771;	0.025832366330799;	0.025695700542607;	0.025198349384915;	0.024926328205192;	0.024760938741534;	0.024396898069149;	0.024599933947987;	0.024596820621973;	0.024274324266531;	0.023948413529902;	0.023410930634604;	0.023434935945180;	0.023053110512692;	0.023211264538227;	0.022968584150289;	0.022615202926556;	0.021870508032632;	0.021753073182060;	0.021457316806757;	0.021533584402560;	0.021387777886606;	0.021302360038723;	0.021327226763776;	0.021214586680053;	0.021115734543740;	0.021241737799716;	0.021079621176972;	0.020976817667589;	0.021232662648742;	0.020907112890688;	0.020997190966815;	0.021100117655442;	0.020920769120789;	0.020969646612538;	0.021070556204703;	0.020967851985035;	0.021013790384378;	0.021117137074057;	0.021030188963307;	0.021152950932559;	0.021211824031288;	0.021157113925464;	0.021284909770407;	0.021357045877210;	0.021326729103126;	0.021461167137097;	0.021577395830131;	0.021583721611856;	0.021700557186292;	0.021873185115773;	0.021868545967806;	0.021990383115379;	0.022187154916931;	0.022182212675450;	0.022335741622946;	0.022517053970926;	0.022520096479797;	0.022648826864574;	0.022796710045743;	0.022951915255863;	0.022999934787947;	0.023120845937989;	0.023323097571818;	0.023386882743156;	0.023546821684201;	0.023728074043983;	0.023953456226663;	0.024078936787824;	0.024309965976484;	0.024569238217627;	0.024799483297174;	0.025010817055465;	0.025296449312773;	0.025606823822342;	0.025914534991091;	0.026227845811374;	0.026609471860082;	0.027027113652753;	0.027463407823219;	0.027857838398227;	0.028336179136934;	0.028838833289802;	0.029415848496159;	0.029944897392135;	0.030518260508306;	0.031122501770257;	0.031735646891114;	0.032384415442753;	0.033007544289602;	0.033686459306608;	0.034409691230984;	0.035179774295710;	0.035989117423438;	0.036812945763053;	0.037614352585411;	0.038507891001816;	0.039540576743809;	0.040650239669269;	0.041822189089036;	0.043129576079501;	0.044496617652995;	0.046015446026444;	0.047559830154672;	0.049149168548665;	0.050825120666734;	0.052590839196465;	0.054425138376915;	0.056279878694741;	0.058262329491914;	0.060284618695299;	0.062349082733091;	0.064598321482858;	0.067333909843859;	0.070047483202974;	0.072553113824128;	0.074955708079612;	0.076942198144376;	0.078752232735113;	0.080620752520170;	0.082619545761167;	0.084703254923009;	0.086877833944894;	0.089141475600273;	0.091488154334881;	0.093941760607087;	0.096536167274698;	0.099133732703215;	0.101718054554691;	0.104266401318679;	0.106935659689451;	0.109719639140085;	0.112586206448771;	0.115513992555884;	0.118582340827395;	0.121729409633059;	0.125001579148279;	0.128414558609160;	0.131906994284921;	0.135387503024981;	0.138887847243155;	0.142483293016289;	0.146178003027904;	0.149926634746787;	0.153817335900427;	0.157768628008486;	0.161767857838297;	0.165597809514403;	0.167419969753574;	0.169809197516091;	0.091277177872259;	0.111489461256613;	0.152112342736468;	0.203347850006042;	0.254418133252480;	0.251868209768408;	0.021539145997810;	0.084586515103989;	0.202525111150229;	0.318602582543246;	0.622957353049216;	1.557451057328437;	0.030343695876504;	0.250251237233772;	0.438164641887963;	0.090822840199123;	-0.806435008498793;	0.154258116085230;	0.345696202018937;	-2.929883335562260;	0.167250081793108;	0.301845190830455;	0.519083312011394;	-0.006882571074389;	0.254675760593575;	0.417578642074592;	-0.437284048041858;	0.155647959917809;
