0.028232104058411;	0.019034769740716;	0.011480361021843;	0.005162479493622;
0.097750545963946;	0.076079589607980;	0.045852319948103;	0.037552298036167;
0.081426120780988;	0.064553211980127;	0.038963860962025;	0.031590950233552;
0.068355319827652;	0.054014528532628;	0.032542771503097;	0.026416066188502;
0.060715772617534;	0.046987009494995;	0.028180523235054;	0.023112600615506;
0.055139226916523;	0.041640608473144;	0.024846850982054;	0.020635218386142;
0.070539334074522;	0.055420443409053;	0.036084215748358;	0.036903916537225;
0.063608503163454;	0.049786032526538;	0.032165008003107;	0.033627792318154;
0.043533117207167;	0.032364554489565;	0.019258925695660;	0.016823883729664;
0.042908831658066;	0.031474102317603;	0.018665891057341;	0.016279904613635;
0.041485885978213;	0.030135899619713;	0.017836769063509;	0.015789389958548;
0.038734976084286;	0.027937432952065;	0.016551064405146;	0.015463679794066;
0.037817094101385;	0.026904352545785;	0.015919054606646;	0.015322169856690;
0.036324780038571;	0.025740907664150;	0.015186158973640;	0.014262791500209;
0.035467197697522;	0.025208271826539;	0.014853276755000;	0.013752045396987;
0.054583507055370;	0.043954269403101;	0.028411793082312;	0.024339275150408;
0.055066156012033;	0.047105552793348;	0.031253947483916;	0.027309263456867;
0.035248883681887;	0.026799379167408;	0.016442685552672;	0.015080911137126;
0.033853939774195;	0.025363797176703;	0.015743691148822;	0.014204824402527;
0.033641878229160;	0.024633667625206;	0.015203744092800;	0.014683011340935;
0.033038872790600;	0.023756088613877;	0.014645211101687;	0.014566733358427;
0.031450453692270;	0.022995795349428;	0.014169577811883;	0.013554744680532;
0.031550680468823;	0.022936039190470;	0.014120914142562;	0.014021168163354;
0.032113852876721;	0.023361555071805;	0.014402088364410;	0.014699565618638;
0.031131973047217;	0.022538411862348;	0.013846922892788;	0.013972681049452;
0.030469161962943;	0.022250747241743;	0.013680669356717;	0.014200249891507;
0.031051404630292;	0.022908170788914;	0.014721984237230;	0.014920957675623;
0.031498088148200;	0.023212717293275;	0.015284395451885;	0.014934316267574;
0.029559816902302;	0.022144694064494;	0.014469308367473;	0.014759232626377;
0.029571766901710;	0.021874795171278;	0.014185117144107;	0.014662858173259;
0.030127541536641;	0.022341247457182;	0.014432089036489;	0.014994787637128;
0.029156152404802;	0.021996608987975;	0.014472238109179;	0.015072034551706;
0.029824188772990;	0.022563489447228;	0.015032136950848;	0.015510960098945;
0.029838094225978;	0.022630886866623;	0.015209651361790;	0.015793774712187;
0.028853328039251;	0.022248577833097;	0.015006917020927;	0.015660927574389;
0.029511679381596;	0.022706324219131;	0.015167145468779;	0.016106031848348;
0.029190125670392;	0.022829579366762;	0.015488611162678;	0.016233999193300;
