0.266373783098069;	0.000000000000007;	0.000000000000020;	0.000000000000008;	0.069345639954249;	0.143101037646307;	0.136286282647634;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.016639013530885;	0.018488360913211;	0.019458543800519;	0.018751842635238;	0.021497658611109;	0.023968765610744;	0.025902202348578;	0.026446329100796;	0.026461066459149;	0.029529380589805;	0.032784651128457;	0.036232363761139;	0.039989332987586;	0.043492734122365;	0.047048728812060;	0.050149782411816;	0.053788160322070;	0.057439037350278;	0.061407651050542;	0.065505944375687;	0.068152651912956;	0.068825034436950;	0.071108596987121;	0.072535837179034;	0.075381688718135;	0.078651351175779;	0.079531736172875;	0.081932188891442;	0.087126613597969;	0.090817169717967;	0.097660454022600;	0.106179810689245;	0.117028530841385;	0.139029951138610;	0.163056247490511;	0.184546221583801;	0.074092129398470
0.266373843547035;	0.000000034243565;	0.000000029271706;	0.000000026987902;	0.069345664369589;	0.143101058798774;	0.136286298625152;	0.000000019612857;	0.000000018296235;	0.000000020875459;	0.000000019671921;	0.000000022166140;	0.000000021311757;	0.016639017029769;	0.018488364852413;	0.019458548012178;	0.018751846698921;	0.021497663211233;	0.023968770691719;	0.025902207800025;	0.026446334651014;	0.026461071922210;	0.029529386540727;	0.032784657559372;	0.036232370647023;	0.039989340338081;	0.043492741901745;	0.047048736997518;	0.050149790942395;	0.053788169212670;	0.057439046616930;	0.061407660687357;	0.065505954354732;	0.068152662151579;	0.068825044723802;	0.071108607520595;	0.072535847756426;	0.075381699547325;	0.078651362269272;	0.079531747285358;	0.081932200233255;	0.087126625256261;	0.090817181625412;	0.097660466239761;	0.106179823205934;	0.117028543531938;	0.139029963999908;	0.163056260284303;	0.184546234283868;	0.076259650791205
0.266373862652966;	0.000000045286702;	0.000103585259179;	0.000000034951347;	0.069345671124564;	0.143101064526376;	0.136286303134543;	0.000000024980466;	0.000000023151307;	0.000000026264509;	0.000000024632072;	0.000000027600015;	0.000000026402493;	0.016639023138541;	0.018488371614153;	0.019458555141483;	0.018751853467275;	0.021497670731164;	0.023968778862687;	0.025902216444458;	0.026446343339579;	0.026461080342764;	0.029529395554979;	0.032784667140145;	0.036232380741064;	0.039997338929429;	0.043519116771647;	0.047096910066838;	0.050222382582469;	0.053887704489425;	0.057567096317347;	0.061564647941523;	0.065690358177555;	0.068363751800761;	0.069059186267156;	0.071371190460814;	0.072823094608972;	0.075701203850475;	0.079006217416279;	0.079915828153461;	0.082355736577466;	0.087598371010056;	0.091340597425003;	0.098247892859416;	0.106843755504312;	0.117781324425508;	0.139901958170920;	0.164081785485351;	0.185792698394890;	0.077540280080632
0.271917551037552;	0.000626745948636;	0.000659596585751;	0.000667863330121;	0.069822055913988;	0.143517603782592;	0.136599792243690;	0.015072795859149;	0.000362532201276;	0.000416202615489;	0.000395805940911;	0.000449412531867;	0.000436665126114;	0.016803617058807;	0.018678984153993;	0.019669057048398;	0.018960449772895;	0.021739152051377;	0.024242997084092;	0.026205796669011;	0.026765869085002;	0.026784437127377;	0.029890714010024;	0.033186898656943;	0.036677064478581;	0.040487986220504;	0.044055562291162;	0.047680265313647;	0.050852459002740;	0.054569829153779;	0.058303718947853;	0.062361610095174;	0.066553189632183;	0.069292099106007;	0.070039370749470;	0.072428265785678;	0.073946095713315;	0.076927959390528;	0.080358571617317;	0.081379176085993;	0.083980947047137;	0.089434800688092;	0.093409849564016;	0.100598902825257;	0.109479136622682;	0.120656133152142;	0.143058499855601;	0.167595654477527;	0.189649268431596;	0.078819381669474
0.277392213192888;	0.001567722828186;	0.001482718702164;	0.001458086251570;	0.070655982262215;	0.144153812818789;	0.137095112087963;	0.015838107956870;	0.020289461026170;	0.001092071876382;	0.001042189644695;	0.001200924896766;	0.001171249105121;	0.017225772655514;	0.019161819976243;	0.020198879838015;	0.019480699803984;	0.022333517123218;	0.024912883174057;	0.026945046490633;	0.027543290030318;	0.027566190161206;	0.030756207624619;	0.034144836053108;	0.037731524051841;	0.041645772203692;	0.045312215984172;	0.049036026885502;	0.052308241664340;	0.056139165716101;	0.059985630384871;	0.064172634599639;	0.068509146365111;	0.071389612890779;	0.072237794211302;	0.074764166185068;	0.076369908300408;	0.079488596334623;	0.083037063086295;	0.084056110373190;	0.086671486799177;	0.092135671573306;	0.096062050604011;	0.103204562971062;	0.112009248558287;	0.123120798156338;	0.145489477970392;	0.170074512344274;	0.192184457155070;	0.081842358047817
0.284075079803212;	0.003093566177427;	0.002972001598001;	0.002909273800613;	0.071832509414826;	0.145353950130888;	0.137872927701693;	0.016910358233227;	0.021420336012323;	0.026355059372389;	0.030648092496510;	0.002217357393280;	0.002136934540138;	0.018003192420170;	0.020040562932047;	0.021158044950411;	0.020399403712527;	0.023365249084547;	0.026063143267522;	0.028206577061270;	0.028864244590031;	0.028877808927707;	0.032182627436370;	0.035700848542430;	0.039420074350486;	0.043476827383204;	0.047273016080054;	0.051114842633598;	0.054498836561130;	0.058448180431632;	0.062373962763437;	0.066644014397061;	0.071055481566784;	0.073979769795974;	0.074798155100426;	0.077319200494988;	0.078842546149667;	0.081963938201453;	0.085546612275158;	0.086531809484179;	0.089175334431631;	0.094712392026487;	0.098724598579656;	0.106015386013475;	0.115004748018288;	0.126326576245238;	0.149006073191123;	0.174068667030806;	0.196774237435667;	0.086090770853027
0.291896819836382;	0.017924739941254;	0.005125789002536;	0.005165787842637;	0.073803296080880;	0.147082371987546;	0.139471218897508;	0.027793572141589;	0.022917315702358;	0.028258446872423;	0.032535008713375;	0.036304056748522;	0.039727662158652;	0.019183274625181;	0.021363471722372;	0.022594259461692;	0.021905024087155;	0.025036095008952;	0.027911537165816;	0.030223740943210;	0.030971617456063;	0.030952821369423;	0.034412836365533;	0.038108899452432;	0.042008195203689;	0.046264039572297;	0.050247533326928;	0.054265846589381;	0.057829335941440;	0.061982287384703;	0.066082211663395;	0.070561109879716;	0.075218864326538;	0.078382896685724;	0.079362628701481;	0.082127050972139;	0.083699012885674;	0.087099487564520;	0.090975386332343;	0.092077970550694;	0.094929602296822;	0.100723160497953;	0.104943102660957;	0.112486237352905;	0.121666023590616;	0.133096277083325;	0.155949245336263;	0.181366850605209;	0.204402137674214;	0.092265808102184
0.308476608037553;	0.033483594013616;	0.021845521602191;	0.009309264343433;	0.077831842335896;	0.150522460246565;	0.142249578378445;	0.035726401796952;	0.043859018190520;	0.044652901112953;	0.051504414540499;	0.039451135803012;	0.042724225637900;	0.059932100953909;	0.066938592150115;	0.073683454614779;	0.024419314071275;	0.027811523068750;	0.030971488548530;	0.033562556331847;	0.034418039390182;	0.034312558511584;	0.037988783934333;	0.041939887065806;	0.046102171632454;	0.050648490564313;	0.054901755529468;	0.059169778422584;	0.062985870666114;	0.067418445185136;	0.071719875268124;	0.076430582017099;	0.081333544399223;	0.084700236856373;	0.085736274504630;	0.088619468479002;	0.089765697922255;	0.093292496938315;	0.097340555155494;	0.098429559675736;	0.101405993210834;	0.107410453349903;	0.111847697395888;	0.119713201384155;	0.129226712415286;	0.140951653994337;	0.164257821171894;	0.190436480535991;	0.214312292603554;	0.100558672963000
0.322369316069596;	0.055862664784369;	0.036672417132039;	0.031242491815434;	0.082925464756720;	0.155559812848762;	0.146478067759336;	0.049021716762213;	0.048379999720320;	0.058922715421234;	0.066156617863672;	0.073691781804634;	0.079011157666022;	0.064783933061130;	0.072758384270499;	0.080599953531275;	0.080323096270235;	0.087066306571955;	0.094940963425581;	0.101997611079993;	0.039492976215248;	0.039317001551092;	0.043327813463542;	0.047681281782285;	0.052254531908085;	0.057258918477611;	0.061941761854454;	0.066602316890230;	0.070821798406589;	0.075695383055905;	0.080327982005837;	0.085430987500750;	0.090771093609899;	0.094541794151389;	0.095799979779583;	0.099002187056744;	0.099053225909395;	0.102921491255040;	0.107341450407515;	0.108487026323213;	0.111694509061711;	0.118016099307266;	0.122731673718247;	0.130976074683075;	0.140819779551607;	0.152738480253662;	0.176441045397053;	0.203426315510243;	0.228140618864956;	0.111610660656245
0.343882167570281;	0.082196339816265;	0.062980852408889;	0.049886127128639;	0.108927622571298;	0.163073730668750;	0.153105892623429;	0.063001267403765;	0.071975053646687;	0.081321023162654;	0.090944154313605;	0.088398490368778;	0.094422520181840;	0.104641248986895;	0.116656323705862;	0.127755124667553;	0.103497899029162;	0.112615864652121;	0.123477837848546;	0.133557740183186;	0.114030905724846;	0.115387297781553;	0.121396968517628;	0.128568440020691;	0.135152311347424;	0.142929037381024;	0.150307455082308;	0.156852392294762;	0.162856708562580;	0.169322326482087;	0.175301538963229;	0.182048337196743;	0.188500974572917;	0.193591808505373;	0.195750749557486;	0.199546112492808;	0.112166434437447;	0.116417779780568;	0.121279504270985;	0.122456921095827;	0.125944065495822;	0.132660423319149;	0.137743513390318;	0.146482133220221;	0.156766072797564;	0.168863194641360;	0.193058184904514;	0.221066319598639;	0.246797853890630;	0.126499966005585
