0.009191677225320;	0.022139894663627;	0.021499940098658;	0.023078045686544;
0.009972975243366;	0.022274591832038;	0.021817129350347;	0.023162860673493;
0.010028544494254;	0.022417558273530;	0.022154077488623;	0.023221225127818;
0.009595564543482;	0.021807392363746;	0.021943373810977;	0.022949634116468;
0.010339434330325;	0.021478575105717;	0.021940263810246;	0.022726807915039;
0.010854871031296;	0.021868681640950;	0.022725958935184;	0.022884832335094;
0.010914341612105;	0.021899005123964;	0.023038894215068;	0.022925204813089;
0.010371070623795;	0.021120045249808;	0.022316808726473;	0.022488207054923;
0.011316469254132;	0.020722607191771;	0.021872936163013;	0.022037954372983;
0.011220832828756;	0.020576672612542;	0.021827606034100;	0.021748766062249;
0.011316915291512;	0.020069481941398;	0.021626384463457;	0.021423348414066;
0.010937487129146;	0.019478520293992;	0.021249291051260;	0.020946991617872;
0.011667373804481;	0.019238801043621;	0.021089937912136;	0.020598512552109;
0.011738016042042;	0.019036768400166;	0.020757476030226;	0.020299252733175;
0.011747297673789;	0.018532717268600;	0.020325009394240;	0.019718584618342;
0.011230085604935;	0.017817865548343;	0.019808403105276;	0.019002894146967;
0.011572421048322;	0.017194998189924;	0.019233003892577;	0.018483949271887;
0.011857188455327;	0.016869335249694;	0.018852343469829;	0.018123457562769;
0.011890912685788;	0.016435239393522;	0.018315497471083;	0.017673853598977;
0.011749817611455;	0.015929620503053;	0.017764812264375;	0.017159888600154;
0.010936058540765;	0.015112886783325;	0.017035598028616;	0.016438616953597;
0.011659535850630;	0.014551863121777;	0.016441993097065;	0.015853479032480;
0.011489349533860;	0.014220109494683;	0.016046541056792;	0.015403013752761;
0.011201632948845;	0.013597611019801;	0.015499350895198;	0.014703739594385;
0.010913531005155;	0.012908808052494;	0.014760990649902;	0.014024459543064;
0.010101871819110;	0.012119962739705;	0.013917455122164;	0.013391846415383;
0.010714111975513;	0.011602512812858;	0.013323485760353;	0.012868744486771;
0.009727613413146;	0.010997241676860;	0.012690740781492;	0.012260718056671;
0.009686535826656;	0.010284903937474;	0.012001740062004;	0.011576897524371;
0.009264658257289;	0.009637889009201;	0.011348001583089;	0.010938236704694;
0.008989277998603;	0.008980892078130;	0.010643329324109;	0.010262016954052;
0.008791130607878;	0.008458906763894;	0.010013541858366;	0.009635290328302;
0.008690823339426;	0.008003457585829;	0.009457191536881;	0.008997973124943;
0.008452634464126;	0.007573609511216;	0.008954612092632;	0.008398810476032;
0.008110461936897;	0.007057537342665;	0.008305174009977;	0.007807317372431;
0.007809703837846;	0.006534018905844;	0.007627764112211;	0.007237820510198;
0.007532290945519;	0.006083546685517;	0.007086766481733;	0.006714745940222;
0.007241629320769;	0.005666317521647;	0.006581044077280;	0.006236999945465;
0.007222451282034;	0.005324513943300;	0.006140797842678;	0.005839340611794;
0.006958068484707;	0.004996791121522;	0.005722272246368;	0.005460748032965;
0.006786879579988;	0.004665429524353;	0.005323565690538;	0.005099104421694;
0.006552096476665;	0.004367985034960;	0.004978050637545;	0.004761694491946;
0.006367376523205;	0.004091144535013;	0.004638315736478;	0.004441799911454;
0.006197321541893;	0.003836690934920;	0.004319571527424;	0.004150896346386;
0.006033901926741;	0.003607251416935;	0.004050613929466;	0.003897842646397;
0.005814176142072;	0.003388001088815;	0.003804749770232;	0.003664025619747;
0.005801690708466;	0.003191415402140;	0.003555900030447;	0.003435213618615;
0.005616094445364;	0.003008011640518;	0.003328504465029;	0.003225152931022;
0.005451516384010;	0.002822972442823;	0.003130607425370;	0.003042017172418;
0.005240945416526;	0.002638602428516;	0.002931219291267;	0.002824598835116;
0.005074913355019;	0.002459975623724;	0.002731118382594;	0.002624431462147;
0.004957633432689;	0.002305827351102;	0.002552010779254;	0.002469464917788;
0.004801861565134;	0.002161741513301;	0.002378742610886;	0.002312871602845;
0.004668545572138;	0.002027143585923;	0.002220855928147;	0.002190589307911;
0.004615044414595;	0.001916698919004;	0.002095081030285;	0.002133913015259;
0.004443728958514;	0.001808910756056;	0.001973852510031;	0.002051599212868;
0.004484532473980;	0.001711755357243;	0.001858099088983;	0.001924632376928;
0.004426377500490;	0.001633768373664;	0.001760154626608;	0.001829090310038;
0.004082167118918;	0.001513554902095;	0.001627961506030;	0.001468248862868;
0.004138832599661;	0.001423958111950;	0.001529900635031;	0.001377097430417;
0.004179756169091;	0.001392245149145;	0.001495973403997;	0.001657252925623;
0.003861326987575;	0.001301091094622;	0.001408014691181;	0.001517211667708;
0.003731642114103;	0.001188961989706;	0.001291927261360;	0.001260902016201;
0.003580343734966;	0.001103616305762;	0.001193145241227;	0.001113971659870;
0.003568655990686;	0.001040667485631;	0.001114240214983;	0.001078957200208;
0.003470173214122;	0.000988833147787;	0.001055745345790;	0.001074638537894;
0.003382295171586;	0.000931151511807;	0.000997198186689;	0.000984424766352;
0.003333211820618;	0.000880408054205;	0.000941166584923;	0.000911020317168;
0.003306272636485;	0.000840733170806;	0.000895680416771;	0.000867930154814;
0.003305104900074;	0.000809080170872;	0.000859581996262;	0.000839060536077;
0.003281582502061;	0.000779920019213;	0.000823264006287;	0.000817830021051;
0.003393734535025;	0.000759464902213;	0.000798201987321;	0.000796569530453;
0.003357478577340;	0.000737548352602;	0.000776542051797;	0.000755171448162;
0.003334965353841;	0.000708934614322;	0.000747915139826;	0.000733911468754;
0.003273638878524;	0.000677323932491;	0.000714651555011;	0.000701764119449;
0.003218045207039;	0.000643058385079;	0.000677273701690;	0.000666939081909;
0.003154009200375;	0.000610787593340;	0.000642884241703;	0.000638268464655;
0.003103691745097;	0.000580146500540;	0.000611825127483;	0.000600198464079;
0.003052456646372;	0.000549639658686;	0.000576153274811;	0.000568178389042;
0.003014862659545;	0.000523388111598;	0.000546207912260;	0.000541985330887;
0.002980858449294;	0.000502685655145;	0.000528557130211;	0.000519792467341;
0.002937210996110;	0.000476888996145;	0.000498454895726;	0.000492597700673;
0.002934471976677;	0.000454867215376;	0.000471356356719;	0.000471185303057;
0.002940431089603;	0.000441898959479;	0.000463753233819;	0.000456011812009;
0.002888976204328;	0.000423451099666;	0.000442164842571;	0.000437538660255;
0.002839303697926;	0.000405941666873;	0.000420196416750;	0.000422002682048;
0.002749959892130;	0.000393685490285;	0.000421330160363;	0.000409110485845;
0.002428471206762;	0.000355905741906;	0.000385377256551;	0.000374764154960;
0.002262974547402;	0.000317693145265;	0.000345511150451;	0.000339744292520;
0.001677800485377;	0.000290097552004;	0.000326710779849;	0.000310956464043;
0.001159583417251;	0.000254670692909;	0.000294368653830;	0.000273498490555;
0.000715484562233;	0.000216533552748;	0.000255154132431;	0.000234894698112;
0.000389688980507;	0.000184161846085;	0.000222708477674;	0.000196892139110;
0.000119549658266;	0.000143936018122;	0.000172913317084;	0.000151439813436;
0.000088587327473;	0.000102962037048;	0.000118639983133;	0.000110610806744;
0.000066193508808;	0.000074954958170;	0.000082999455731;	0.000082704261082;
0.000051926548179;	0.000058580472286;	0.000064046603408;	0.000065218941034;
0.000040960414685;	0.000046982031527;	0.000052710211647;	0.000051442907842;
0.000028173897356;	0.000032370871654;	0.000036438237049;	0.000035428255893;
0.000017864539465;	0.000020411546921;	0.000022795314511;	0.000022498660055;
0.000010710204621;	0.000012193705126;	0.000013601203363;	0.000013470719708;
0.000005863171405;	0.000006518598701;	0.000007216190556;	0.000007354934147;
0.000003390533740;	0.000003709045778;	0.000004064294561;	0.000004234954653;
0.000002034442898;	0.000002200056605;	0.000002394075982;	0.000002492692063;
0.000001085037532;	0.000001163512219;	0.000001259105585;	0.000001309726608;
0.000000509588171;	0.000000543439916;	0.000000584286243;	0.000000609696460;
0.000000223540458;	0.000000237760461;	0.000000255644780;	0.000000265308343;
0.000000083967135;	0.000000088678515;	0.000000094592319;	0.000000098193073;
0.000000028633193;	0.000000030085315;	0.000000031876860;	0.000000033014785;
0.000000008485423;	0.000000008879913;	0.000000009370031;	0.000000009697182;
0.000000002130566;	0.000000002228003;	0.000000002350156;	0.000000002423637;
0.000000000460200;	0.000000000483298;	0.000000000513566;	0.000000000526872;
0.000000000061277;	0.000000000064747;	0.000000000068951;	0.000000000069498;
0.000000000005478;	0.000000000005824;	0.000000000006288;	0.000000000006297;
0.000000000000492;	0.000000000000527;	0.000000000000576;	0.000000000000589;
0.000000000000054;	0.000000000000058;	0.000000000000065;	0.000000000000062;
0.000000000000005;	0.000000000000006;	0.000000000000006;	0.000000000000007;
0.000000000000002;	0.000000000000002;	0.000000000000002;	0.000000000000002;
0.000000000000001;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
