0.086940491373701;	0.058160659751149;	0.034857677275102;	0.031452053817904;
0.090505451928418;	0.061222882409797;	0.036717531988971;	0.032895935428017;
0.092978112343677;	0.063223013116087;	0.037920352036215;	0.033856673158637;
0.095038308538425;	0.064911083663047;	0.038927724133067;	0.034656669032102;
0.096872800754681;	0.066340270917172;	0.039773399387737;	0.035346124757421;
0.098522079342425;	0.067586361911008;	0.040508526244848;	0.035954937185759;
0.100161138443881;	0.068755525910087;	0.041194090606150;	0.036540215727547;
0.104047781157068;	0.072212602725236;	0.044221225251435;	0.052555017652107;
0.105487921290201;	0.073220881651707;	0.044812491560337;	0.053092742211607;
0.106879409550906;	0.074189904402677;	0.045379643253093;	0.053606975659772;
0.108384379848673;	0.075214081710869;	0.045975740323882;	0.054147351851933;
0.109799067124302;	0.076191938062345;	0.046546766954876;	0.054678220188584;
0.111259957950757;	0.077188953059007;	0.047130592286642;	0.055271809745897;
0.112711759182806;	0.078190510078538;	0.047716643998882;	0.055845795158340;
0.114186773961539;	0.079203403548226;	0.048306987557320;	0.056405002807161;
0.115743028171645;	0.080275997609151;	0.048932091157274;	0.056994981014395;
0.121236718496831;	0.088214359677238;	0.063052846251114;	0.061887235271942;
0.122832579042216;	0.089368311197948;	0.063731845553589;	0.062569357422648;
0.124431726066234;	0.090524716793761;	0.064453716538673;	0.063221327661320;
0.126067295348437;	0.091707210378892;	0.065177720353767;	0.063895961961330;
0.127816057693035;	0.092939033179040;	0.065938195550119;	0.064687509481247;
0.129516959256047;	0.094129943748594;	0.066666591632292;	0.065406355279779;
0.131195001305732;	0.095343300340615;	0.067413373352393;	0.066117941785005;
0.133062553962020;	0.096648062294126;	0.068209307099009;	0.066960904621092;
0.134927724504906;	0.098001909293652;	0.069044495646972;	0.067797345248880;
0.136826254351837;	0.099324237400757;	0.069845142485270;	0.068610738292713;
0.138743171031780;	0.100745925179621;	0.070722288954109;	0.069544646183091;
0.140857878915242;	0.102245529728037;	0.071719479482966;	0.070501444857244;
0.143005307134811;	0.103851117815095;	0.072763925306693;	0.071513910927155;
0.145000728184004;	0.105305511776383;	0.073708501371495;	0.072512588248487;
0.147294883584079;	0.106965744196998;	0.074762923701904;	0.073571910441094;
0.149517842255193;	0.108586488769281;	0.075805394700382;	0.074690388523469;
0.151823146119162;	0.110320219826900;	0.076951805076817;	0.075841722028370;
0.154313908987953;	0.112138327207255;	0.078146239090847;	0.077105735314149;
0.156794371258282;	0.114016168176497;	0.079404478072782;	0.078389902230489;
0.159279401366467;	0.115889896873637;	0.080641695133922;	0.079715640441455;
0.162070943174626;	0.117981289981718;	0.082012276141921;	0.081170648526408;
0.164681701868959;	0.120009784867968;	0.083395988923709;	0.082610486998340;
0.167575834128273;	0.122226985290348;	0.084914519393453;	0.084213635702189;
0.170516152142514;	0.124485187988569;	0.086443815336071;	0.085824228694473;
0.173447506723595;	0.126793346011688;	0.088033204423193;	0.087554500730120;
0.176727443241653;	0.129338890291832;	0.089793046558482;	0.089381349533616;
0.179963387844763;	0.131874980097318;	0.091567031151246;	0.091294912493771;
0.183197463628946;	0.134482331326189;	0.093390963477689;	0.093254110714221;
0.186807763219276;	0.137313352973387;	0.095377378616994;	0.095383071527243;
0.190430634588857;	0.140214088165991;	0.097446424655223;	0.097605860641533;
0.194023037287218;	0.143182795355340;	0.099566741663840;	0.099929964196435;
0.197970231634382;	0.146336085691116;	0.101819505933024;	0.102370079505187;
0.202096148622739;	0.149672444690570;	0.104231852382923;	0.105005604653252;
0.205906629717150;	0.152939606665612;	0.106629583776510;	0.107641117714742;
0.210277693519767;	0.156515340681111;	0.109257867310316;	0.110523133828374;
0.214830212517797;	0.160298173956208;	0.112030281075831;	0.113603827608030;
0.219166624437114;	0.164056203375014;	0.114856768799260;	0.116707209105480;
0.223952616270573;	0.168065832297500;	0.117860418637962;	0.120077288655027;
0.228921276007662;	0.172297230525848;	0.121043833531574;	0.123620394738221;
0.233729933992785;	0.176536545110322;	0.124291688523777;	0.127272757796943;
0.238984704744004;	0.181083911016127;	0.127802984222001;	0.131297285707631;
0.244456923572709;	0.185848234562031;	0.131484054033838;	0.135463206956477;
0.249824675079932;	0.190678699257721;	0.135289824509633;	0.139837291918690;
0.255532557506499;	0.195721311477506;	0.139285795381788;	0.144421866209635;
0.261481944498368;	0.201062499771501;	0.143540141115955;	0.149248476856400;
0.267421868178127;	0.206583436843302;	0.148031986468689;	0.154315362568345;
0.273855976861098;	0.212385912607665;	0.152725833527617;	0.159681364330920;
0.280246352235613;	0.218256602187636;	0.157628060549508;	0.165287429250648;
0.286756563689649;	0.224405974227099;	0.162798152529379;	0.171097431868641;
0.293774424781507;	0.230964136732165;	0.168302962728809;	0.177372421707323;
0.301033697800515;	0.237739424193846;	0.174045643755205;	0.183866037816660;
0.308030497249165;	0.244496709767708;	0.179912947663602;	0.190568695554535;
0.315823841698438;	0.251902271208685;	0.186370597738147;	0.197836299717284;
0.323523635058850;	0.259345786459697;	0.192922550452176;	0.205236689759661;
0.331128979135636;	0.266926892842420;	0.199779683046706;	0.212906772649401;
0.339494420484824;	0.275013746550604;	0.207096643812074;	0.221154274377103;
0.348031476166802;	0.283434504436311;	0.214815849803783;	0.229545934539454;
0.356143279658988;	0.291849441986378;	0.222703641287265;	0.238186962856851;
0.365087347331669;	0.300829175360780;	0.231078371505522;	0.247440303452754;
0.374351568554749;	0.310105702606047;	0.239883178746788;	0.256973041161354;
0.383627969721019;	0.319442228740137;	0.248893940850739;	0.266648984509658;
0.392703830071824;	0.328982613813549;	0.258247445678489;	0.276641426300767;
0.402551917235586;	0.339095189727927;	0.268170954344724;	0.287062891089442;
0.412455833788283;	0.349425869950973;	0.278476397644569;	0.297798488109328;
0.421934789863463;	0.359663239427171;	0.288884010304526;	0.308681187960814;
0.432152505007925;	0.370378059493003;	0.299902912217889;	0.319938315119623;
0.442880813555952;	0.381730220414765;	0.311847906842225;	0.331740953067763;
0.453671377478360;	0.393222604842589;	0.323943805223370;	0.343821086510441;
0.463927706365534;	0.404522223669638;	0.335928411537883;	0.355967746061050;
0.475124514687857;	0.416357149946032;	0.348350512702544;	0.368377600957134;
0.486229741809765;	0.428279196937051;	0.361112809501068;	0.381034576313593;
0.497436461417073;	0.440328836358761;	0.374154074317395;	0.393918463907617;
0.508270968043097;	0.452345894627853;	0.387331240970011;	0.406867970903994;
0.519835678525894;	0.464923642946378;	0.401073399377003;	0.420201370053477;
0.531477385021764;	0.477519751960282;	0.414732571326562;	0.433664943358816;
0.543135021785279;	0.490279969431131;	0.428826906441824;	0.447136233475812;
0.554285257744949;	0.502750884300338;	0.442715764607247;	0.460525156968631;
0.565783333800410;	0.515468878135728;	0.456933847107157;	0.474170544926452;
0.577573393063048;	0.528324838064632;	0.471222885210238;	0.487957071049107;
0.589405606120379;	0.541255352181066;	0.485593566612069;	0.501856673970438;
0.601105624106525;	0.554191467700143;	0.499990248225676;	0.515778599096688;
0.612001548004108;	0.566665760196300;	0.514148615918812;	0.529445658030298;
0.623629243653273;	0.579502324309616;	0.528510137700731;	0.543311428477391;
0.635095653384239;	0.592267025123304;	0.542959004825053;	0.557136426552599;
0.646283321561776;	0.604841906934462;	0.557314811773764;	0.570677139153757;
0.657191995195672;	0.617167549615862;	0.571360990283003;	0.584148028341943;
0.667295379260829;	0.629047120764683;	0.585036906901774;	0.597378321256260;
0.678022411457849;	0.641138312924861;	0.598822966940088;	0.610702117084512;
0.687767664955045;	0.652589738100461;	0.612128756788837;	0.623580568903788;
0.697481102571786;	0.663905876669677;	0.625330666933886;	0.636302242384019;
0.706779516415103;	0.674690439458182;	0.638084881873903;	0.648627438934409;
