0.032382458085315;	0.021478801770066;	0.011852666451520;	0.005164998696486;
0.066381703907510;	0.062675743217692;	0.031188274835754;	0.022437810655935;
0.054563023927299;	0.052458362131552;	0.026039319153208;	0.018604079658332;
0.044813776831990;	0.042219942405975;	0.020884727703744;	0.015051371709688;
0.038670606772879;	0.034757141095813;	0.017139325214112;	0.012600581560216;
0.034205368995679;	0.029184371630042;	0.014363842093957;	0.010808238932431;
0.047481390145782;	0.040685534655809;	0.022249699840639;	0.019575293566448;
0.041380005132255;	0.035158212864716;	0.018965578610063;	0.017706427863250;
0.025724285765546;	0.021035779955763;	0.010353236043564;	0.008636481965438;
0.025137782742249;	0.019946385765463;	0.009820811864182;	0.008242765860487;
0.024059460815616;	0.018558446167308;	0.009161310009057;	0.008007874857372;
0.022195300383082;	0.016740192108515;	0.008329047688071;	0.008267965448675;
0.021667303351500;	0.015880637191756;	0.007937962148459;	0.008401455864855;
0.020791732552740;	0.015108579132713;	0.007541917214977;	0.007500906975612;
0.020058525002289;	0.014727770779979;	0.007355829524761;	0.007064053767396;
0.033363516717217;	0.027303524448269;	0.014568352770876;	0.013261640022595;
0.034721231618958;	0.033618840636482;	0.018110375751602;	0.017126734297147;
0.020458405658947;	0.017821300461567;	0.009423213195818;	0.008640507001970;
0.019297867393026;	0.015967275226433;	0.008869759725460;	0.007844377992077;
0.018814300820481;	0.014679880985951;	0.008216902642842;	0.008465099353414;
0.018284095931782;	0.013672972594010;	0.007725184666009;	0.008487394512175;
0.017389996067713;	0.013212394987563;	0.007416206692612;	0.007526245690603;
0.017446096707894;	0.013170216030606;	0.007378226510088;	0.008056083933080;
0.017683676488728;	0.013398223623995;	0.007520490314394;	0.008796960373939;
0.017132020817374;	0.012858627653225;	0.007177963844429;	0.008119771051297;
0.016738812264025;	0.012671078016559;	0.007035619690882;	0.008437288852670;
0.017078030989593;	0.013188459732946;	0.008102286702501;	0.009132375364533;
0.017299710258531;	0.013358225507384;	0.008763901553016;	0.008952515844992;
0.016196302478561;	0.012640042629722;	0.008039789650418;	0.009106026530053;
0.016123271368681;	0.012300395983283;	0.007692090421864;	0.008965957916156;
0.016333546159712;	0.012518667371168;	0.007731747402181;	0.009092755508442;
0.015876912230902;	0.012446584450206;	0.007979544912773;	0.009358709140582;
0.016205734913575;	0.012730772978684;	0.008401068795834;	0.009597841479211;
0.016149804057859;	0.012729473044871;	0.008514856863648;	0.009835859680087;
0.015634037231989;	0.012549782885918;	0.008361473111921;	0.009784880722541;
0.015930432291237;	0.012712863728995;	0.008257808837006;	0.010023544934337;
0.015738655282588;	0.012847180021260;	0.008609236470713;	0.010100867650645;
0.015454019675441;	0.012712032295639;	0.008905975205370;	0.010289706550089;
0.015834259148588;	0.012945785104580;	0.009127804367688;	0.010485984168144;
0.015429425208281;	0.012848624156356;	0.009225116828727;	0.010618326541651;
0.015749544584427;	0.013220450919234;	0.009601216181145;	0.010893469779853;
0.015824672197485;	0.013170088111782;	0.009582256166528;	0.010932410181675;
0.015206432953226;	0.012895902726289;	0.009491814711287;	0.011022615071590;
0.015532875891194;	0.013181311811098;	0.009795046199155;	0.011161559123441;
0.015776808628926;	0.013278783879613;	0.009946090758895;	0.011386360404717;
0.015280381043921;	0.013274698827312;	0.009965511044128;	0.011574779132096;
0.015366136750009;	0.013306792359451;	0.010096212782448;	0.011638702739975;
0.015826636308170;	0.013440099028542;	0.010268855238370;	0.011814653078864;
0.015107944091391;	0.013375945897742;	0.010300086637668;	0.011945343841784;
0.014987490711701;	0.013324653745067;	0.010451528992490;	0.011997141658424;
0.015717251103668;	0.013660131644132;	0.010655880176571;	0.012342775727338;
0.015207262198173;	0.013660838284542;	0.010757674407108;	0.012379320495164;
0.015098687419754;	0.013518387626361;	0.010831856467793;	0.012437297408379;
0.015567742487511;	0.013740365633837;	0.010976585338743;	0.012688327730288;
0.015132876048207;	0.013750202896923;	0.011088364540436;	0.012720446543732;
0.015008184359794;	0.013677116200015;	0.011203053454030;	0.013014630991637;
0.015431256137414;	0.013925911438510;	0.011476728632967;	0.013278201609418;
0.015139540501340;	0.013931336764436;	0.011529899104980;	0.013285716104620;
0.014971073712546;	0.013794024793223;	0.011581298199868;	0.013361312835801;
0.015221228978470;	0.013946696070389;	0.011773245279781;	0.013384763650266;
0.015077860676204;	0.014189986441217;	0.012077653261735;	0.013491206903430;
0.015166421737038;	0.014249988784928;	0.012200543438544;	0.013613828119198;
0.015212474167734;	0.014086604920339;	0.012259876291438;	0.013695864571465;
0.014895395772614;	0.014074666225863;	0.012468407099369;	0.013680864024971;
0.015128963221732;	0.014403509105173;	0.012685613120996;	0.013853244511584;
0.015482198241152;	0.014554363884384;	0.012828999109683;	0.014015805561303;
0.015023651595754;	0.014261443902617;	0.012760194743914;	0.013899711516188;
0.015084827670338;	0.014411322714327;	0.013040279400593;	0.014103629671125;
0.015394259197665;	0.014653947561643;	0.013278187569021;	0.014226315417751;
0.014824237254467;	0.014373803975356;	0.013193632895269;	0.014059795530348;
0.015003030368281;	0.014460037122883;	0.013422218410430;	0.014258193552794;
0.015476152225855;	0.014758252009185;	0.013717855102414;	0.014353004612517;
0.014831799106706;	0.014669157058962;	0.013756550743385;	0.014180908424902;
0.014745084285585;	0.014662583603367;	0.013775548427690;	0.014356474918282;
0.015421742766817;	0.014908584679365;	0.014029850208784;	0.014556798025950;
0.015399856149868;	0.014766207041869;	0.014069877937220;	0.014397275851358;
0.014858983455887;	0.014581997645152;	0.014000911287985;	0.014269884152662;
0.014947643019697;	0.014799726864574;	0.014203081443846;	0.014366385562277;
0.015241534950244;	0.014967634738443;	0.014405842743724;	0.014453393172081;
0.014565194261906;	0.014662216553942;	0.014257434303357;	0.014355535919565;
0.014532944013197;	0.014566986400679;	0.014289775199947;	0.014334801632489;
0.015226103080587;	0.014971760804330;	0.014870593942170;	0.014579038239536;
0.015333592666291;	0.015176215468852;	0.015142855235233;	0.014763713821786;
0.014668151251398;	0.014845731770607;	0.014734505739054;	0.014666692150299;
0.014710392820240;	0.014805288601055;	0.014564753885903;	0.014604398298662;
0.015064822709728;	0.014909211165290;	0.014673945095517;	0.014649825626029;
0.014819076801251;	0.014745219991260;	0.014683307062431;	0.014676650067443;
0.014406865104454;	0.014577733435108;	0.014615210313709;	0.014635898486427;
0.014376259629052;	0.014673935420461;	0.014720532718929;	0.014693067420040;
0.014719176429307;	0.014828931203630;	0.014754192112027;	0.014821454611084;
0.014562049973507;	0.014743952070446;	0.014723332785048;	0.014742901247361;
0.013997638532850;	0.014472955681655;	0.014637109025437;	0.014542212464521;
0.013676502480314;	0.014253090843642;	0.014513323751664;	0.014488796390781;
0.013959805928226;	0.014317373397797;	0.014582659207738;	0.014595460318061;
0.013996715594104;	0.014281552065737;	0.014534814249578;	0.014619159504571;
0.013698448519979;	0.014163789108410;	0.014466772040806;	0.014567924854433;
0.012927977654829;	0.013793216980443;	0.014268478197756;	0.014341801079941;
