0.002857142857143;	0.002857142857143;	0.002857142857143;	0.001428571428571
0.002445716794802;	0.002012306104485;	0.001098269049988;	0.000875707974407
0.005296552558237;	0.004669988780745;	0.002545084551241;	0.001971996802359
0.005865053672321;	0.005227162770574;	0.002847974177025;	0.002197035457393
0.006394721918827;	0.005390604942491;	0.002940153525581;	0.002320490746878
0.006297083397545;	0.005267706106989;	0.002873302436283;	0.002274915392542
0.011768513408039;	0.010561045218282;	0.008139455722891;	0.042506291139026
0.006649126332867;	0.005175925206526;	0.002834691929585;	0.002427422827293
0.007656570427716;	0.006084180316988;	0.003720736518226;	0.009050879472910
0.022968942840233;	0.034032091989483;	0.066392081114472;	0.021399176267026
0.008277927453674;	0.006745969531421;	0.004041026048723;	0.006592412344587
0.008003303457051;	0.006195583572510;	0.003779660593184;	0.005473939174126
0.008234313209481;	0.006195356538108;	0.003743810362912;	0.005301146004884
0.009304940785440;	0.007407478506263;	0.004492709823846;	0.005809983194052
0.008902004302069;	0.006858159478087;	0.004581292087978;	0.005845322833646
0.009565587300646;	0.007167954440565;	0.004742240433876;	0.006427177383729
0.010083338264444;	0.008476636574998;	0.005775364211558;	0.006960980542922
0.010555860461566;	0.008230752935833;	0.005738631043806;	0.007287767360313
0.010943631052765;	0.009451808622157;	0.006921725602580;	0.007796100561593
0.011451594075145;	0.009373962613343;	0.006940256126205;	0.008237807327001
0.011784536984586;	0.010276636993713;	0.007520449123986;	0.008769644243837
0.012268977017464;	0.010314372112848;	0.007812138254144;	0.009193247173677
0.012798560945265;	0.011497955895759;	0.008611110084438;	0.009982641828450
0.013276438162632;	0.011623116396651;	0.008828184741522;	0.010446547451470
0.013791039488938;	0.012263868510485;	0.009543875234206;	0.011133034002415
0.013921693909982;	0.012960043962659;	0.010177163886796;	0.011786912829303
0.014550302391435;	0.013297997122840;	0.010665113831647;	0.012526654130458
0.015032137051109;	0.013998809838376;	0.011401526051389;	0.013213849179759
0.015281395812463;	0.014787289058206;	0.012143320827613;	0.014024520902992
0.014890360796620;	0.014639338915278;	0.012492553765911;	0.014510405755908
0.015856483749771;	0.015481514099000;	0.013418823016362;	0.015614236743704
0.016389286241707;	0.016622535652402;	0.014686856566096;	0.016283759296797
0.016326672201308;	0.016644194192540;	0.014832556748311;	0.016792665570707
0.016105289022800;	0.016756812380624;	0.015721840415829;	0.017641089707847
0.016787984576800;	0.017408567550068;	0.016618996082160;	0.018460159653061
0.017006944769304;	0.018172755537570;	0.017332198619558;	0.018747903908410
0.016861730348263;	0.018233862140452;	0.017646609984248;	0.019337895975966
0.016865189881227;	0.018535740312612;	0.018597957110789;	0.020033611183166
0.016511831119997;	0.018565545384922;	0.019123360143327;	0.020332341717349
0.016787863331420;	0.018543184220775;	0.019399418838438;	0.020774351244033
0.016746173870858;	0.018784969872353;	0.020002962831498;	0.021188956557566
0.016630098508615;	0.019137699574032;	0.020689184188461;	0.020887366383031
0.016352876657389;	0.019071399339306;	0.020935854174231;	0.021225687285716
0.015966818620587;	0.018801147382231;	0.021095761689478;	0.021277497178885
0.015588839389576;	0.018553680132889;	0.021191654486697;	0.021189362010646
0.015220043410751;	0.018253552406713;	0.021226827713458;	0.021215937513354
0.014973002329605;	0.017936145736532;	0.021234464756251;	0.020852461147340
0.014440343448671;	0.017390263502549;	0.021024425425481;	0.020582203124907
0.014115845569572;	0.017057345484531;	0.020676188182821;	0.020234885362635
0.013777165444620;	0.016976818841709;	0.020752523531291;	0.019691043628177
0.013073838066648;	0.016245478473644;	0.020038686010676;	0.018515761184140
0.012467749960903;	0.015593960924126;	0.019520583730190;	0.018014996115852
0.011876351985252;	0.014968035605624;	0.018887437369136;	0.017421942164100
0.011230943423893;	0.014217325030487;	0.018138717066492;	0.016812373615986
0.010644871962759;	0.013566498767996;	0.017508126808130;	0.016237890322351
0.010024198467075;	0.012849128824430;	0.016752051078845;	0.015437016339036
0.009431762048943;	0.012148908998014;	0.015992181814076;	0.014658190266838
0.008980187857303;	0.011489799958869;	0.015194960796188;	0.013833958060416
0.008416807972444;	0.010783593615944;	0.014325399566304;	0.012997926809300
0.007838250260836;	0.010098918495550;	0.013511265697070;	0.012154010683504
0.007275467861470;	0.009414600286550;	0.012628231594027;	0.011319120533396
0.006735302596571;	0.008735813460960;	0.011767932250123;	0.010528055003954
0.006224844673575;	0.008073055110942;	0.010921262068583;	0.009776807705371
0.005733537142859;	0.007429541422225;	0.010101243865579;	0.008950700001923
0.005252156978117;	0.006799903460196;	0.009305179192715;	0.008268722568224
0.004843180414900;	0.006289807798966;	0.008600829099984;	0.007616701458742
0.004470974562918;	0.005836773422693;	0.007936445823382;	0.006993770985117
0.004045008637254;	0.005285495045216;	0.007183789755253;	0.006324458911778
0.003664820033565;	0.004785068370289;	0.006470909525476;	0.005741108208899
0.003381066267180;	0.004381274175183;	0.005910434706571;	0.005255284965083
0.003071575521799;	0.003995431199759;	0.005406862695241;	0.004795733097205
0.002787263161071;	0.003632582110472;	0.004930118418335;	0.004363736008286
0.002523099475602;	0.003293260825835;	0.004481816733829;	0.003969571422892
0.002273790373009;	0.002974955983468;	0.004063973595395;	0.003586229157257
0.002049554429655;	0.002689553712117;	0.003679051338884;	0.003238544878671
0.001827060083216;	0.002406886646420;	0.003307754944260;	0.002811075071867
0.001636681561753;	0.002165192527232;	0.002987643098363;	0.002560163145314
0.001474953140871;	0.001940358525979;	0.002670679888880;	0.002331336294084
0.001316619083560;	0.001740226770595;	0.002407465359654;	0.002109772810450
0.001165283162396;	0.001545339047529;	0.002135547217654;	0.001882350663563
