0.368690212075137;	0.107348717796889;	0.100309695631052;	0.096098290273520;	0.092502427592634;	0.089904380793561;	0.087366638653030;	0.085638476260442;	0.083456618789651;	0.081808650124426;	0.080067299543742;	0.078655868644866;	0.077467725395880;	0.076357237833425;	0.074919287269120;	0.073793083064988;	0.072673043137307;	0.072080633450199;	0.071025855039516;	0.070225512621432;	0.069490751690078;	0.068745027598645;	0.068322245926804;	0.067315493249059;	0.066779184583662;	0.066373669633094;	0.065746633386693;	0.064940324510699;	0.064729895950461;	0.064571328457201;	0.064072529070786;	0.063492477454660;	0.063155458527061;	0.062976725512669;	0.062109087284290;	0.062332810637568;	0.061888397339670;	0.061556577454736;	0.061209700736185;	0.061239299828763;	0.060590389026010;	0.060837807845116;	0.060312608651345;	0.060133653887650;	0.060220408281353;	0.059752337308760;	0.059778095698334;	0.059874845980164;	0.059227111769470;	0.059564562213832;	0.059653420727730;	0.058790351945854;	0.059577613687104;	0.059321287892983;	0.058789132158942;	0.059392968389059;	0.059330010830004;	0.058891749776125;	0.059451610862987;	0.059355417718867;	0.059118489959235;	0.059692013755823;	0.059525277739278;	0.059440592135885;	0.060042703034441;	0.059872885926527;	0.059928414460108;	0.060480959023933;	0.060461012896953;	0.060467811020653;	0.061053588155246;	0.061234946224591;	0.061171665987164;	0.061881337454547;	0.062132249290461;	0.061959031042790;	0.062864556432990;	0.063130375161839;	0.063080140532693;	0.063862495449117;	0.064384179379259;	0.064613160532710;	0.064915270640393;	0.065777452310419;	0.066238981388534;	0.066347235249638;	0.067327169110849;	0.067947992037361;	0.068357841424789;	0.068756869963639;	0.069873055293552;	0.070475115691287;	0.070900627312271;	0.071633380211759;	0.072668750461128;	0.073312157936975;	0.073875998276618;	0.074753923080490;	0.075876707062044;	0.076762961671661;	0.077517397786079;	0.078302849234280;	0.079756731345300;	0.080757041835691;	0.081785353706573;	0.082569196551417;	0.084055913469058;	0.085407900013383;	0.086657207494787;	0.087919234156623;	0.088962125575016;	0.090798174301383;	0.092370694494143;	0.093890593791515;	0.095432374207334;	0.096916744934810;	0.098591731605821;	0.100797542938200;	0.102638316738859;	0.104578671146585;	0.106556125812870;	0.108541510474797;	0.110552303684801;	0.113314076111063;	0.115626488817731;	0.118043176624559;	0.120534142874629;	0.123134578609481;	0.125812548970842;	0.128382946582215;	0.131905572368454;	0.134942252060242;	0.138079713748517;	0.141322503441662;	0.144712718312090;	0.148295595381222;	0.151992099460226;	0.155764524950800;	0.159878110763921;	0.164432063029433;	0.168747270278211;	0.173192093362099;	0.177817344727284;	0.182632206644405;	0.187636745909333;	0.192849938866879;	0.198329517490768;	0.204112973800990;	0.210153829108922;	0.216271965457694;	0.223117538628838;	0.229413169687185;	0.235660036400805;	0.242093074097790;	0.248743132237284;	0.255559567301290;	0.262761083438022;	0.270166234896555;	0.277756608203980;	0.285518457329483;	0.293448030399362;	0.301503666094948;	0.309615420042889;	0.317822089764855;	0.326073105507563;	0.334217891079049;	0.342512242976469;	0.351075105848358;	0.359774055559495;	0.370134323314010;	0.387815014900990;	0.649315703941231;	0.086838411577850;	0.136708771894620;	0.211687032284839;	0.315936058049653;	0.418206832677118;	0.337919568037652;	0.021430591136893;	0.104576371917790;	0.301722431076644;	0.550485715985305;	0.947284989195121;	-0.845395372114620;	0.044010569427896;	0.374076166026267;	0.766323443009748;	0.395329336987878;	-0.376476569942518;	0.197475406241614;	0.556000408160430;	-0.677076420401789;	0.201879789847541;	0.409994550364771;	0.929575319431548;	0.006264367867431;	0.315781251217616;	0.620527374414675;	-0.262354728387933;	0.165247031427108;	0.255929544105184;	0.303654727236434;	0.335811292145792;	0.360805563099167;	0.380945587710259;	0.397950685342668;	0.412737983203300;	0.425712837397641;	0.437202830019613;	0.447480344033536;	0.456924511938592;	0.465592651031854;	0.473510875768841;	0.480760246050746;	0.487637424443871;	0.493926992753053;	0.498891138733913;	0.501326186560471;	0.503563205652984;	0.521847058587078;	0.594119404749317;	0.885686530427652;	-0.994396525944116;	0.292119966630931;	0.622881834231038;	-0.105830600969262;	0.476867742303811;	10.777609282657052;	0.379252808324791;	1.034433913784414;	0.277725993174646;	0.691128431896889;	0.115288815000202;	0.556283362067446;	-0.387911824010920;	0.474496037659544;	6.496558499505264;	0.399847052874028;	1.047120778007878;	0.309866862678198;	0.671015353148802;	0.133167442688192;	0.455952082262697;	0.916584425818127;	0.288438785933965;	0.428273633115304;	0.485368187362956;	0.536429660667189;	0.632786835966160;	0.564812417054080
0.418362993350853;	0.130720893533299;	0.121308148228510;	0.115637166104592;	0.110871771505871;	0.107406168194569;	0.104085753986606;	0.101782657937118;	0.098977859741224;	0.096819887403301;	0.094572861748872;	0.092738898130972;	0.091185463440323;	0.089733095003069;	0.087905077691130;	0.086463809353086;	0.085044292489065;	0.084252767203876;	0.082932155061193;	0.081941526519102;	0.081031742066397;	0.080109869078018;	0.079570485064517;	0.078354711851684;	0.077692547175565;	0.077186585436857;	0.076424489970696;	0.075453266403162;	0.075169124151539;	0.074944511590854;	0.074323853944938;	0.073612728547525;	0.073194476453027;	0.072964152598052;	0.071934703172669;	0.072169527932777;	0.071621206007601;	0.071201903707547;	0.070768675619762;	0.070763766250456;	0.069978954260228;	0.070233004207287;	0.069591852774906;	0.069355174240625;	0.069428034200852;	0.068858051121736;	0.068858462998255;	0.068940930381597;	0.068167860323219;	0.068526498965198;	0.068601897815906;	0.067586088358983;	0.068463568086966;	0.068144360779267;	0.067511406730026;	0.068180321935837;	0.068081971383327;	0.067553112572797;	0.068168835360442;	0.068029997206268;	0.067731833348649;	0.068365527347250;	0.068151921799139;	0.068032163187099;	0.068702344390585;	0.068492450714789;	0.068544676756942;	0.069168755924316;	0.069138267710346;	0.069138670821299;	0.069801929579264;	0.070001471029236;	0.069919531786705;	0.070722669715109;	0.071001227762610;	0.070795710003879;	0.071822030333237;	0.072119657177519;	0.072058919306499;	0.072943884479418;	0.073501017460965;	0.073721661680562;	0.074024212499459;	0.074965286931786;	0.075449450675781;	0.075528196204484;	0.076597559269393;	0.077257266037720;	0.077675418968010;	0.078079206475000;	0.079301426689537;	0.079963597552015;	0.080430521758468;	0.081237939211644;	0.082373523052669;	0.083063487963151;	0.083661724019849;	0.084613645617462;	0.085840671474838;	0.086797505258706;	0.087603484491264;	0.088442134805943;	0.090031297449819;	0.091104282838966;	0.092206831836161;	0.093031178064486;	0.094644433089396;	0.096103186087901;	0.097438498491715;	0.098765546116027;	0.099843254132572;	0.101813376503441;	0.103481613346233;	0.105070052051166;	0.106675758119306;	0.108210082044716;	0.109945110810695;	0.112271798707876;	0.114187947233669;	0.116220041671951;	0.118288070406592;	0.120357230299678;	0.122447449295947;	0.125367293523344;	0.127826561092954;	0.130463656145678;	0.133215129653664;	0.136080756991412;	0.139005316248195;	0.141813195955221;	0.145715266703646;	0.149088524734758;	0.152605855074320;	0.156257212539038;	0.160081222542845;	0.164128513395590;	0.168272718036818;	0.172450217554710;	0.176975499813162;	0.181964523547145;	0.186652195718715;	0.191465862335280;	0.196566522078215;	0.201895128993722;	0.207523811834659;	0.213332171876179;	0.219196854426371;	0.225169376299531;	0.231363800499225;	0.237595096280179;	0.244677815375330;	0.251339967012119;	0.258695968322793;	0.266327251639161;	0.274120795282941;	0.282159995883953;	0.289399069184297;	0.296774649705872;	0.304332771686054;	0.312035572499572;	0.319832166548024;	0.327764947542609;	0.335860737994517;	0.343940981649972;	0.351984987617037;	0.359915284792060;	0.367861839477020;	0.375979376476639;	0.384202454508590;	0.394119668246812;	0.412140059025948;	0.690724122085113;	0.093200664602242;	0.146706485756451;	0.224894022658236;	0.332852821028992;	0.437820260019864;	0.352436501026853;	0.026851432538569;	0.115528693048192;	0.319939299317978;	0.575366533729128;	0.970965999037452;	-0.871776084163009;	0.053571872029858;	0.392501435561097;	0.791574850822140;	0.451552510265744;	-0.380188791207308;	0.210276436769182;	0.577461559228664;	-0.685523495278259;	0.214055157717146;	0.426395532273214;	0.955916271127772;	0.014227270526763;	0.329441843478820;	0.640120751761470;	-0.261719249466839;	0.174461368630096;	0.266625829141043;	0.314897330042671;	0.347370540274344;	0.372364804417314;	0.392504846084258;	0.409396000838638;	0.423873954285829;	0.436580122969719;	0.447997131421099;	0.458438703387862;	0.467613494879926;	0.475870097200080;	0.483556327705217;	0.490703880501628;	0.497164791349552;	0.503060110739772;	0.507719566517548;	0.509891192381549;	0.512028412553852;	0.530284410746522;	0.602414886227974;	0.889265403574825;	-0.989742560710979;	0.301471703873468;	0.632107224810135;	-0.096603206911523;	0.485734685008516;	10.778682077365465;	0.388439272371919;	1.042971061959396;	0.286867496824931;	0.699709276501781;	0.124251431758966;	0.564287293719002;	-0.378707254229497;	0.482216498978539;	6.493998010813241;	0.407558225822563;	1.053567477074684;	0.317606772038720;	0.677862795021953;	0.140884420982959;	0.462974676476725;	0.922455632986309;	0.295488980925993;	0.434763969647715;	0.491628537747276;	0.542538307515305;	0.638312638235394;	0.570714275495526
0.448751880131909;	0.146517845728734;	0.135796803463179;	0.129410499664486;	0.124048289082757;	0.120134034322263;	0.116378108191835;	0.113758229052375;	0.110581337945296;	0.108183804606808;	0.105696549629442;	0.103661520955119;	0.101937474086455;	0.100338143269454;	0.098328905575478;	0.096724183861973;	0.095129946583203;	0.094230992318002;	0.092728288555114;	0.091523328312153;	0.090414430566730;	0.089305665530276;	0.088619903920554;	0.087183676369953;	0.086360022328961;	0.085709157060213;	0.084779286002953;	0.083628834295924;	0.083261368355836;	0.082967170542848;	0.082243101300200;	0.081415695417874;	0.080894559131862;	0.080574030588370;	0.079375871591533;	0.079576509355174;	0.078943109143958;	0.078456770286025;	0.077952093585207;	0.077937693914410;	0.077057249789222;	0.077314662989649;	0.076596388894786;	0.076314060225426;	0.076366512493956;	0.075721211775093;	0.075701867712123;	0.075772961509220;	0.074901770776789;	0.075280415367525;	0.075341601433579;	0.074198131123491;	0.075143103589958;	0.074768627274984;	0.074044577393738;	0.074754669260761;	0.074627516472118;	0.074029035137786;	0.074685750906709;	0.074520535191145;	0.074176996750209;	0.074846467669838;	0.074586745641634;	0.074430307593473;	0.075129275040783;	0.074858373889047;	0.074864830876801;	0.075487935794448;	0.075395879566918;	0.075336880972023;	0.075997821560176;	0.076155819068397;	0.076011226629031;	0.076824746189493;	0.077067649663378;	0.076783759076330;	0.077836414562062;	0.078093307221376;	0.077956227567130;	0.078844182817645;	0.079401192705967;	0.079596899445433;	0.079882101883532;	0.080852935625322;	0.081327579943048;	0.081368909508111;	0.082477325299378;	0.083142093966089;	0.083546479287457;	0.083936634860157;	0.085212759465171;	0.085889138726608;	0.086342226676268;	0.087175915168684;	0.088391796800340;	0.089128814711844;	0.089767611096250;	0.090787141027490;	0.092102439477616;	0.093129299875440;	0.093994238674915;	0.094895810088195;	0.096604765198456;	0.097762572003842;	0.098951501957402;	0.099842875104325;	0.101581277556249;	0.103152967658593;	0.104600054248377;	0.106083332394910;	0.107303954215115;	0.109476148189062;	0.111330817534423;	0.113139736453629;	0.114972810241871;	0.116736318440706;	0.118738140742293;	0.121375731764658;	0.123572495499803;	0.125884365897523;	0.128241888884096;	0.130602621693466;	0.132988882317427;	0.136271696150477;	0.138972832670280;	0.141736994018893;	0.144548286766141;	0.147484008718645;	0.150531335207928;	0.153448140884464;	0.157474620073064;	0.160919794101722;	0.164472700773634;	0.168140285560402;	0.171969972374694;	0.175992157997218;	0.180099243006948;	0.184272964863686;	0.188870991091427;	0.194035327373977;	0.198923968143489;	0.203938020131422;	0.209114942690875;	0.214487829951118;	0.219991418631626;	0.225707233909898;	0.231675977634642;	0.237941950360885;	0.244538423263594;	0.251649459380613;	0.259917897000005;	0.267483826940268;	0.274466084566699;	0.281496242133178;	0.288713403233528;	0.296140224171749;	0.303714100199255;	0.311416519167148;	0.319241915894465;	0.327200636026569;	0.335291798442240;	0.343421963745683;	0.351456749834302;	0.359435067194412;	0.367422683603791;	0.375310026112628;	0.383262849748259;	0.391526613966146;	0.399882581718815;	0.410073925402756;	0.428795200155530;	0.719680903615873;	0.097891680149118;	0.154084819337125;	0.234444249994998;	0.344372506509908;	0.450379957304624;	0.361461381092112;	0.030419520906802;	0.122163094670725;	0.330106338313770;	0.588531107468028;	0.981469991912054;	-0.886082578356784;	0.060194599592876;	0.404454913256850;	0.807489217293727;	0.497026190548169;	-0.381534132822142;	0.219547271463097;	0.591393661533026;	-0.689505323170827;	0.221639359589876;	0.436072510216385;	0.970559281894954;	0.019519552577457;	0.337758637671030;	0.651801831241098;	-0.260146440774460;	0.180776886073349;	0.273836880307956;	0.322398823701748;	0.354912641036432;	0.379922575885000;	0.400095166104605;	0.416744000895324;	0.430969538021509;	0.443537027828315;	0.454815596064949;	0.464690887020762;	0.473673737420338;	0.481793534828257;	0.489188860566211;	0.496060736330649;	0.502519711568507;	0.508449700409604;	0.513136738967996;	0.515288467923034;	0.517253264949072;	0.535305927175669;	0.606927217250763;	0.890945923683807;	-0.986806526219339;	0.306151862937512;	0.636834490064213;	-0.091358159336181;	0.490882259712623;	10.775102472499336;	0.392904222760410;	1.046662388735256;	0.290879017048556;	0.703441844171111;	0.128726928470670;	0.568552866828385;	-0.373795155980483;	0.486056728258456;	6.494882388612856;	0.410667541526623;	1.056566486007156;	0.320761521892345;	0.680987225993246;	0.143770850355720;	0.465515717443455;	0.924666732682002;	0.297890291264141;	0.437171144300744;	0.493925380583331;	0.544550783047873;	0.639937082652915;	0.572643428149067
0.476382482624591;	0.162751929642678;	0.150423184543890;	0.142889719954880;	0.136619700009427;	0.132051862212902;	0.127731284372820;	0.124706143507536;	0.121098378813459;	0.118277672823700;	0.115367508884264;	0.112986698899078;	0.110965157450169;	0.109074335684272;	0.106734739506151;	0.104888660268869;	0.103083823265802;	0.102050086559109;	0.100377692035219;	0.099071317513963;	0.097869215744014;	0.096655047343272;	0.095910973634622;	0.094357854253197;	0.093481320187185;	0.092799373611591;	0.091811571831212;	0.090573171125009;	0.090153904704406;	0.089807278175152;	0.088987132090867;	0.088067027365684;	0.087513340500413;	0.087190326039558;	0.085907383925895;	0.086136111949690;	0.085418434348230;	0.084850419890879;	0.084274704074470;	0.084204494266388;	0.083207229762978;	0.083452422915347;	0.082628987850095;	0.082288376705608;	0.082317475905262;	0.081579675521677;	0.081516459617431;	0.081552418069270;	0.080580168924537;	0.080944006373399;	0.080976096252882;	0.079726635160462;	0.080707711722924;	0.080277419681676;	0.079481273009705;	0.080215033075304;	0.080041758840636;	0.079360760083296;	0.080022819903426;	0.079797555174971;	0.079385142680499;	0.080068425631103;	0.079759696033476;	0.079557612687946;	0.080281454428130;	0.079979601937419;	0.079992117490564;	0.080676339390557;	0.080596850140556;	0.080552277159050;	0.081282221175554;	0.081471544977180;	0.081333914027872;	0.082227420742880;	0.082511175743676;	0.082232448570764;	0.083382567227425;	0.083685020985382;	0.083575915190525;	0.084572158145275;	0.085206929030485;	0.085446876595552;	0.085781113958915;	0.086858543030219;	0.087407919378513;	0.087487890577051;	0.088714695520953;	0.089466988608777;	0.089940771459456;	0.090397419251606;	0.091798746716664;	0.092552408793621;	0.093079515182479;	0.093995942532363;	0.095282672863667;	0.096055007386674;	0.096723001186964;	0.097798583783535;	0.099190227235770;	0.100268848789020;	0.101174562951753;	0.102116448103722;	0.103939417281546;	0.105171506729529;	0.106436797791525;	0.107379311247739;	0.109234314108221;	0.110911223727978;	0.112457256503546;	0.113985642188035;	0.115208321075533;	0.117443228121544;	0.119326598530633;	0.121113068869561;	0.122929043044047;	0.124665432826000;	0.126623822881950;	0.129246687377042;	0.131385606985756;	0.133629329640483;	0.135904100432439;	0.138196082343777;	0.140521101587736;	0.143792226521582;	0.146500707815697;	0.149359954151333;	0.152332972322302;	0.155442953389537;	0.158621887802206;	0.161641500104051;	0.165838868259103;	0.169393365299154;	0.173041335002868;	0.176804183352593;	0.180747410083031;	0.184963969968499;	0.189404208590373;	0.193987231427869;	0.198953542074575;	0.204383498661382;	0.209500625799685;	0.214794595718445;	0.220294837545568;	0.226024137928846;	0.232027048531805;	0.238279189666420;	0.244793345347506;	0.251764966475607;	0.258951857944784;	0.265702729804619;	0.272936645864542;	0.279461961835644;	0.286232561521374;	0.293216832625653;	0.300367917338263;	0.307641441565395;	0.315046424091623;	0.322642114403040;	0.330395138451204;	0.338264381369781;	0.346223547692219;	0.354268467926468;	0.362345394743779;	0.370579595979775;	0.378862143423070;	0.387056480723119;	0.395451878366196;	0.404077828408495;	0.412815663072481;	0.423511126145503;	0.443098381592577;	0.744785983116805;	0.102095239403118;	0.160592944578928;	0.242673174865455;	0.354559697171940;	0.461628420187080;	0.369968647604797;	0.033537273170080;	0.128011135604555;	0.339175657396440;	0.600308080160289;	0.990554327587555;	-0.897849807481011;	0.065687443799034;	0.413589557263016;	0.818467567669839;	0.529645325817219;	-0.381726119635756;	0.226848389968000;	0.602814610491872;	-0.691617174319014;	0.229071952438502;	0.445426196424276;	0.984377911293450;	0.025233333860921;	0.346097009483137;	0.662675477390457;	-0.258083587166282;	0.186483757477443;	0.280083430867419;	0.328706056984964;	0.361090837853036;	0.386159045932755;	0.406218695526292;	0.422962418744202;	0.437372013793406;	0.450181642036056;	0.461286557187263;	0.470978829833028;	0.479622888644285;	0.487487390726915;	0.494651099968454;	0.501303833468504;	0.507468269432398;	0.513215124153648;	0.517916275660613;	0.520042904204397;	0.522037939484543;	0.540127903178713;	0.611664816873060;	0.892562730628599;	-0.982885720959418;	0.311106575384077;	0.641401633800789;	-0.086304510024844;	0.495135400915195;	10.767273975673987;	0.397466376988958;	1.050433249764876;	0.295505984433739;	0.707359515671978;	0.133009364326767;	0.572050536569066;	-0.369110550385835;	0.489925610631090;	6.492400238444584;	0.414677345093380;	1.059740186691245;	0.323962314733613;	0.683785090158471;	0.146678670562460;	0.468400070432374;	0.927457803880509;	0.300440226356253;	0.439407353900601;	0.495966768214661;	0.546608539039175;	0.641903474276689;	0.574595568102990
0.501172850770903;	0.176628907702582;	0.162952325425502;	0.154690669118577;	0.147800171691633;	0.142727198742350;	0.137903477717305;	0.134471396401662;	0.130427947923271;	0.127370927224214;	0.124235365212340;	0.121647431328118;	0.119447637655111;	0.117421966931792;	0.114933771867971;	0.112926131656521;	0.110934522554775;	0.109764192458908;	0.107907906513384;	0.106458814698526;	0.105128872299675;	0.103798852381295;	0.102959102822121;	0.101239689535412;	0.100211374317636;	0.099379875543503;	0.098245553644777;	0.096860709579559;	0.096396633377877;	0.096007665729963;	0.095111376117923;	0.094077911576204;	0.093391947358406;	0.092932683778457;	0.091497581652116;	0.091681433810916;	0.090914118001852;	0.090341231269876;	0.089719404179894;	0.089651049259486;	0.088609979127347;	0.088863393671611;	0.088007272710823;	0.087669007121783;	0.087720226337450;	0.086976673217387;	0.086964442812306;	0.087047437242491;	0.086040079879876;	0.086465848947976;	0.086526436845322;	0.085194678432945;	0.086255938670338;	0.085814465220760;	0.084971568942427;	0.085773433432217;	0.085621942892032;	0.084935453120679;	0.085692064904585;	0.085500639819155;	0.085111630485584;	0.085883641045128;	0.085587977168725;	0.085419088067989;	0.086235160290293;	0.085937571556475;	0.085946386837478;	0.086658666154381;	0.086548729896585;	0.086479118659654;	0.087229930403943;	0.087398833888869;	0.087212244392806;	0.088123429081891;	0.088376164610209;	0.088025128275034;	0.089206809600809;	0.089482528663794;	0.089302002244239;	0.090288683002166;	0.090902583002925;	0.091109857796648;	0.091419332218616;	0.092509381096053;	0.093031750428794;	0.093053546374522;	0.094296233688022;	0.095033089365871;	0.095469893306669;	0.095889627059686;	0.097321090338936;	0.098071912273743;	0.098583099263317;	0.099517650117318;	0.100865977995792;	0.101664394988230;	0.102345959743890;	0.103459904699475;	0.104909935118489;	0.106027823443894;	0.106957273658032;	0.107926262966126;	0.109790503587204;	0.111017199960917;	0.112279563342623;	0.113203793525277;	0.115084181786657;	0.116774242963964;	0.118300786048983;	0.119824323059900;	0.121061164711036;	0.123393348582551;	0.125358331635694;	0.127226781423727;	0.129103958934819;	0.130889120880460;	0.132920834743109;	0.135676014437797;	0.137937756202531;	0.140353745174895;	0.142812792762944;	0.145255509359947;	0.147711597885299;	0.151165256070324;	0.154075769390907;	0.157139013225926;	0.160274799256474;	0.163536340083583;	0.166856067698029;	0.170015195972914;	0.174420600995133;	0.178188937960314;	0.182139658816632;	0.186243948671330;	0.190541968183628;	0.195090711581723;	0.199704234433960;	0.204294333833775;	0.209284452647862;	0.214822911096213;	0.219976575882443;	0.225203512390388;	0.230669241871410;	0.236379209475737;	0.242561553587824;	0.248906579077104;	0.255271245508102;	0.261617645830505;	0.268190961337992;	0.274734904100230;	0.282153757227686;	0.288932501612550;	0.295840377273123;	0.302922680560326;	0.310151293287550;	0.317559665464656;	0.325130648839511;	0.332833752028171;	0.340838559015935;	0.349049884834023;	0.357511854631666;	0.366093721245372;	0.374772699616750;	0.383309391044117;	0.391781263141951;	0.400219760787015;	0.408572083079554;	0.417010005567943;	0.425521017281882;	0.435975028426983;	0.455874656115997;	0.767073688127268;	0.105591795201558;	0.165773663776427;	0.249188107673487;	0.362522091238111;	0.470829006067748;	0.376573312480214;	0.036280715630577;	0.133318195619095;	0.347496052160687;	0.611003813889066;	0.998155804895942;	-0.907826238285308;	0.071468611765225;	0.422927687303364;	0.829904315465992;	0.565812187876341;	-0.381131867175913;	0.234198714837453;	0.613022552218223;	-0.692246980604042;	0.235421288622732;	0.452946726116731;	0.995053976202686;	0.029769988784870;	0.352437301740404;	0.671070344658671;	-0.256553310013275;	0.191337788131523;	0.285579446928005;	0.334604863626864;	0.367197483248848;	0.392199535191867;	0.412075721035206;	0.428731578249297;	0.443045760470795;	0.455316275258688;	0.466089952965466;	0.475564090530806;	0.484121347633469;	0.492035739940150;	0.499265383099502;	0.506025213903037;	0.512455422850264;	0.518244149027704;	0.522566584203254;	0.524423722714570;	0.526194155096019;	0.544045814957320;	0.615205986741574;	0.893764101357006;	-0.979230960024405;	0.316092593845180;	0.646119581328703;	-0.080733573070925;	0.499614970404277;	10.757228571164761;	0.401454560594724;	1.053288992942100;	0.299594652265141;	0.710913204576464;	0.137615405762798;	0.575997837486998;	-0.363727494646451;	0.493572155341935;	6.486734166038264;	0.418286846594446;	1.062520634503074;	0.327756235301150;	0.687267648709335;	0.150090763123400;	0.471304451778550;	0.929908776719948;	0.303159048864851;	0.442038681065977;	0.498539527342542;	0.548823335900065;	0.643689016251501;	0.576408389965245
0.522256188536303;	0.190252081107335;	0.175397875265749;	0.166287913092365;	0.158725362965580;	0.153199286498221;	0.148038588555242;	0.144429291046592;	0.140131601808179;	0.136754758995882;	0.133315130663495;	0.130501337921257;	0.128086015086140;	0.125810383700032;	0.123038499015370;	0.120807914387907;	0.118632628983067;	0.117336188913191;	0.115300816832339;	0.113688859425859;	0.112193732683223;	0.110715704273402;	0.109778687051290;	0.107941994084927;	0.106919436372986;	0.106122243296736;	0.104937791420940;	0.103475696137592;	0.102959334123851;	0.102557184780979;	0.101645898326445;	0.100644173501217;	0.100035875394114;	0.099680980344794;	0.098175888391102;	0.098394955429973;	0.097568220086379;	0.096887127183558;	0.096230639486697;	0.096197539391862;	0.095061946747902;	0.095352269978753;	0.094423970789437;	0.094012171588327;	0.094008390030575;	0.093139548253348;	0.093027863748172;	0.093040982002814;	0.091909676520968;	0.092317073749412;	0.092336727371135;	0.090892431981234;	0.092012956121401;	0.091504631353568;	0.090570589527651;	0.091392605773520;	0.091183871895480;	0.090394827111563;	0.091136687177251;	0.090881224727611;	0.090402891361929;	0.091161424599559;	0.090790275520224;	0.090538681392963;	0.091325616580900;	0.090934960096443;	0.090892620666162;	0.091602924595228;	0.091446565324811;	0.091328967712376;	0.092088868889627;	0.092242604081722;	0.092035865391448;	0.092989788065293;	0.093254786551762;	0.092881756727387;	0.094124279093072;	0.094399350432447;	0.094201017241395;	0.095245317003262;	0.095886951637875;	0.096087133510938;	0.096394981908733;	0.097531378974336;	0.098067998999880;	0.098083928415419;	0.099384634796018;	0.100148428984982;	0.100598605648909;	0.101031007575580;	0.102529324663901;	0.103305008931676;	0.103804220572182;	0.104747985061014;	0.106125776988758;	0.106926990552081;	0.107609598776643;	0.108746533953811;	0.110234527035659;	0.111375076762586;	0.112320206740796;	0.113307078609450;	0.115257447936753;	0.116547784280805;	0.117869834449355;	0.118832932825661;	0.120798916134379;	0.122559561673426;	0.124167328724148;	0.125784041158816;	0.127077279772971;	0.129486067645408;	0.131514007336351;	0.133501917379500;	0.135506247946719;	0.137418836319753;	0.139614365706018;	0.142548843681236;	0.144959790128939;	0.147497039478362;	0.150082485732125;	0.152671711254171;	0.155284690177684;	0.158938498826900;	0.161878427413307;	0.164909103989935;	0.168014594584130;	0.171249489159936;	0.174601545951619;	0.177817515663145;	0.182357951909607;	0.186228275558779;	0.190256953349422;	0.194423248520764;	0.198751206870610;	0.203264176280970;	0.207828667668160;	0.212459437771500;	0.217510448427602;	0.223122941611146;	0.228358085596940;	0.233793203990654;	0.239554774468751;	0.245483406451280;	0.251359902484996;	0.257412070956095;	0.263638018284965;	0.270041306903348;	0.276641613695117;	0.283318200607932;	0.290986331894025;	0.298067309704847;	0.305330691020172;	0.312750494572598;	0.320313328151057;	0.328026713210088;	0.335989944245945;	0.344207986810809;	0.352494844219122;	0.360861424512579;	0.369168898706961;	0.377524855901922;	0.385894545177309;	0.394266206016797;	0.402615035135037;	0.410817471394930;	0.419066035479404;	0.427516533932113;	0.436077279023627;	0.446703551606261;	0.467167234415093;	0.786730694112434;	0.108740553063543;	0.170686256845274;	0.255549504433346;	0.370615677049023;	0.480127003666355;	0.383516108691905;	0.039667713463377;	0.139504312186719;	0.356390422254686;	0.621549677336651;	1.004713920644195;	-0.916448664298084;	0.076897976564942;	0.431116997278476;	0.839387900974949;	0.594203727177388;	-0.380686313066454;	0.240229502220318;	0.621696135076495;	-0.693068814190172;	0.241240031166168;	0.460299152967646;	1.005709456195490;	0.034551367329496;	0.359257720276967;	0.680104341923903;	-0.254994120763916;	0.195932252256357;	0.290439166461259;	0.339470963320014;	0.372038193952113;	0.397103918883183;	0.416993450972442;	0.433480879281683;	0.447684598018859;	0.459908689246294;	0.470725340934462;	0.480332044556489;	0.488941728535408;	0.496624261961872;	0.503622846456616;	0.510181198888364;	0.516366277045420;	0.521908506471513;	0.526141904054975;	0.527982443762206;	0.529867943612090;	0.547853774186818;	0.618980416533766;	0.895114081650837;	-0.975830117868187;	0.320153358282839;	0.649725416366314;	-0.076551526518285;	0.503231544836124;	10.748184861798160;	0.405486232343683;	1.056375514730481;	0.303742709232666;	0.714023500175821;	0.141422348355902;	0.578937561041698;	-0.359194767696259;	0.496957337813664;	6.478464002897597;	0.422088807659787;	1.064911301093445;	0.331143979400373;	0.689961172480521;	0.153399217846718;	0.474443983156765;	0.932720466217236;	0.306253451058943;	0.444744708398068;	0.500861519196186;	0.551109094440701;	0.645873743791699;	0.578672646913892
