128.000000000000000;	130.000000000000000;	2.000000000000000;
130.000000000000000;	133.000000000000000;	10.000000000000000;
133.000000000000000;	169.000000000000000;	184.000000000000000;
171.000000000000000;	183.000000000000000;	184.000000000000000;
183.000000000000000;	183.000000000000000;	184.000000000000000;
183.000000000000000;	183.000000000000000;	184.000000000000000;
183.000000000000000;	183.000000000000000;	184.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
183.000000000000000;	183.000000000000000;	183.000000000000000;
7.000000000000000;	7.000000000000000;	183.000000000000000;
6.000000000000000;	7.000000000000000;	183.000000000000000;
6.000000000000000;	6.000000000000000;	183.000000000000000;
6.000000000000000;	6.000000000000000;	183.000000000000000;
3.000000000000000;	4.000000000000000;	183.000000000000000;
3.000000000000000;	3.000000000000000;	183.000000000000000;
3.000000000000000;	3.000000000000000;	183.000000000000000;
2.000000000000000;	3.000000000000000;	182.000000000000000;
2.000000000000000;	2.000000000000000;	182.000000000000000;
2.000000000000000;	2.000000000000000;	182.000000000000000;
2.000000000000000;	2.000000000000000;	11.000000000000000;
2.000000000000000;	2.000000000000000;	6.000000000000000;
1.000000000000000;	2.000000000000000;	7.000000000000000;
1.000000000000000;	1.000000000000000;	6.000000000000000;
1.000000000000000;	1.000000000000000;	7.000000000000000;
1.000000000000000;	1.000000000000000;	6.000000000000000;
1.000000000000000;	1.000000000000000;	6.000000000000000;
1.000000000000000;	1.000000000000000;	6.000000000000000;
1.000000000000000;	1.000000000000000;	6.000000000000000;
1.000000000000000;	1.000000000000000;	5.000000000000000;
1.000000000000000;	1.000000000000000;	5.000000000000000;
1.000000000000000;	1.000000000000000;	5.000000000000000;
1.000000000000000;	1.000000000000000;	5.000000000000000;
1.000000000000000;	1.000000000000000;	5.000000000000000;
