0.000000543213107;	0.000000119317046;	0.000000109700208;	0.000000103132836;	0.000000099767428;	0.000000095923874;	0.000000093688248;	0.000000090842311;	0.000000089364920;	0.000000087177606;	0.000000085868056;	0.000000084177637;	0.000000082702708;	0.000000081280128;	0.000000080287575;	0.000000079230866;	0.000000163991961;	0.000000421469173;	0.000000160898810;	0.002231782669484;	0.005305012490507;	0.002024375647229;	0.005196480135417;	0.003665653221738;	0.005346281651927;	0.004331739635314;	0.005299045308746;	0.005116199962881;	0.005127950784047;	0.007102760099398;	0.000944294915220;	0.000000059638828;	0.000000058538088;	0.000000057831676;	0.000000057684393;	0.000000055482523;	0.000000054825601;	0.000000054290614;	0.000000053603748;	0.000000052799921;	0.000000052300813;	0.000000050941655;	0.000000050623720;	0.000000050328206;	0.000000049158836;	0.000000048849186;	0.000000048065154;	0.000000047361505;	0.000000047415657;	0.000000046101754;	0.000000045690994;	0.000000045912239;	0.000000044468055;	0.000000044266310;	0.000000044377502;	0.000000043168417;	0.000000042838575;	0.000000042928542;	0.000000041848498;	0.000000041701566;	0.000000041613590;	0.000000040683854;	0.000000040646307;	0.000000040429453;	0.000000039654250;	0.000000039624784;	0.000000039387216;	0.000000038744432;	0.000000038667522;	0.000000038545954;	0.000000037959294;	0.000000037750427;	0.000000037756209;	0.000000037193933;	0.000000037035885;	0.000000037165753;	0.000000036560055;	0.000000036439351;	0.000000036538322;	0.000000036116452;	0.000000035908124;	0.000000035890662;	0.000000035869836;	0.000000035512455;	0.000000035446135;	0.000000035580129;	0.000000035266264;	0.000000035184633;	0.000000035218813;	0.000000035297541;	0.000000035003938;	0.000000034982314;	0.000000035053661;	0.000000035001397;	0.000000034861571;	0.000000034926518;	0.000000035043025;	0.000000035026143;	0.000000034946385;	0.000000034997531;	0.000000035122245;	0.000000035252382;	0.000000035148908;	0.000000035266072;	0.000000035383314;	0.000000035616311;	0.000000035617476;	0.000000035698887;	0.000000035845666;	0.000000036018481;	0.000000036299199;	0.000000036333930;	0.000000036485355;	0.000000036694610;	0.000000036917170;	0.000000037188402;	0.000000037419848;	0.000000037535259;	0.000000037790525;	0.000000038049968;	0.000000038322675;	0.000000038630208;	0.000000038944205;	0.000000039100311;	0.000000039403171;	0.000000039701622;	0.000000040015670;	0.000000040323170;	0.000000040659737;	0.000000041034797;	0.000000041248241;	0.000000041587766;	0.000000041941113;	0.000000042295616;	0.000000042650402;	0.000000042990865;	0.000000043355923;	0.000000043741015;	0.000000044109986;	0.000000044436128;	0.000000044838149;	0.000000045250958;	0.000000045664474;	0.000000046080790;	0.000000046488332;	0.000007252840049;	0.000050130710994;	0.000096838690340;	0.000147818339098;	0.000203439290249;	0.000263591781322;	0.000329145976098;	0.000399436472289;	0.000476189026502;	0.000560191954627;	0.000652062008178;	0.000887123978389;	0.001140121555565;	0.001403036021255;	0.001676341488947;	0.001960503876288;	0.002254782954971;	0.002559303416739;	0.002876965589238;	0.003205319800342;	0.003544626973770;	0.003895056774268;	0.004256153796736;	0.004623381588955;	0.004961144102670;	0.005088267571289;	0.004260389992736;	0.023009968932563;	0.008072950526567;	0.009766988545148;	0.011677766229289;	0.013248646753119;	0.013512742482070;	0.000363348118439;	0.005968171748731;	0.012428201886315;	0.016462460412154;	0.023840209399277;	0.024982369362432;	-0.000173523337088;	0.015226798292332;	0.022176505111151;	0.001221938809151;	0.061733450246236;	0.010660257137184;	0.020338612106901;	0.055305562458210;	0.012157744921908;	0.020112940834546;	0.028838111277172;	-0.005343561878864;	0.018325462513445;	0.026338611082526;	-0.735232614354999;	0.012554415593624;	0.018262067618993;	0.021004135026816;	0.022944633469628;	0.024493467164047;	0.025849922225605;	0.027117405848438;	0.028335841712446;	0.029509000348122;	0.030603594326094;	0.031658936832691;	0.032785569192668;	0.036541717325290;	0.040731545289258;	0.045026937836189;	0.055131134096364;	0.069398370744764;	0.084200433571191;	0.099097189509604;	0.114070505430314;	0.132494690423907;	0.165652365734668;	0.282662009151824;	3.845191327515507;	0.097802924676004;	0.229318571259219;	-0.175096334068732;	0.206761472998997;	0.861392726513498;	0.183186542678249;	0.461011104332806;	0.139413197324064;	0.381739566784828;	0.020476566177978;	0.346988638148729;	-0.690980646519740;	0.322922985064134;	1.399733420087500;	0.291395141832801;	0.695238651200358;	0.235149841084603;	0.514085214244841;	0.070805595820617;	0.371807751836766;	0.681266962470142;	0.236075451577546;	0.361708280680230;	0.411396042980610;	0.455672249324781;	0.536010140796532;	0.484109507161843
0.000000616398955;	0.000000145294989;	0.000000132664436;	0.000000124101988;	0.000000119579473;	0.000000114597482;	0.000000111617112;	0.000000107967497;	0.000000105984985;	0.000000103174004;	0.000000101424525;	0.000000099249317;	0.000000097347440;	0.000000095518351;	0.000000094203853;	0.000000092835294;	0.000000177305700;	0.000000434406244;	0.000000173597691;	0.002231794932194;	0.005305024277304;	0.002024387522571;	0.005196491453048;	0.003665664558697;	0.005346292689789;	0.004331750516374;	0.005299055965143;	0.005116210560691;	0.005127961147541;	0.010850638774402;	0.005912728919006;	0.000149244713972;	0.000000067843141;	0.000000067003154;	0.000000066810025;	0.000000064238199;	0.000000063447687;	0.000000062797433;	0.000000061974920;	0.000000061011822;	0.000000060404897;	0.000000058808587;	0.000000058412305;	0.000000058046057;	0.000000056675161;	0.000000056293359;	0.000000055366311;	0.000000054532854;	0.000000054573384;	0.000000053038109;	0.000000052544999;	0.000000052781257;	0.000000051100430;	0.000000050850201;	0.000000050961589;	0.000000049555303;	0.000000049157831;	0.000000049242154;	0.000000047984627;	0.000000047796099;	0.000000047676534;	0.000000046595398;	0.000000046536935;	0.000000046273145;	0.000000045373373;	0.000000045329343;	0.000000045050149;	0.000000044309882;	0.000000044217014;	0.000000044073301;	0.000000043398464;	0.000000043154858;	0.000000043155543;	0.000000042508038;	0.000000042322519;	0.000000042466382;	0.000000041769441;	0.000000041628036;	0.000000041739159;	0.000000041252292;	0.000000040992736;	0.000000040950160;	0.000000040903108;	0.000000040472856;	0.000000040374888;	0.000000040503616;	0.000000040122135;	0.000000040005134;	0.000000040019345;	0.000000040083325;	0.000000039727220;	0.000000039692190;	0.000000039765293;	0.000000039694363;	0.000000039517267;	0.000000039572132;	0.000000039684877;	0.000000039645941;	0.000000039535469;	0.000000039572448;	0.000000039692136;	0.000000039817145;	0.000000039676925;	0.000000039784645;	0.000000039892023;	0.000000040129098;	0.000000040104208;	0.000000040169315;	0.000000040305336;	0.000000040461964;	0.000000040739023;	0.000000040741789;	0.000000040874039;	0.000000041063801;	0.000000041266574;	0.000000041521824;	0.000000041728949;	0.000000041808073;	0.000000042042997;	0.000000042285571;	0.000000042542042;	0.000000042835454;	0.000000043134502;	0.000000043259410;	0.000000043560709;	0.000000043879019;	0.000000044225582;	0.000000044562685;	0.000000044923337;	0.000008127268829;	0.000048154492699;	0.000089347697512;	0.000131661069302;	0.000175208620163;	0.000219990335849;	0.000265678673790;	0.000312744749178;	0.000361243142242;	0.000410684451821;	0.000460915329018;	0.000513275859222;	0.000574636328976;	0.000669426236570;	0.000777030784974;	0.000899744387076;	0.001034549720945;	0.001154682153129;	0.001290000269547;	0.001444460103194;	0.001622306747279;	0.001826339399289;	0.002069982342607;	0.002559821129543;	0.003113406650769;	0.003686559754787;	0.004278883780480;	0.004430115307475;	0.004558116059018;	0.004685194008970;	0.004814986456758;	0.004949244869523;	0.005084251403808;	0.005220772633366;	0.005367859230519;	0.005516166987076;	0.005667206573780;	0.005820808947724;	0.005977192894380;	0.006130537625776;	0.006216262953741;	0.006058671801685;	0.004887679603983;	0.026149109581098;	0.009246771649488;	0.011014363312935;	0.013020246161569;	0.014663442293279;	0.014926575329185;	0.000946285035812;	0.007034134452080;	0.014428288368312;	0.019135580701539;	0.027815201059255;	0.028657363870517;	-0.000268763964930;	0.017378807706771;	0.025224355737165;	0.001371534798598;	0.069286473891032;	0.012097842765307;	0.022755358447884;	0.061037755040552;	0.013690110116793;	0.022302673381404;	0.031658374527936;	-0.005197216876120;	0.020187854276370;	0.028659255528070;	-0.780089462066141;	0.013857155626312;	0.019828583068372;	0.022642938628331;	0.024632210986467;	0.026235968843724;	0.027630369393322;	0.028910505138493;	0.031642457599022;	0.038870093065580;	0.046412452039001;	0.054528705055052;	0.069816209807686;	0.086920441813575;	0.115713370249097;	0.228734467241836;	0.294287858962184;	0.307546031743267;	0.319092684726113;	0.328327771706294;	0.336223139233196;	0.352519496931247;	0.402821706099456;	0.633076209813504;	7.954420445969355;	0.189596400350608;	0.415629548119317;	-0.290283987357785;	0.336747920673906;	1.312101674770154;	0.272753622361884;	0.645136942389713;	0.194420958452944;	0.496203952815050;	0.036603687375173;	0.422179875152033;	-0.779338190380830;	0.371247640488662;	1.523348120090013;	0.319041792430704;	0.724563964761707;	0.248038467331632;	0.525793307682582;	0.082842678593233;	0.382715601595568;	0.690952989410280;	0.246116909181298;	0.371491479415031;	0.420679106462142;	0.464203780896436;	0.543797478840196;	0.492520451350077
0.000000661172700;	0.000000162853147;	0.000000148509449;	0.000000138883551;	0.000000133790854;	0.000000128177535;	0.000000124798907;	0.000000120670765;	0.000000118409930;	0.000000115283715;	0.000000113354107;	0.000000110938726;	0.000000108826032;	0.000000106807126;	0.000000105374593;	0.000000103851751;	0.000000188159717;	0.000000445011535;	0.000000184045935;	0.002231804961104;	0.005305033859831;	0.002024397131436;	0.005196500558293;	0.003665673625789;	0.005346301456143;	0.004331759092656;	0.005299064303148;	0.005116218802258;	0.005127969181078;	0.011058443773199;	0.012052406390244;	0.006715728203524;	0.000751270256094;	0.000000073991323;	0.000000073721080;	0.000000070831164;	0.000000069934003;	0.000000069195956;	0.000000068265722;	0.000000067197112;	0.000000066514787;	0.000000064738311;	0.000000064291601;	0.000000063870221;	0.000000062339146;	0.000000061904182;	0.000000060868816;	0.000000059937048;	0.000000059964374;	0.000000058265503;	0.000000057707213;	0.000000057944922;	0.000000056085960;	0.000000055793314;	0.000000055893211;	0.000000054333717;	0.000000053883969;	0.000000053962712;	0.000000052571940;	0.000000052356181;	0.000000052213294;	0.000000051012566;	0.000000050930897;	0.000000050624944;	0.000000049617937;	0.000000049542408;	0.000000049203993;	0.000000048357983;	0.000000048219037;	0.000000048024426;	0.000000047250682;	0.000000046948921;	0.000000046915442;	0.000000046175707;	0.000000045938601;	0.000000046058277;	0.000000045267218;	0.000000045076074;	0.000000045155095;	0.000000044589115;	0.000000044283361;	0.000000044213677;	0.000000044139967;	0.000000043651527;	0.000000043520422;	0.000000043635824;	0.000000043201982;	0.000000043052399;	0.000000043044189;	0.000000043090338;	0.000000042688590;	0.000000042633500;	0.000000042688072;	0.000000042595768;	0.000000042404429;	0.000000042461704;	0.000000042581200;	0.000000042538549;	0.000000042419439;	0.000000042459220;	0.000000042587713;	0.000000042722626;	0.000000042573861;	0.000000042692276;	0.000000042810013;	0.000000043067330;	0.000000043043596;	0.000000043115990;	0.000000043267707;	0.000021993264388;	0.000047538160825;	0.000073415627437;	0.000100087602408;	0.000127608111397;	0.000155942304908;	0.000185310278931;	0.000215274786002;	0.000245237740401;	0.000276907351155;	0.000309507800765;	0.000343163353856;	0.000377942606767;	0.000413785261054;	0.000448845039946;	0.000486492677093;	0.000527563716175;	0.000571231538736;	0.000616009820515;	0.000662421618234;	0.000704462637952;	0.000722290463785;	0.000746360460095;	0.000775022023484;	0.000808359692476;	0.000846616689469;	0.000889520748491;	0.000938228974145;	0.000992902998125;	0.001078556429460;	0.001185372008202;	0.001308683125716;	0.001445823371268;	0.001584842514654;	0.001739814320035;	0.001912663203543;	0.002102947346600;	0.002296379685381;	0.002515666302642;	0.002769763931151;	0.003183647892464;	0.003682812056870;	0.004166595115661;	0.004350244352514;	0.004477388584400;	0.004603593692194;	0.004732084656725;	0.004858941486346;	0.004991079857563;	0.005122701263406;	0.005258568860318;	0.005400824564621;	0.005543435223126;	0.005688130333556;	0.005821345129409;	0.005958462378759;	0.006102669387408;	0.006252581503684;	0.006404857439655;	0.006552999767844;	0.006634592372287;	0.006470538523729;	0.005251985655351;	0.028018450840025;	0.009985831376419;	0.011824295790764;	0.013886872368918;	0.015596147156070;	0.015881570149107;	0.001196120471231;	0.007520901096452;	0.015155387573414;	0.019958023847145;	0.028773024013690;	0.029885419077601;	0.000241996529936;	0.018297426991198;	0.026275986075493;	0.002233964155787;	0.071237998679000;	0.012814038086763;	0.023682789974937;	0.062804076795829;	0.014407725725734;	0.023215960752752;	0.032773564863384;	-0.004819476943317;	0.021065811683167;	0.029710011484693;	-0.796486092802313;	0.014566383448442;	0.020643547562481;	0.023496912950823;	0.026990947830202;	0.034012777563802;	0.041309621567809;	0.048973427345713;	0.056101352157889;	0.061856742754026;	0.070419913141524;	0.088134884250823;	0.112539575841479;	0.147386596278436;	0.248896463886923;	0.291118269067686;	0.305497625425915;	0.318095675774014;	0.329196795220038;	0.337523824867772;	0.344402940101249;	0.359981845362848;	0.409775202796337;	0.637904261009263;	8.007789989601102;	0.196867416112052;	0.422455329721138;	-0.284224431728485;	0.343215459899810;	1.318540655268221;	0.279167932540389;	0.650783699546549;	0.200049275206174;	0.501247915334954;	0.041829421798805;	0.427346679407294;	-0.772896139312945;	0.375703021350198;	1.526299937096680;	0.323466045150339;	0.728440848390974;	0.252237152552875;	0.529352584391657;	0.086490265669956;	0.386210393376884;	0.694407852653013;	0.249601696372133;	0.374308197569854;	0.423415432814746;	0.467029264952359;	0.546156281742284;	0.494713792684421
0.000000701882502;	0.000000180897172;	0.000000164505082;	0.000000153349471;	0.000000147349604;	0.000000140893314;	0.000000136973568;	0.000000132283931;	0.000000129671523;	0.000000126040026;	0.000000123725713;	0.000000120918546;	0.000000118463773;	0.000000116106557;	0.000000114382740;	0.000000112617865;	0.000000196719551;	0.000000453322007;	0.000000192204545;	0.002231812861299;	0.005305041473393;	0.002024404810946;	0.005196507894342;	0.003665680993463;	0.005346308658681;	0.004331766227555;	0.005299071321301;	0.005116225802654;	0.005127976023611;	0.011058450211940;	0.012351250615931;	0.011642499541455;	0.009561318633037;	0.001863274369007;	0.000000557239708;	0.000000076669876;	0.000000075670355;	0.000000074834917;	0.000000073802681;	0.000000072600285;	0.000000071823368;	0.000000069877675;	0.000000069355096;	0.000000068870360;	0.000000067197008;	0.000000066693638;	0.000000065544095;	0.000000064508646;	0.000000064510349;	0.000000062649006;	0.000000062022903;	0.000000062262399;	0.000000060239320;	0.000000059904046;	0.000000059997150;	0.000000058302457;	0.000000057793263;	0.000000057849219;	0.000000056328748;	0.000000056063678;	0.000000055879316;	0.000000054571658;	0.000000054463200;	0.000000054112361;	0.000000053020612;	0.000000052931714;	0.000000052573839;	0.000000051681703;	0.000000051545290;	0.000000051349045;	0.000000050536190;	0.000000050225987;	0.000000050200697;	0.000000049422998;	0.000000049183386;	0.000000049326641;	0.000000048492687;	0.000000048303655;	0.000007419971359;	0.000024178219283;	0.000040906514038;	0.000057916844711;	0.000075075437275;	0.000091490833688;	0.000108635856789;	0.000126634511036;	0.000143141903941;	0.000160605391361;	0.000178787723406;	0.000197461771032;	0.000214036574506;	0.000232153069100;	0.000251129910470;	0.000269430567528;	0.000287150371870;	0.000306755471934;	0.000327164098454;	0.000346638269808;	0.000365688180361;	0.000386362481434;	0.000408232805095;	0.000430610125429;	0.000450442387323;	0.000476198279994;	0.000502468315691;	0.000530965323251;	0.000556522377196;	0.000583736053102;	0.000612499395664;	0.000621070206659;	0.000628840912496;	0.000632386758977;	0.000637959297373;	0.000644517681152;	0.000651324432305;	0.000659005649260;	0.000665971218645;	0.000670887949145;	0.000678318320597;	0.000685883543643;	0.000693866935576;	0.000719965370585;	0.000749375205319;	0.000779059230984;	0.000815295977272;	0.000853368524839;	0.000894922059226;	0.000940706141088;	0.000991786029173;	0.001049609507555;	0.001108819649182;	0.001172157255969;	0.001237170965481;	0.001304243926617;	0.001375430040954;	0.001478484853363;	0.001592932574121;	0.001720858042572;	0.001850571564361;	0.001986516172320;	0.002140538923776;	0.002309313518146;	0.002485614091342;	0.002679259473080;	0.002891067637064;	0.003122714782604;	0.003432953583600;	0.003819017482017;	0.004180415328644;	0.004386168494288;	0.004488300300588;	0.004597954703558;	0.004716565773368;	0.004839586797556;	0.004963314935134;	0.005091930906811;	0.005223629954386;	0.005365359049055;	0.005506813725638;	0.005643136534083;	0.005770514398314;	0.005901798999937;	0.006036987062004;	0.006173144142992;	0.006314656777766;	0.006456212447772;	0.006600186231349;	0.006759672183486;	0.006923807182700;	0.007033821684917;	0.006866028832627;	0.005578236667243;	0.029585500288002;	0.010579080357882;	0.012461016594017;	0.014602287021356;	0.016390580183238;	0.017003848942757;	0.001448660470723;	0.008049139462913;	0.015897678902152;	0.020792177746333;	0.029659430796003;	0.030914775864854;	0.000694947973326;	0.019010029121511;	0.027098619242104;	0.002835071279181;	0.073110049781654;	0.013495555084456;	0.024598775627190;	0.064420350557219;	0.015141138819271;	0.024054499226625;	0.033704964226265;	-0.004488823883441;	0.021781405758384;	0.030570193460050;	-0.857025017511903;	0.018465679664816;	0.030184037770830;	0.039029234103556;	0.046207495456362;	0.049571431229159;	0.052949894665494;	0.060097707170422;	0.069922584387750;	0.081484027122568;	0.100264420020489;	0.125389480830575;	0.161902714951579;	0.246529298205828;	0.286023904853479;	0.300691381921372;	0.313946222599093;	0.325876128245304;	0.335620007716270;	0.343441930810521;	0.350146780947426;	0.366129881045421;	0.415554953632481;	0.641335671411604;	8.040575160717028;	0.201863974509950;	0.428350826294595;	-0.278374323070908;	0.348584643227292;	1.322994877250613;	0.284178504854383;	0.656054529299722;	0.205582326684594;	0.506072255397408;	0.046912370240475;	0.431844758096111;	-0.767322332293423;	0.380333688529368;	1.529192110391431;	0.327465745974755;	0.731573170066567;	0.256049941146636;	0.533351772860726;	0.090387224615639;	0.389487873962022;	0.697231639252030;	0.252888461377800;	0.377421599564468;	0.426066858437880;	0.469401460983162;	0.548273712191522;	0.497177586991264
0.000000738407618;	0.000000196321296;	0.000000178207141;	0.000000166014268;	0.000000159408173;	0.000000152283411;	0.000000147881793;	0.000084014080899;	0.000020291357623;	0.000000135730054;	0.000000133236032;	0.000000130187276;	0.000000127519468;	0.000000124992375;	0.000000123169269;	0.000000121247614;	0.000000205168346;	0.000000461520893;	0.000000200236032;	0.002231820593514;	0.005305048887670;	0.002024412275645;	0.005196514985951;	0.003665688060909;	0.005346315465511;	0.004331772849528;	0.005299077742352;	0.005116232140950;	0.005127982221050;	0.011058456048500;	0.012351256337989;	0.011655792186002;	0.012504150523164;	0.010854420778670;	0.004208269184127;	0.000134485881619;	0.000039955181957;	0.000059751518346;	0.000078863744564;	0.000097207445239;	0.000115583545906;	0.000131329302825;	0.000149106310697;	0.000166714028880;	0.000180881020655;	0.000197658546405;	0.000212107953233;	0.000226358166991;	0.000244004394611;	0.000254170849716;	0.000268697722634;	0.000286900221216;	0.000294274802523;	0.000309299192506;	0.000326510362152;	0.000333650222510;	0.000347059174912;	0.000363839236626;	0.000370394627003;	0.000384812043549;	0.000399759946338;	0.000406300357105;	0.000421462128435;	0.000434754726301;	0.000441749013663;	0.000456830922966;	0.000469506526665;	0.000477115702566;	0.000491515350589;	0.000507038572769;	0.000516868256503;	0.000531611378853;	0.000549415482460;	0.000558844387398;	0.000574155128235;	0.000594084025438;	0.000602168532333;	0.000618074570904;	0.000630968167974;	0.000625975076527;	0.000624571794936;	0.000626476713765;	0.000628323442786;	0.000624259165605;	0.000625295261759;	0.000629868967533;	0.000626505988321;	0.000627253221205;	0.000630066345212;	0.000633684473314;	0.000630632627404;	0.000632580614398;	0.000636266059495;	0.000637690698408;	0.000637445040490;	0.000640954153133;	0.000645904230007;	0.000649591683338;	0.000652132000423;	0.000657145251102;	0.000663598115832;	0.000670220003627;	0.000672428076001;	0.000676108106694;	0.000679798671414;	0.000685751609138;	0.000687274129618;	0.000690371960731;	0.000694755421973;	0.000707977068828;	0.000726253467288;	0.000741634811268;	0.000761452542673;	0.000784773797947;	0.000810819741483;	0.000840564992886;	0.000878294340299;	0.000927348456668;	0.000981265877578;	0.001036838222343;	0.001094296153723;	0.001140507410550;	0.001187667778390;	0.001230939028776;	0.001280073959430;	0.001331079578276;	0.001384678423144;	0.001440506967255;	0.001500303026744;	0.001564083903576;	0.001622527367712;	0.001696879661520;	0.001800017836309;	0.001913530022755;	0.002038321591189;	0.002161546944329;	0.002296893330137;	0.002445339017197;	0.002598104499938;	0.002757517645441;	0.002935115012850;	0.003126299219746;	0.003327441122749;	0.003543699718850;	0.003880679559491;	0.004197172930310;	0.004401363845631;	0.004501505279439;	0.004604351194258;	0.004714083283789;	0.004818256198780;	0.004931872271622;	0.005055241320161;	0.005184613268559;	0.005314906743585;	0.005453059772478;	0.005589564603359;	0.005708506261909;	0.005828128646750;	0.005951841110952;	0.006078282476075;	0.006209354671582;	0.006346342522858;	0.006484108506578;	0.006626000754716;	0.006789333172336;	0.006963016016668;	0.007126813013281;	0.007281226106666;	0.007369891009017;	0.007192078125945;	0.005873023152884;	0.031051693993284;	0.011137804299911;	0.013060439134459;	0.015274332097652;	0.017291912651224;	0.017787364295032;	0.001718815353326;	0.008525915771526;	0.016507149282885;	0.021445259860189;	0.030355944094724;	0.031803747662814;	0.001065704085485;	0.019688249454296;	0.027899549195162;	0.003494028655175;	0.074638122430848;	0.014104361902414;	0.025304697799542;	0.065592953177650;	0.015686664770421;	0.024733186666936;	0.036093623885857;	-0.006191356841066;	0.031271235964517;	0.050101181765892;	-1.503614969773519;	0.026469293460194;	0.038375551314901;	0.044265599493049;	0.048914953555099;	0.056075671094805;	0.067667697886635;	0.077847183183032;	0.089374168027949;	0.107732280690923;	0.132895733116011;	0.167588244283018;	0.238550431983173;	0.280149081878245;	0.294908690848366;	0.308422752761452;	0.320880711279098;	0.331501963405343;	0.341110014834650;	0.348723358079124;	0.355838233414202;	0.371002287211732;	0.420128216548712;	0.643968979710525;	8.069347497051806;	0.207059663927844;	0.433033653366811;	-0.274022658735485;	0.352605920828532;	1.327294670584837;	0.288855394097679;	0.659896578685075;	0.209448358550988;	0.510058012126370;	0.051682286655515;	0.435997014169168;	-0.761891104732760;	0.384065539249259;	1.531616380726302;	0.331525012442977;	0.735347443840003;	0.259910860202633;	0.536439043282143;	0.093888890440422;	0.392922011417081;	0.700093249985835;	0.255835676790104;	0.379935571835641;	0.428797600030749;	0.472098974924840;	0.550520781527675;	0.499281140244348
0.001069962007823;	0.000305986731612;	0.000351499199248;	0.000391472714690;	0.000434335293629;	0.000468693855354;	0.000505779915647;	0.000730444196373;	0.000655721848608;	0.000605303238675;	0.000626177803883;	0.000651593511424;	0.000676625267245;	0.000699898318166;	0.000725400331653;	0.000749071748194;	0.000771677238255;	0.000787442012481;	0.000808982965415;	0.003057102760054;	0.006146854368736;	0.002886993194349;	0.006067299385260;	0.004559644991355;	0.006256947137612;	0.005256712982954;	0.006243687679268;	0.006086834819818;	0.006109920232761;	0.012032816401155;	0.013296900220834;	0.012611142945565;	0.013466123073422;	0.012969535743542;	0.013529582895017;	0.008639877470564;	0.001698104012163;	0.000947410237226;	0.000938364020491;	0.000927127934053;	0.000921163712868;	0.000899944459196;	0.000896989454511;	0.000894406361029;	0.000876217747211;	0.000873237882382;	0.000861710853926;	0.000851533506860;	0.000854944329155;	0.000833595183191;	0.000828498021203;	0.000834866142504;	0.000810848896123;	0.000809417782658;	0.000813720606469;	0.000793731981753;	0.000789813324002;	0.000793617212769;	0.000775735276558;	0.000775599837400;	0.000777788671497;	0.000764174771931;	0.000767230076926;	0.000766871760249;	0.000755856047833;	0.000758998736531;	0.000758152142483;	0.000749439532709;	0.000751595168342;	0.000751237208494;	0.000741165881514;	0.000738418513089;	0.000739838156084;	0.000730098300375;	0.000728250756475;	0.000732049055580;	0.000721321707465;	0.000720125851482;	0.000723252921942;	0.000715997718966;	0.000712759983231;	0.000713293214013;	0.000713748125131;	0.000707483109785;	0.000706991338137;	0.000710489336506;	0.000705028666467;	0.000704188235737;	0.000705652135584;	0.000708909998107;	0.000710595697492;	0.000718867401832;	0.000730011906925;	0.000739609293600;	0.000748374677959;	0.000762603704398;	0.000778711147589;	0.000791927755592;	0.000804888041394;	0.000822114742479;	0.000842475848681;	0.000864477614099;	0.000882231640751;	0.000908020995441;	0.000935716468914;	0.000968545275689;	0.000997166641924;	0.001030074202466;	0.001067108575260;	0.001100718915737;	0.001136265393968;	0.001163246874188;	0.001197479466309;	0.001234749884884;	0.001272904137369;	0.001313369985350;	0.001348145326337;	0.001371243992234;	0.001403187140784;	0.001439375367043;	0.001480485532894;	0.001529971947210;	0.001583065245137;	0.001632914497847;	0.001692322850997;	0.001754568670027;	0.001820696732770;	0.001890085099325;	0.001972045528425;	0.002076928280888;	0.002179756434851;	0.002296192970007;	0.002413945456703;	0.002541296921376;	0.002678529297521;	0.002816582733567;	0.002965259623083;	0.003124793725325;	0.003288927031783;	0.003457700480048;	0.003642260997315;	0.003868862528744;	0.004154626255620;	0.004411606640820;	0.004518015876337;	0.004618514524196;	0.004719109526516;	0.004821618115148;	0.004928587335667;	0.005037949139863;	0.005140871417581;	0.005254269920199;	0.005378217857929;	0.005510078570980;	0.005638569081411;	0.005751464996670;	0.005866934542548;	0.005986048072608;	0.006107204345960;	0.006232205098813;	0.006368028724136;	0.006506266571436;	0.006646450789579;	0.006804464569219;	0.006968061662581;	0.007119834971621;	0.007275670381040;	0.007439495006524;	0.007600257749928;	0.007705722782572;	0.007529796546280;	0.006160117742147;	0.032379609755536;	0.011666959470394;	0.013660369703088;	0.015997912806836;	0.018027533398323;	0.018384301759574;	0.001957702958076;	0.008984721368705;	0.017090367733945;	0.022098240361896;	0.031081054621066;	0.032708062651539;	0.001475621970483;	0.020336324864151;	0.028587692865795;	0.004099335937423;	0.075828849585826;	0.014612493636542;	0.027015562171500;	0.082268774777401;	0.021763917168435;	0.039357085907761;	0.061135013847022;	-0.010146263480302;	0.039767351643158;	0.057055122380442;	-1.550972713946189;	0.027880374158797;	0.041685245775727;	0.051721458891351;	0.062547112706932;	0.072402477126408;	0.081397055776594;	0.093880829202663;	0.111218582847072;	0.135635655953362;	0.168339698053943;	0.226645120548173;	0.273587175970449;	0.288542141588809;	0.302320882820473;	0.315176744685576;	0.326242359743652;	0.336680617559619;	0.346011990788191;	0.353841598604594;	0.360170423673202;	0.375342162561424;	0.424075105138557;	0.646737277365690;	8.092087123353545;	0.211223570994257;	0.437129488319218;	-0.269744724050828;	0.357293720792607;	1.330809452591520;	0.292617913918670;	0.663198252114801;	0.213450684996561;	0.513737238814112;	0.055237293685694;	0.439072024281132;	-0.757213540305646;	0.387711447245786;	1.533975496165578;	0.334834059475792;	0.738324103788644;	0.263431855555029;	0.539813072862206;	0.097515345360540;	0.395844782339628;	0.702520292660152;	0.258834256661407;	0.382913269217097;	0.431454438170572;	0.474444958162760;	0.552832480705199;	0.501984580347312
