0.028110599056097;	0.022289357799074;	0.014993189502389;	0.016390646901189;
0.028644050112818;	0.022910152694364;	0.015543228902750;	0.016873029416517;
0.028871699405349;	0.022931770312763;	0.015662680045535;	0.017035859621265;
0.027636228439720;	0.022418973756780;	0.015463524425457;	0.017116656155428;
0.028197749035984;	0.022903291134247;	0.015865549797085;	0.017432556658046;
0.028723946336031;	0.023163352876871;	0.016193311537728;	0.017879940169852;
0.027697650790649;	0.023132266789861;	0.016268765452800;	0.018180927417491;
0.027810349761912;	0.023182167811777;	0.016402000697362;	0.018367076892012;
0.028702519899275;	0.023505594984328;	0.016745641079448;	0.018784392663295;
0.027277154694314;	0.023374433958832;	0.016844064908999;	0.019028766819864;
0.026993656913511;	0.023243869354915;	0.016983474971504;	0.019189443281485;
0.028351109511593;	0.023916537564536;	0.017441993861156;	0.019908900288814;
0.027302263343970;	0.023898582417907;	0.017623354696058;	0.020068738284115;
0.027034644818873;	0.023645181829671;	0.017708522581592;	0.020265393283145;
0.027883807198955;	0.024103700555451;	0.018066888666283;	0.020846163143552;
0.026954837807260;	0.024085548635581;	0.018238781316809;	0.021019744673161;
0.026653326863877;	0.023953251800280;	0.018429513289254;	0.021616583396065;
0.027372080797942;	0.024416732142270;	0.018932006642706;	0.022240728891306;
0.026705787277140;	0.024415917742775;	0.019079894887430;	0.022416055262081;
0.026310207357892;	0.024159361288101;	0.019183892741363;	0.022695489996228;
0.026681324440718;	0.024434460845510;	0.019544439525282;	0.022924982838481;
0.026283094338827;	0.024844898472202;	0.020097019661249;	0.023285728827398;
0.026311803053281;	0.024921858641648;	0.020351846994690;	0.023651489292215;
0.026258384313477;	0.024597636754325;	0.020467972548755;	0.023938169388386;
0.025537976230296;	0.024531643797694;	0.020835377151703;	0.024061122789319;
0.025800174524738;	0.025073512573828;	0.021288704155884;	0.024510689762337;
0.026231030037384;	0.025268611705918;	0.021581782869760;	0.024915188380739;
0.025218007908630;	0.024678983542219;	0.021497348357629;	0.024820955479508;
0.025144860930086;	0.024863578489804;	0.022001308008681;	0.025285684189433;
0.025477872722978;	0.025197598694663;	0.022446934950962;	0.025578264556562;
0.024302406399763;	0.024628284885287;	0.022348771860711;	0.025356776338601;
0.024342166285304;	0.024633588777286;	0.022746014751393;	0.025740255960888;
0.024854295690880;	0.024981441446864;	0.023254590361305;	0.025866299638663;
0.023629161693289;	0.024741137245873;	0.023375588056204;	0.025555417084908;
0.023268557001290;	0.024585570029403;	0.023426971287173;	0.025841080187391;
0.023979050568372;	0.024744575039842;	0.023806645507013;	0.026067417412569;
