0.005714285714286;	0.005714285714286;	0.005714285714286;	0.002857142857143
0.006576422775824;	0.005496299065366;	0.003304469965405;	0.002608253121469
0.098813573181887;	0.079281861089432;	0.051399109081805;	0.062202955390715
0.072465962599657;	0.054539271229426;	0.034592105284250;	0.042878893107249
0.063829488167903;	0.053489145960535;	0.039153050650488;	0.030433607062700
0.055678130561493;	0.046006029664185;	0.034476143206074;	0.028981954385944
0.043617869378077;	0.032965043286082;	0.021045088493863;	0.021440909113133
0.041170265585181;	0.031997248256067;	0.021360564449106;	0.022247736265847
0.039635152646516;	0.031567867977753;	0.021813928005145;	0.023256131667703
0.038763031550761;	0.031790156941622;	0.022945904122819;	0.024803743346243
0.038667674458967;	0.032260765618636;	0.024071370312182;	0.026555209288723
0.038007030095235;	0.032740621587991;	0.025327286077939;	0.028330205692032
0.038153624235083;	0.033634405983596;	0.026789339595940;	0.030202829731483
0.038373469956189;	0.035906751785541;	0.029324427913345;	0.032519816696470
0.036235321769629;	0.035052713735948;	0.029951064005241;	0.033871185336045
0.034876287214933;	0.034195047740802;	0.030682439327820;	0.034499693580645
0.034506823593001;	0.034795348496220;	0.032328252788294;	0.035979107717361
0.033314966860858;	0.035252829291750;	0.033934676746006;	0.037350923765974
0.031176745509766;	0.034012925040913;	0.034264246563167;	0.037208399519751
0.029335832718549;	0.032504099204314;	0.034211138325596;	0.036270613296114
0.027477350308601;	0.030667344859106;	0.033638705986450;	0.034444279432484
0.025890712774255;	0.029476529029041;	0.032995966539408;	0.033402879915998
0.023998462733161;	0.028270347876614;	0.032304371521746;	0.031707394429950
0.021341796862974;	0.025809886271577;	0.030367261287859;	0.029156791328895
0.018683034099542;	0.022998253720478;	0.027701191487259;	0.027032325000875
0.016175361785638;	0.020295923730313;	0.025211444948234;	0.024284532726890
0.013830385042033;	0.017671486100627;	0.022568435517516;	0.021100848204745
0.011551554045118;	0.014992235573364;	0.019527433724748;	0.017926231774044
0.009543842366090;	0.012500725824554;	0.016583665661803;	0.015051321305860
0.007761665578882;	0.010230256043780;	0.013812424222475;	0.012650119549456
0.006151877931098;	0.008238370157866;	0.011258731185874;	0.010000949764293
0.004790443543180;	0.006506309723789;	0.009034007206405;	0.007797470612781
0.003624372773781;	0.004943591933701;	0.006948215872120;	0.006133288453513
0.002726490301244;	0.003730962571164;	0.005300367331696;	0.004578791093008
0.002009073677856;	0.002753952905049;	0.003935334105071;	0.003307658432366
0.001457127603268;	0.002003551825816;	0.002866488866913;	0.002378072028295
0.001045782753541;	0.001439992596116;	0.002056203934096;	0.001743008451078
0.000746965897885;	0.001027838975429;	0.001470968333500;	0.001267528532264
0.000526663032559;	0.000727100517240;	0.001050337902099;	0.000892736078592
0.000364275837074;	0.000506321903558;	0.000733162306421;	0.000604226445138
0.000250607092180;	0.000349324459865;	0.000504660550848;	0.000415442777655
0.000167832062136;	0.000236013578817;	0.000343298324903;	0.000285585607259
0.000110057632418;	0.000156681967521;	0.000230474851366;	0.000182669884519
0.000070194171007;	0.000100944211725;	0.000150553422826;	0.000120301584235
0.000041895590603;	0.000061564502478;	0.000093843458899;	0.000072454799711
0.000024448070356;	0.000036559445948;	0.000056957295056;	0.000044719621643
0.000013990655106;	0.000021133838810;	0.000033780507379;	0.000029865269691
0.000006082630171;	0.000009677910522;	0.000016822974868;	0.000011262599075
0.000000288530710;	0.000000467264157;	0.000000867583190;	0.000000531177576
0.000000016482055;	0.000000026127143;	0.000000068492158;	0.000000053508051
