0.003571428571429;	0.003571428571429;	0.003571428571429;	0.001785714285714
0.001103852137498;	0.000984902761285;	0.000417050365568;	0.000361921346694
0.056407017998058;	0.042566159975330;	0.022219228592867;	0.019047793301607
0.043588360044626;	0.031992915776316;	0.017410125389083;	0.014908378929812
0.036735789456426;	0.026565628029567;	0.014713212315863;	0.020743380678867
0.032333318354602;	0.023129358212247;	0.012937282537298;	0.019334961167814
0.029557996227134;	0.020692983082376;	0.011640669195535;	0.011480052032678
0.027204319815152;	0.019328807661550;	0.016124365964722;	0.011268009936194
0.025401532747742;	0.018832075153212;	0.015915166581198;	0.011255203990605
0.024773135526065;	0.018254798437278;	0.010479476477347;	0.011444033710271
0.023865813182842;	0.017572019681699;	0.010640926412693;	0.011754745380475
0.023073564134125;	0.017702773185666;	0.010937915768172;	0.011723254825723
0.022996915788512;	0.017512039603623;	0.011163673710524;	0.011995174783498
0.022815559940496;	0.017605670240624;	0.011581734344969;	0.012503688304121
0.022809960053282;	0.017839619956895;	0.012034285902502;	0.012912589288988
0.022860173749251;	0.017953700421791;	0.012550743512618;	0.013395640949179
0.022571719505409;	0.018260415852344;	0.013043185054529;	0.013904786737002
0.022636946759925;	0.018506530801582;	0.013559183355358;	0.014424230290119
0.022804231938398;	0.019049674350936;	0.014112748639594;	0.014998548125155
0.022974844132988;	0.019137339667713;	0.014664075652628;	0.015597841167774
0.023282013883185;	0.019552440086149;	0.015297787723933;	0.016207044029392
0.023315683243160;	0.020074250774525;	0.015854155016070;	0.016894514248110
0.023510829166975;	0.020247120021697;	0.016361372180352;	0.017549360226063
0.023856791765982;	0.020787063865127;	0.016979218793893;	0.018115239078018
0.024080431679513;	0.021381166663411;	0.017507948446485;	0.018709044503394
0.024215848906831;	0.021687118290919;	0.018109528100965;	0.019416747242852
0.024314715373484;	0.021938683148225;	0.018669733332088;	0.019944395606473
0.024528826432490;	0.022382472026905;	0.019215092761879;	0.020489839703978
0.024746798508298;	0.022848495396602;	0.019843284351134;	0.021170683500449
0.024744957234218;	0.023120241455826;	0.020402242531335;	0.021720131647755
0.024828915597791;	0.023416001962288;	0.020929300858481;	0.022242757261311
0.024826023717623;	0.023548726193602;	0.021435898407744;	0.022709911114842
0.024872499206740;	0.023848087280518;	0.021945502305376;	0.023062882786418
0.024844788232928;	0.024116214536781;	0.022341504211327;	0.023392028505949
0.024692368462195;	0.024233500605769;	0.022734919066214;	0.023769059165465
0.024481912680587;	0.024303289917727;	0.023110164255244;	0.024067432907795
0.024189028325776;	0.024278903362902;	0.023332633637041;	0.024266534514892
0.023910376667783;	0.024213276547400;	0.023569801167059;	0.024413649603989
0.023482611088016;	0.024017404238803;	0.023725169075472;	0.024462798662955
0.023203362551105;	0.023827440833344;	0.023830778698623;	0.024473691184312
0.022718845785634;	0.023477494052710;	0.023811807303112;	0.024343631696201
0.022175163266174;	0.023081983098873;	0.023703634669276;	0.024094846704403
0.021745184428824;	0.022779473294787;	0.023563149849192;	0.023795713562456
0.021062246677011;	0.022333571492368;	0.023269375235280;	0.023430833253365
0.020295916740666;	0.021753358231635;	0.022867239081730;	0.023015184541689
0.019655562436692;	0.021188843568903;	0.022460467693669;	0.022557614738219
0.018873875259612;	0.020519660553997;	0.021987991328865;	0.022003956538622
0.017974910651782;	0.019754208585848;	0.021431246437299;	0.021347740382540
0.017129298137330;	0.018973870002614;	0.020804210612151;	0.020616595455774
0.016316662875575;	0.018163952771022;	0.020110495824648;	0.019835489880469
0.015436155028897;	0.017292318679368;	0.019344445998553;	0.018988652969922
0.014458164774062;	0.016357586348760;	0.018503525199578;	0.018069766230420
0.013509069810729;	0.015418200092516;	0.017619517035411;	0.017130456889951
0.012590286568058;	0.014473962401151;	0.016697508225566;	0.016145907387335
0.011697807760226;	0.013527745905871;	0.015746931265054;	0.015146588631007
0.010788823609579;	0.012564204971379;	0.014770438589028;	0.014141996062317
0.009851806077086;	0.011577665956505;	0.013758412654264;	0.013105501266457
0.008960363658430;	0.010611936283260;	0.012738793425436;	0.012074621905041
0.008126064689479;	0.009684538304371;	0.011732953361109;	0.011065114687211
0.007323352150982;	0.008785984942923;	0.010740927959523;	0.010067758193677
0.006555248955001;	0.007919399934993;	0.009767458231354;	0.009101789621991
0.005837938543804;	0.007096132675905;	0.008827940752258;	0.008183052066568
0.005141138095150;	0.006301824263780;	0.007920545530483;	0.007298182610822
0.004492357546755;	0.005552869477454;	0.007055010678981;	0.006459666079233
