0.000000000000000;	0.027599044546806;	0.011013788398869;	0.009947209574287;
0.001433235840617;	0.001819341294375;	0.000000000000000;	0.000000000000000;
0.001231685745292;	0.023223469110595;	0.000000000000000;	0.000000000000000;
0.007294825282387;	0.033746313119261;	0.000000000000000;	0.000000000000000;
0.012446027378630;	0.026085910001298;	0.000000000000000;	0.000000000000000;
0.017062962633769;	0.020444018450291;	0.000000000000000;	0.000000000000000;
0.020802846786129;	0.016573628612720;	0.000000000000000;	0.000438265613176;
0.023912078614126;	0.014624202501398;	0.000000000000000;	0.000876531226353;
0.022547126607061;	0.013266185228666;	0.000000000000000;	0.000530438355458;
0.022581445523623;	0.012387789868121;	0.000000000000000;	0.000524639585157;
0.022089759927372;	0.011499453530298;	0.000000000000000;	0.000565968358326;
0.020801853025320;	0.010239339822223;	0.000000000000000;	0.000981110835149;
0.020541658372915;	0.009648466307016;	0.000000000000000;	0.001187132668643;
0.019895605285979;	0.009441548281551;	0.000000000000000;	0.001073482766799;
0.019581093208218;	0.009553379688213;	0.000000000000000;	0.000944144790071;
0.019713959627593;	0.010168588121571;	0.000000005829002;	0.001123391399136;
0.019190597681808;	0.010837206176371;	0.000000011658004;	0.001558938384654;
0.018533171703267;	0.010882202676402;	0.000000011528137;	0.001429311848453;
0.018158369008740;	0.010246295103639;	0.001049803153411;	0.001289396295874;
0.018460906860083;	0.009721047894605;	0.000925511807861;	0.001625873769735;
0.018486429043680;	0.008989489490109;	0.000863503990402;	0.001879392270185;
0.017431939593697;	0.009012639203020;	0.000799495677462;	0.001635501561122;
0.017603334014930;	0.008973192528001;	0.000701147850584;	0.001807687891714;
0.017949949737466;	0.009219627305039;	0.000683609279997;	0.002185784273749;
0.017555048418990;	0.008753722182333;	0.000612559954167;	0.002082242287096;
0.017072489763213;	0.008671153053049;	0.000541693595534;	0.002262529933943;
0.017342473691014;	0.008706060142723;	0.000968065596129;	0.002514066792059;
0.017744989017264;	0.008701601884073;	0.002025946601659;	0.002432325834411;
0.016466735089451;	0.008669423721578;	0.001570960899525;	0.002651148482860;
0.016744047214997;	0.008370763529995;	0.001326758399272;	0.002706214638291;
0.017115665105103;	0.008691770846579;	0.001242959903781;	0.002776383387700;
0.016367807790795;	0.008704678523607;	0.001511540215123;	0.002993538926933;
0.016789416251744;	0.008800309968669;	0.001820653464824;	0.003108303113811;
0.016838844563386;	0.008780822396411;	0.001879366608322;	0.003264473170505;
0.016128791050899;	0.008957802037747;	0.001812310973310;	0.003346701730843;
0.016620276938289;	0.009190318962148;	0.001598344053720;	0.003509249120082;
0.016277308528601;	0.009377176525578;	0.001872862337020;	0.003565856112038;
0.015921849487177;	0.009141770669615;	0.002323173091498;	0.003738464460232;
0.016546205759808;	0.009274431833217;	0.002281022624072;	0.003833397945632;
0.015953022342648;	0.009336698694751;	0.002261179514138;	0.003994439329711;
0.016277978045688;	0.009681062040155;	0.002525424687417;	0.004124428756869;
0.016622502708605;	0.009590864945859;	0.002673502017172;	0.004184248500308;
0.015738188618208;	0.009559650800772;	0.002610745295501;	0.004413491241590;
0.016185003572503;	0.009792764428191;	0.002706836611408;	0.004468991213064;
0.016711220935545;	0.009784198681060;	0.002933643595644;	0.004635395262661;
0.015778827708645;	0.010181410588571;	0.002945832616406;	0.004895182616530;
0.015995481199158;	0.010176841424241;	0.002970027822478;	0.004981520123772;
0.016912564748562;	0.010107758248496;	0.003165839663865;	0.005099211283834;
0.015570649102394;	0.010539737727030;	0.003246660242011;	0.005371112862456;
0.015469175601853;	0.010472507429822;	0.003372423301087;	0.005503180311955;
