0.026106345536167;	0.015033633487008;	0.007223738225607;	0.006671788791981;
0.027587229489908;	0.022118992536074;	0.013084808284223;	0.011198571402451;
0.023124005874303;	0.018527024781574;	0.011079277883620;	0.009495517482182;
0.019631170291375;	0.015401080443741;	0.009366924247753;	0.008121919774073;
0.017730140404894;	0.013446476503925;	0.008309978824471;	0.007325511557153;
0.016449821475913;	0.012108037036120;	0.007579325895917;	0.006783742546863;
0.019299851703865;	0.014748256470525;	0.010096895473599;	0.012374868844487;
0.017891790044839;	0.013596274836780;	0.009343971878341;	0.011406059945374;
0.013640394245280;	0.009854838845110;	0.006305461496221;	0.005836668428572;
0.013550810466191;	0.009703590911316;	0.006192455580372;	0.005742242601071;
0.013260447001608;	0.009464188425733;	0.006046217154970;	0.005626750157953;
0.012619084914783;	0.009004896466318;	0.005798388257879;	0.005482783054132;
0.012382015131167;	0.008784442313476;	0.005650448316912;	0.005395613255128;
0.012012646757223;	0.008540761251081;	0.005491993005095;	0.005235816662404;
0.011934966524590;	0.008512676295487;	0.005473605856533;	0.005185889025824;
0.015681355121309;	0.013814872997981;	0.010296982443550;	0.008092774885570;
0.015380976541147;	0.013705546942064;	0.010191773375827;	0.008156578815780;
0.011558072884800;	0.008433203471503;	0.005516866913439;	0.005177862276518;
0.011374217575510;	0.008323924642016;	0.005537979498660;	0.005107658661568;
0.011532765642496;	0.008358373638803;	0.005525657967362;	0.005217488803174;
0.011484841298875;	0.008234831022213;	0.005441415172428;	0.005219453754139;
0.011019473410030;	0.008040976908729;	0.005326562141619;	0.005055392251400;
0.011100179955696;	0.008064060228003;	0.005324268804407;	0.005119339665964;
0.011314654268811;	0.008202736101872;	0.005386840188373;	0.005244582636003;
0.011063404380066;	0.007996678755986;	0.005258264607831;	0.005141217856343;
0.010888800099888;	0.007926947719864;	0.005221374890569;	0.005162526571743;
0.011075695046819;	0.008097117444582;	0.005482557201930;	0.005301951780660;
0.011299373903833;	0.008244772697087;	0.005673982060668;	0.005386641776489;
0.010697541809986;	0.007933561949191;	0.005424125212731;	0.005268571262105;
0.010786391826142;	0.007911876949904;	0.005369751745153;	0.005290879504151;
0.011057309040834;	0.008113550110921;	0.005476356627746;	0.005422391947607;
0.010734678627440;	0.007992725924470;	0.005477729819925;	0.005400976130627;
0.010983985765274;	0.008171981945981;	0.005630082099685;	0.005530258566140;
0.011046026827902;	0.008218280812783;	0.005677499005116;	0.005605089441505;
0.010756882263548;	0.008123524575725;	0.005633147975144;	0.005575217584015;
0.011043960843072;	0.008310236926613;	0.005706669456688;	0.005717115368589;
0.010993003003005;	0.008379196375911;	0.005827602304009;	0.005778676742969;
0.010812429384755;	0.008276632099466;	0.005845054155257;	0.005794876546126;
0.011153411218749;	0.008482894581034;	0.005961412888188;	0.005946655459723;
0.010915629493521;	0.008400407280989;	0.005922432843473;	0.005957407560494;
0.011166007301773;	0.008634340636876;	0.006117757608206;	0.006120120158793;
0.011366269090975;	0.008750529813929;	0.006233691403102;	0.006235520619633;
0.010972242515671;	0.008570594055542;	0.006139582441176;	0.006208636815078;
0.011269547304307;	0.008799711241299;	0.006303027299512;	0.006364297578507;
0.011553035488082;	0.008974129559707;	0.006459575480267;	0.006537808242380;
0.011244461462008;	0.008951446602636;	0.006486445392644;	0.006596265707563;
0.011398299902815;	0.009058471799192;	0.006571096840807;	0.006714246773720;
0.011825469121401;	0.009273101849622;	0.006730074832399;	0.006898281787719;
0.011400227420202;	0.009236388927588;	0.006786513168792;	0.006968166073597;
0.011386285712697;	0.009253901048474;	0.006846333963197;	0.007058140463694;
0.011986467610675;	0.009584648048150;	0.007050397409684;	0.007334511911064;
0.011714356987029;	0.009615682132101;	0.007148874900586;	0.007429013660941;
0.011722771223564;	0.009617067555082;	0.007208798168195;	0.007543666196852;
0.012165861386088;	0.009889779404990;	0.007396091957265;	0.007807308072848;
0.011944894133630;	0.009934094020765;	0.007495448324394;	0.007929088084377;
0.011930781364488;	0.009960388047277;	0.007583156517237;	0.008159212904040;
0.012343640143897;	0.010244843256151;	0.007815316982195;	0.008477459678895;
0.012229335030859;	0.010321212504100;	0.007926686593530;	0.008649570598608;
0.012195834808208;	0.010327607610927;	0.008004867761604;	0.008857021074430;
0.012489678228718;	0.010556881159568;	0.008206359903356;	0.009100873825956;
0.012455307334305;	0.010754315441815;	0.008428123124985;	0.009310417870705;
0.012613779639961;	0.010906427897528;	0.008590015244489;	0.009526166811220;
0.012765508912822;	0.010953986266875;	0.008707795125666;	0.009715174461379;
0.012611649435032;	0.011007191683850;	0.008867687870068;	0.009801972606674;
0.012875476165813;	0.011332424948527;	0.009133953669857;	0.010035955181529;
0.013229280940817;	0.011576933322705;	0.009351891665015;	0.010276850104271;
0.012982029048907;	0.011472915214705;	0.009386816902532;	0.010311891153937;
0.013124737835467;	0.011688078186999;	0.009653577324445;	0.010574150416315;
0.013449001283151;	0.011993172419207;	0.009936320362960;	0.010814709342152;
0.013118091292926;	0.011889398930802;	0.009980169159457;	0.010832854949171;
0.013351350719703;	0.012081380924459;	0.010239297076626;	0.011120610192470;
0.013786261593004;	0.012423922587647;	0.010566479740425;	0.011357264242672;
0.013395978419036;	0.012429677138129;	0.010706803244177;	0.011371137642024;
0.013423841722050;	0.012550104258387;	0.010882816933196;	0.011642092591975;
0.014018774063270;	0.012887105026068;	0.011205407247401;	0.011967042871015;
0.014083571341869;	0.012907802123473;	0.011352281945616;	0.012021876953364;
