0.002857142857143;	0.002857142857143;	0.002857142857143;	0.001428571428571
0.002334157596790;	0.001923185429747;	0.001153384342660;	0.000916286739787
0.005085083728013;	0.004434667863672;	0.002675732646859;	0.002065518633311
0.005628494890774;	0.004952007054591;	0.002990160763154;	0.002298048514311
0.006092781830711;	0.005121553780432;	0.003077129930647;	0.002419170130112
0.005979003788947;	0.004994663516755;	0.002998070214906;	0.002364168437228
0.011751895689321;	0.010625965602664;	0.008596527078263;	0.040191953692017
0.006251890774931;	0.004920876639970;	0.002939631310138;	0.002495670188046
0.007290650260668;	0.005883644119109;	0.003882034616610;	0.008773232418319
0.023526887836127;	0.035343568281953;	0.062573225170115;	0.022394663901851
0.007813853285384;	0.006423330320788;	0.004163574299490;	0.006432501214619
0.007492789762087;	0.005907668962116;	0.003862186555781;	0.005349199215988
0.007674540984011;	0.005908321170680;	0.003819356975423;	0.005182971936687
0.008692786663812;	0.007006769807764;	0.004570539660154;	0.005696919230812
0.008290728480311;	0.006545937311498;	0.004610914982536;	0.005716640171124
0.008877934789617;	0.006849181146758;	0.004771531309389;	0.006264211274628
0.009434763231469;	0.008009657782649;	0.005788221410903;	0.006800375515848
0.009803304212227;	0.007839513164710;	0.005729726864148;	0.007093261083359
0.010241503271421;	0.008933325495325;	0.006874942672258;	0.007605212864058
0.010652544468201;	0.008899929818460;	0.006872946161352;	0.008003081713652
0.011007912567233;	0.009675734582386;	0.007445925798034;	0.008509809795531
0.011409723082529;	0.009756607617344;	0.007697960995946;	0.008896701572295
0.011957104265791;	0.010784272361747;	0.008483746157248;	0.009646515694942
0.012360595215391;	0.010925927678579;	0.008674826928286;	0.010066526734627
0.012844211569319;	0.011518915696772;	0.009345681422546;	0.010707751856518
0.013007919085123;	0.012116215731408;	0.009946407115830;	0.011311013948910
0.013559978368046;	0.012460083649662;	0.010391235776038;	0.011987159990720
0.014020070065966;	0.013094528621765;	0.011078460221393;	0.012621681616332
0.014292653057046;	0.013778374158872;	0.011775781561464;	0.013363759027819
0.013946726700256;	0.013657453756641;	0.012064325864260;	0.013781282674738
0.014828939328911;	0.014452321968726;	0.012922140309862;	0.014793886499638
0.015370640991735;	0.015471105866269;	0.014096735735829;	0.015420254450756
0.015312575774003;	0.015481035715104;	0.014207449130385;	0.015849394716197
