0.003571428571429;	0.003571428571429;	0.003571428571429;	0.001785714285714
0.001476338228733;	0.004268311877020;	0.000000000000000;	0.000000000000000
0.061414455672401;	0.074370282376815;	0.000000000000000;	0.000000000000000
0.047713701712219;	0.037119208231894;	0.000000000000000;	0.000000000000000
0.041429429894732;	0.027180111975640;	0.000000000000000;	0.005745379046221
0.037163882212651;	0.020364489567741;	0.000000000000000;	0.011490758092441
0.038611814590392;	0.017109961753206;	0.000000000000000;	0.007404946000265
0.033503551709502;	0.018760036126142;	0.002778125304867;	0.012408496774297
0.027643477175011;	0.023007519232486;	0.005556250609734;	0.012253799251655
0.031473050750752;	0.021889038204115;	0.002074539504578;	0.013548840306163
0.026104521684091;	0.016333403316543;	0.002380522098818;	0.016407275962550
0.023305150530856;	0.019307455245202;	0.003888030169711;	0.012545366456420
0.028889564687265;	0.017213193383102;	0.004468227408202;	0.012805860675383
0.029076166882021;	0.017312090709331;	0.006372200370506;	0.015100723023251
0.029517042984679;	0.018309435624176;	0.007725400841564;	0.014754069589617
0.030436826731951;	0.017630053458062;	0.010133813154849;	0.014924982356708
0.025597605935999;	0.019325542657142;	0.011393083415746;	0.015232569848227
0.025475909799123;	0.019014635765953;	0.012386012748096;	0.015142668832501
0.026339398854420;	0.023183250893322;	0.013494357636918;	0.015444993383992
0.026611529133786;	0.018894353003345;	0.014163111068499;	0.015777103103374
0.029003538403765;	0.019615251915852;	0.015685925325259;	0.016083207879579
0.026754855549171;	0.022375012045681;	0.015615300009700;	0.017246383698877
0.026981892285949;	0.019242014063033;	0.015015822400253;	0.017956594987070
0.029026458499597;	0.021029286735471;	0.015702986197232;	0.017217729167801
0.028670159073362;	0.024319866275260;	0.014783106415785;	0.016901362415972
0.026879581413087;	0.022664100932699;	0.014846178247943;	0.018220970855658
0.027039914826368;	0.021506999499195;	0.015052921668454;	0.017670203840622
0.028415241042381;	0.022934381029453;	0.014890712790330;	0.017692492080620
0.027967485768097;	0.024055080948839;	0.015488207614695;	0.019303694269311
0.027462115579616;	0.024197105360643;	0.016358180338936;	0.020196026794455
0.026954973091631;	0.024196617079158;	0.016643434450870;	0.020827414892444
0.026126900624862;	0.022452809890952;	0.017116413760482;	0.021130470142616
0.026461150224628;	0.023647846330562;	0.018204836069583;	0.020303174381183
0.026926393275955;	0.025712171930481;	0.018466680301580;	0.020332094548103
0.025757150185135;	0.025615541341167;	0.018851008998353;	0.021485507854924
0.024331243513627;	0.025517682591074;	0.019904620745175;	0.022238851420560
0.022934960561147;	0.025465630555465;	0.020231867711627;	0.022953436953209
0.021676978868327;	0.025032265904126;	0.021066840758845;	0.023338535243932
0.020498290981857;	0.024178841743662;	0.021934391904502;	0.023714519168611
