0.002665603857166;	0.000881942546816;	0.000261508683808;	0.000065204719741
0.002838205455546;	0.000946489769517;	0.000281378056458;	0.000069608616082
0.003226668431413;	0.001099648907918;	0.000328823118865;	0.000079692450984
0.003695642284794;	0.001292489619581;	0.000389398457768;	0.000092060674099
0.004264424290866;	0.001534471563618;	0.000466402258303;	0.000107269180904
0.004815982823934;	0.001795159772009;	0.000551572000368;	0.000122645132062
0.005389212350033;	0.002073835112073;	0.000643549934494;	0.000141284747923
0.006006994807088;	0.002381547050798;	0.000745661526658;	0.000159221686788
0.006713287107782;	0.002735772831852;	0.000863597807238;	0.000182951601385
0.007501145300178;	0.003131281365901;	0.001001538924341;	0.000207930087696
0.008432861092582;	0.003669095769350;	0.001186844190992;	0.000242949930988
0.009271277920036;	0.004118325522197;	0.001340521599897;	0.000275588411058
0.010186536906312;	0.004576436270766;	0.001501889378459;	0.000314017334113
0.011266187234474;	0.005099443104747;	0.001689289051108;	0.000362132680964
0.012296126296257;	0.005779964890916;	0.001945129723316;	0.000422404710403
0.013482212676104;	0.006392714451528;	0.002174729001755;	0.000503663000616
0.014618172813511;	0.007170646662505;	0.002470579606742;	0.000593849249052
0.015885988980061;	0.007868603384450;	0.002738674617994;	0.000702371943750
0.017380642865570;	0.008814282799834;	0.003104459750481;	0.000825406842431
0.018876514027045;	0.009662896203503;	0.003446218975031;	0.000957971962094
0.020331136286390;	0.010658809577688;	0.003857696303145;	0.001102533639455
0.021980236908216;	0.011635895966422;	0.004272863154974;	0.001262053686335
0.023633850867471;	0.012810752522888;	0.004793183129069;	0.001437539110921
0.025517325947324;	0.013935273918900;	0.005293066835066;	0.001622706518026
0.027508537633608;	0.015392208572093;	0.005962014759643;	0.001824702534407
0.029341581795008;	0.016787461465627;	0.006644800655525;	0.002040396467053
0.031459127126586;	0.018163149803005;	0.007334402189596;	0.002277406726666
0.033747669753649;	0.019896640424304;	0.008205805285357;	0.002525577325279
0.035949881670660;	0.021730540196983;	0.009180868253433;	0.002795840924346
0.038393366414131;	0.023535592793726;	0.010163910984899;	0.003090798862642
0.040903880678970;	0.025424391060516;	0.011269012901340;	0.003409105006998
0.043573988993962;	0.027628666670424;	0.012618710697133;	0.003732653565441
0.046161146314212;	0.029842775818272;	0.013968294837232;	0.004080769757568
0.049078343722952;	0.032147274218683;	0.015498717008554;	0.004459432308483
0.052026979743715;	0.034478821921997;	0.017168544135385;	0.004862358452092
0.055096800069068;	0.037118343808427;	0.019010708989304;	0.005268435214696
0.058182572404084;	0.039822612633804;	0.020930719165828;	0.005707226793738
0.061313122019725;	0.042694280021319;	0.023128045006524;	0.006177732415411
0.064838480362404;	0.045683080061737;	0.025440388434804;	0.006681635892360
0.068391313548903;	0.048626340291827;	0.027819831810042;	0.007204937015714
0.072010128153994;	0.051683808170686;	0.030303792173607;	0.007726732109994
0.075808543912001;	0.055153785016801;	0.033178567766297;	0.008293206530175
0.079662341046689;	0.058695826717464;	0.036094190304013;	0.008888918573883
0.083524433526555;	0.062270227493199;	0.039148782066709;	0.009507891918603
0.087399353856361;	0.065957931925162;	0.042366343646809;	0.010144261096748
0.091759630577075;	0.069844519178153;	0.045693184922259;	0.010838370755932
0.096226096444952;	0.073845612610382;	0.049192928097585;	0.011539555364178
0.100727736037112;	0.077815729100259;	0.052775946013428;	0.012310500778196
0.105329249364354;	0.081983451773450;	0.056525130521409;	0.013028521872168
0.110079671934242;	0.086475770825400;	0.060482749239576;	0.013774117361911
0.114917294542801;	0.091124648944827;	0.064578119541642;	0.014556117985858
0.119791889965582;	0.095847385656117;	0.068853633564354;	0.015366295845628
0.124702659542331;	0.100636546789867;	0.073247518999318;	0.016206296850499
0.129641695500865;	0.105500369928443;	0.077776783158857;	0.017072066665935
0.134588289004429;	0.110469576967319;	0.082492056157349;	0.017963180503730
0.139609760681229;	0.115552103225598;	0.087396853432078;	0.018878318194004
0.144988578887098;	0.120816511944082;	0.092488918085533;	0.019821724428626
0.150429352962221;	0.126163726928586;	0.097727728275551;	0.020789799413828
0.155896520389759;	0.131610513191679;	0.103120653920163;	0.021784768149043
0.161419774205221;	0.137225558165383;	0.108683986855018;	0.022880182613981
0.166937833766621;	0.142889840599875;	0.114361945909463;	0.023898793040688
0.172485046738544;	0.148596197995359;	0.120145326832240;	0.024944884680163
0.178118333342918;	0.154334790623714;	0.126015975800871;	0.026026668000168
0.183697260837589;	0.159961908199405;	0.131944727933992;	0.027132251039908
0.189287593397516;	0.165685134611980;	0.137984798575017;	0.028255859714181
0.194924132604578;	0.171650659554575;	0.144197228671660;	0.029415406881006
0.200471270045398;	0.177584177104398;	0.150368421311719;	0.030580283977043
0.205965631830423;	0.183484214554453;	0.156478311960008;	0.031769595658689
0.211365359520313;	0.189344367725887;	0.162595106711017;	0.032969024530990
0.216654370429096;	0.195169902195638;	0.168800803620388;	0.034169257427781
0.221826879592243;	0.200961325968059;	0.175068745790154;	0.035384749615988
0.226866344643547;	0.206641166961645;	0.181344778653348;	0.036598173117029
0.231790590473883;	0.212294544842538;	0.187672606218754;	0.037777701058233
0.236570483957103;	0.217806150045460;	0.193937000828959;	0.039078059374551
0.241183703023741;	0.223211831185147;	0.200195938117523;	0.040259535225935
0.245567355120536;	0.228450228126879;	0.206383534506729;	0.041068684299304
0.250123755814229;	0.233676666360008;	0.212509492411320;	0.041947019940654
0.254578919514100;	0.238777444834824;	0.218558494604389;	0.042869345503290
0.258910549991400;	0.243861305748501;	0.224550662594209;	0.043813199671574
0.263089787581754;	0.248808440466906;	0.230406658839928;	0.044760402785340
