0.031192088624994;	0.021097320884278;	0.012643458610518;	0.005654227208637;
0.096653321348991;	0.078742408988613;	0.046990396179922;	0.037199708362563;
0.080177928616375;	0.066551683966803;	0.039763470292144;	0.031166325628243;
0.066806859251885;	0.055138531411660;	0.032856610165598;	0.025811285448727;
0.058713356464420;	0.047273602682906;	0.028011844989029;	0.022268153649827;
0.052749925646590;	0.041278473184107;	0.024309588425095;	0.019602536520914;
0.070078401110203;	0.056572695793816;	0.036266527845927;	0.035212984753856;
0.062403155724619;	0.050190176687193;	0.031897608645622;	0.031912181815920;
0.040864020617699;	0.031386872442056;	0.018421060167140;	0.015772225534265;
0.040074881170759;	0.030279721550610;	0.017701929230662;	0.015149284594751;
0.038529992995483;	0.028726817463996;	0.016752842762314;	0.014641372924136;
0.035763141370521;	0.026398980892357;	0.015414108904810;	0.014454546484371;
0.034836233948369;	0.025286824586426;	0.014745595362695;	0.014353842758855;
0.033359755884698;	0.024084799404705;	0.013994683724996;	0.013184551812695;
0.032356062449804;	0.023458112601773;	0.013613964551927;	0.012593031092730;
0.051896375944682;	0.042023608137151;	0.026334118239489;	0.022863104503217;
0.053295037951166;	0.047014868635171;	0.030504841709234;	0.027005045710612;
0.032639532295685;	0.025916201399588;	0.015853239831028;	0.014392588726053;
0.031005737615257;	0.024075758851314;	0.014938391992118;	0.013326368327391;
0.030481076701175;	0.022952003892910;	0.014155339947946;	0.013823933923892;
0.029723725069985;	0.021865030945554;	0.013468427870654;	0.013661030384715;
0.028245409247998;	0.021103905128480;	0.012978563387028;	0.012529746858633;
0.028290879207096;	0.021015821262164;	0.012915814779389;	0.013082960190015;
0.028731874771319;	0.021370300478466;	0.013156746566680;	0.013828722977052;
0.027792380182187;	0.020556755177463;	0.012600125182146;	0.013010126311948;
0.027182978815585;	0.020281046398175;	0.012435208310101;	0.013317961993697;
0.027710082860589;	0.020961393441401;	0.013599605558450;	0.014116872197291;
0.028040511612945;	0.021215116008771;	0.014206190808879;	0.014029928866971;
0.026287819643083;	0.020180699981294;	0.013360450297530;	0.013984024066095;
0.026197613719761;	0.019822397534502;	0.012994745276216;	0.013821043529336;
0.026604425453282;	0.020183307264673;	0.013161238944797;	0.014084699964931;
0.025779686336575;	0.019928732859722;	0.013295201844516;	0.014265830640688;
0.026325208589211;	0.020419153902190;	0.013842273095733;	0.014661363361969;
0.026282946315129;	0.020451175403336;	0.014007259307576;	0.014951163684586;
0.025405830329573;	0.020097763289343;	0.013803485287390;	0.014838976394787;
0.025906422599213;	0.020429942376990;	0.013851989582385;	0.015222082323887;
0.025609937535455;	0.020560388630635;	0.014208911442535;	0.015346705827666;
0.025077706045743;	0.020285880040593;	0.014398424922577;	0.015534880413859;
0.025701249255672;	0.020705719160581;	0.014739347915291;	0.015893256703247;
0.025034100881166;	0.020494878083917;	0.014757447570888;	0.016047310266730;
0.025508391992477;	0.021045622410804;	0.015284225971148;	0.016498586510913;
0.025639372374036;	0.021039361355681;	0.015344223199827;	0.016614424905263;
0.024601506948497;	0.020552284518008;	0.015153259624195;	0.016683474514653;
0.025077863644645;	0.020980610428595;	0.015540236501230;	0.016965450953950;
0.025475241833322;	0.021200691630148;	0.015810325931196;	0.017354584430443;
0.024655547613698;	0.021116489543859;	0.015876245896148;	0.017625840779913;
0.024729552041331;	0.021156687616916;	0.015997247319298;	0.017775254979417;
0.025420337471546;	0.021442843195319;	0.016280180999772;	0.018126074497522;
0.024279776913924;	0.021260919971937;	0.016361253276891;	0.018335250325217;
0.024028672059771;	0.021148879058044;	0.016488286529984;	0.018460345165997;
0.025121984587268;	0.021738328246312;	0.016882362030339;	0.019088279270306;
0.024288611098054;	0.021667531056964;	0.017040429211192;	0.019207291030310;
0.024033544944108;	0.021444997012451;	0.017091195279714;	0.019349840485285;
0.024706050535047;	0.021832713369390;	0.017387086812827;	0.019838260356704;
0.023970164347412;	0.021767341256967;	0.017537071623016;	0.019961505697209;
0.023708980118844;	0.021650885905728;	0.017689193882361;	0.020468283289736;
